File ID,Petition File Name,Date of Petition,Petition Source Year,Was_Withdrawn,Document Type,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Interim Response Date,Final Decision,Last Response Date,Count of Interim,Responding FDA Center (of Final Decision),Responses Cited Statutes or Regulations,Justification for Interim Response,Justification for Final Response,Cleaned Final Decision,Received Final Decision,Response Time (Days),Cleaned FDA Responding Center,Responding Center Grouped
fda-2010-p-0648,"FDA-2010-P-0648-0001_G__Pohl_Boskamp_GmbH___Company_KG___Citizen_Petiti.pdf
",2010-12-16,2010,False,original petition,"G. Pohl-Boskamp GmbH & Company KG 	No law firm or external representative listed. The petition was submitted directly by Marianne Boskamp, CEO of Pohl-Boskamp.",law/consulting,"- 21 USC 355(b) and 355(g) – Drug approval and abbreviated new drug application requirements
- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 25.31 – Environmental impact exclusion
- 21 USC 351(a)(2)(B) – GMP compliance
- 21 C.F.R. §§ 210–211, 314.94, 320.1, 314.50 – CMC, bioequivalence, and ANDA regulations","        FDA's 2010 Draft Bioequivalence Recommendation for Nitroglycerin Metered Spray/Sublingual products, which could enable ANDA approvals based on limited criteria.","	FDA should not approve generic nitroglycerin ANDAs based solely on the 2010 BE guidance, and instead must:
– Require PK testing on parent drug (TNG)
– Require early exposure PK (AUC₀₋₅)
– Enforce in vitro and stability testing
– Mandate extractables/leachables testing
– Require 100% unit pump functionality testing before release","	- Current BE guidance is inadequate for ensuring therapeutic equivalence, especially for rapid onset required in angina treatment.
- Scientific literature supports reliable testing of the parent compound (TNG), not just metabolites.
- Product stability and performance can be affected by storage orientation and pump design; Pohl’s rigorous testing sets a precedent.
- Public health concerns: Inadequate or delayed relief could cause panic, harm, or misdiagnosis for angina patients.",2011-06-16 00:00:00,"Partially Granted and Partially Denied
– The request regarding in vitro pump functionality testing was granted.
– The remainder of the petition was denied.
– The associated petition supplement (PSA) was declared moot due to a substitute written response to an ANDA by the FDA (page 17).",2013-10-31,1.0,Center for Drug Evaluation and Research (CDER),"Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act), 21 U.S.C. 355(j)
– Section 505(q)(1)(A) and (B) of the FD&C Act
– 21 CFR 320.25 and 320.26 (Bioequivalence study requirements)","The FDA states it has not resolved the issues raised in the December 21, 2010 petition.
– The petition concerns requests to block approval of abbreviated new drug applications (ANDAs) referencing Nitrolingual Pumpspray (NDA 18-705) unless specific conditions are met.
– The delay is attributed to the petition raising complex regulatory and scientific issues that require further review and analysis by FDA officials.","Scientific Basis: FDA carefully reviewed the petitioner’s requests involving pharmacokinetic measurements, bioequivalence requirements, in vitro testing, and component stability and extractables.
– Partial Agreement: The FDA agreed that testing pump functionality prior to distribution is essential to ensure delivery reliability for nitroglycerin lingual spray products.
– Grounds for Denial: The FDA denied other requests (e.g., mandatory use of specific pharmacokinetic parameters or in vitro-only bioequivalence testing) on the basis that current guidance and standards already ensure therapeutic equivalence. Additional requirements were considered unnecessarily restrictive or unsupported by sufficient scientific rationale.
– Regulatory Alignment: The agency maintained that existing ANDA requirements are adequate to assess bioequivalence, chemistry, manufacturing, and control standards without needing the proposed modifications.",partially approved / denied,True,1050.0,CDER,CDER
fda-2010-p-0642,FDA-2010-P-0642-0005_Teva_Pharmaceutical_Industries_Ltd___Teva_Neurosci.pdf,2011-02-11,2010,False,original petition,"Teva Pharmaceutical Industries Ltd. and Teva Neuroscience, Inc.",industry/corporation,"- 21 C.F.R. § 10.30 – Citizen petition process (implied, not restated in supplement)
- 21 C.F.R. § 25.30, § 25.31(a) – Environmental impact exclusions","FDA’s approach to approving Abbreviated New Drug Applications (ANDAs) for generic Copaxone® (glatiramer acetate), despite uncertainty about its mechanism of action.","FDA should not approve any ANDA for a generic version of Copaxone® unless and until:
– Its mechanism of action is fully understood
– ANDA applicants satisfy conditions outlined in the original petition (e.g., proving equivalence despite product complexity)","- Copaxone®'s mechanism of action is not fully understood, making it impossible to assess therapeutic equivalence through standard bioequivalence methods.
- FDA refused to approve a Teva sNDA for a new Copaxone® formulation (same active ingredient, less water) due to lack of efficacy data, reinforcing the need for clinical trials.
- If FDA cannot ensure equivalence of a new Copaxone® formulation that is chemically identical but varies only in volume, it certainly cannot do so for a follow-on product with any differences.",,"Denied
The FDA formally denied the citizen petition submitted by Teva Neuroscience requesting that the FDA not approve any ANDA for a generic version of Copaxone without meeting stringent characterization and clinical equivalence requirements",2011-06-08,0.0,"Center for Drug Evaluation and Research (CDER)
Signed by Janet Woodcock, M.D., Director","Section 505(q) of the FDCA (21 U.S.C. § 355)
- Section 505(j) of the FDCA
- 21 CFR § 314.92(a)(1) – ""same as"" active ingredient standard
- 21 CFR § 314.94(a)(5)(i) – ANDA requirements
- 21 CFR § 314.127(a)(3) – grounds for denying an ANDA
- 21 CFR § 320.1(c) – pharmaceutical equivalents
- 21 CFR Part 314 – application procedures
- 21 CFR § 210.3(b)(7) – definition of active ingredient",,"FDA emphasized its broad discretion under the law to determine “sameness” of active ingredients for ANDA approvals, supported by legal precedent (e.g., Serono Labs v. Shalala).
- The petition's requested criteria for equivalence (including full characterization of glatiramer acetate) were viewed as too restrictive and premature.
- FDA reaffirmed that it may require a multi-criteria scientific assessment to evaluate “sameness” for complex products like Copaxone, but these must be developed through case-specific review.
- The agency argued that preemptively setting specific standards for generic Copaxone would effectively decide the approvability of future ANDAs without appropriate procedural review.
- FDA stated it has sufficient internal expertise to evaluate ANDAs for glatiramer acetate without convening an advisory committee.",denied,True,117.0,CDER,CDER
fda-2010-p-0011,FDA-2010-P-0011-0001_Bright_Future_Pharmaceutical_Lab__Ltd____Citizen_P.pdf,2010-01-04,2010,False,original petition,Bright Future Pharmaceutical Lab. Ltd.,advocacy/academic,Section 505(j)(2)(C) of the FDCA; 21 CFR 25.300,Request to designate Panadol® as RLD or advise an alternative,Permit submission of ANDA for BF-PARADAC (500mg acetaminophen immediate-release tablet) using Panadol® as the RLD or suggest an alternative RLD,"BF-PARADAC has been marketed in Hong Kong since 2002 and shown to be bioequivalent to Panadol® in clinical studies (bioavailability: 96%–104%).
- No exact RLD is available in the FDA Orange Book for a single-ingredient 500 mg acetaminophen immediate-release tablet.
- Panadol® is widely recognized internationally and similar in dosage form, strength, route, and therapeutic effect.
- Other products like Fortolin® (500 mg acetaminophen tablet) marketed in the U.S. share similar properties.
- The petition includes clinical bioequivalence studies, draft U.S. labeling, and international marketing approvals as evidence",,,2025-10-15,0.0,,,,,no decision,False,5763.0,pending,pending
fda-2010-p-0012,FDA-2010-P-0012-0001_Patrick_Foster___Citizen_Petition.pdf,2009-12-21,2010,False,original petition,Patrick Foster,individual,"Section 505(j)(2)(C) of the FDCA; 21 CFR §§ 10.20, 10.30, 314.93",Petition to allow ANDA for higher concentration morphine sulfate injection,"Permit filing of ANDA for Morphine Sulfate Injection, 25 mg/mL (PF), in 50 mL and 100 mL SDVs","Existing FDA-listed RLDs (e.g., NDA 019916 by Hospira) only include lower-strength presentations (0.5, 1.0, 5 mg/mL).
- Although Hospira markets a 25 mg/mL product, it is not listed in the Orange Book, creating a regulatory gap.
- The petitioner’s proposed product would allow hospital and compounding pharmacies to prepare commonly used doses more efficiently by diluting a concentrated stock solution.
- Product is not intended for direct infusion, contains no preservatives, and differs from RLD in total content and packaging only, not in active ingredient, route of administration, or general formulation intent.
- The proposed product’s labeling and use would mirror that of currently marketed high-strength products (e.g., Hospira and Baxter), with appropriate precautions for dilution and non-epidural/intrathecal use",,Withdrawn,2010-11-07,0.0,Division of Dockets Management,Not Mentioned,,Petition was withdrawn by Alaunus Pharmaceutical LLC on behalf of Patrick Foster.,withdrawn,True,321.0,DMS,Other/Specialty Center
fda-2010-p-0015,FDA-2010-P-0015-0001_Lachman_Consultant_Services__Inc____Citizen_Petiti.pdf,2010-01-05,2010,False,original petition,"Lachman Consultant Services, Inc.",law/consulting,Section 505(j)(2)(C) of the FDCA; 21 CFR 10.30,ANDA request for strength change of Zolpidem Tartrate,"Permit submission of an ANDA for Zolpidem Tartrate Tablets, 7.5 mg","The 7.5 mg strength is an intermediate dosage between the existing 5 mg and 10 mg Ambien® tablets.
- Approved labeling of Ambien® suggests dosage individualization, especially for elderly, debilitated, or hepatically impaired patients.
- A 7.5 mg tablet provides greater dosing flexibility and facilitates titration to avoid adverse effects.
- No other labeling changes are proposed besides strength.
- Draft labeling for the proposed product and RLD labeling are provided as attachments to support equivalence and safety",,Denied,2010-10-01,0.0,Center for Drug Evaluation and Research (CDER),21 C.F.R. § 10.30; Section 505(j)(2)(C) of the FDCA,,"The proposed 7.5 mg strength is not supported by the approved labeling of the reference listed drug (Ambien® 5 mg and 10 mg).
- The RLD labeling does not contemplate a 7.5 mg dose; instead, it recommends titration only in 5 mg increments (5 mg or 10 mg).
- Allowing a 7.5 mg strength would constitute a new dosing regimen, which is not permitted via a suitability petition under the FDCA.
- Therefore, the proposed change is not petitionable and must instead be submitted under a full NDA process (Section 505(b)).
- The FDA provides an opportunity for reconsideration within 30 days if based on original information",denied,True,269.0,CDER,CDER
fda-2010-p-0016,FDA-2010-P-0016-0001_Hisamitsu_Pharmaceutical_Co___Inc____Citizen_Petit.pdf,2009-12-31,2010,False,original petition,"Hisamitsu Pharmaceutical Co., Inc.",industry/corporation,Section 505 of the FDCA; 21 CFR § 10.30; 21 CFR § 320.24(b)(4),Approval of ANDAs for generic versions of SALONPAS® Pain Relief Patch,"Request that FDA refrain from approving any ANDA for SPRP unless it includes clinical trials, skin safety studies, bioavailability data, and identical patch size and formulation.","Lidoderm® is a complex topical patch with unique release and adhesion properties that affect clinical performance.
- Improperly designed generics could result in variable drug delivery, patch detachment, or reduced efficacy.
- FDA had recently issued a draft product-specific bioequivalence guidance for lidocaine patches, which recognizes these complexities.
- Precedents (e.g., Toprol XL®) show that therapeutic equivalence concerns justify heightened scrutiny and performance demonstration for transdermal or topical systems.
- Without safeguards, patients could be exposed to non-equivalent, less effective, or unsafe products, undermining public health confidence in generics",2010-07-07 00:00:00,,2025-10-15,1.0,,,Petition for delaying ANDA approvals of Salonpas patch not yet resolved. Interim notice given per FDA regs.,,no decision,False,5767.0,pending,pending
fda-2010-p-0027,FDA-2010-P-0027-0001_Lachman_Consultant_Services__Inc____Citizen_Petiti.pdf,2010-01-12,2010,False,original petition,"Lachman Consultant Services, Inc.",law/consulting,21 CFR 10.30; 21 CFR 314.161,Withdrawal of Actonel (risedronate sodium) 75 mg from market,Determine whether Actonel 75 mg Tablets were withdrawn for reasons of safety or effectiveness,"The product was approved on April 16, 2007 and listed in the Orange Book.
- It now appears in the discontinued section (first noted in Supplement 05, May 2009).
- There is no public indication that the innovator (Procter & Gamble) is currently marketing it.
- Under FDA regulations (314.161 & 314.162), a determination is required before approving ANDAs referencing such a product.
- The petitioner asserts that this discontinuation requires a formal safety/efficacy determination.",,Approved,2010-07-07,0.0,CDER,21 CFR 314.161; 21 CFR 314.162,,"FDA reviewed its records and found no evidence that ACTONEL (75 mg) or ACTONEL WITH CALCIUM (35/500 mg) were withdrawn for safety or efficacy reasons.
- No petitioners submitted data suggesting such reasons.
- FDA conducted an independent review of literature and postmarketing data and found no safety/effectiveness concerns.

- FDA will maintain both drugs in the Discontinued Drug Product List and allow ANDA approvals if all other requirements are met.",approved,True,176.0,CDER,CDER
fda-2010-p-0028,FDA-2010-P-0028-0001_Parnell_Technologies_Pty___Ltd____Citizen_Petition.pdf,2010-01-11,2010,False,original petition,Parnell Technologies Pty Ltd,industry/corporation,21 CFR § 10.30; Section 512(n)(3) of the FDCA,Suitability for ANADA submission for Gonabreed (gonadorelin 100 µg/mL),Allow submission of ANADA for Gonabreed (different strength of approved RLD Cystorelin®),"The proposed product is bioequivalent to the RLD in terms of dose (100 µg per animal vs. 86 µg), route of administration (parenteral), and clinical use (in dairy cattle).
- Product labeling would be identical in indications and precautions, differing only in dose volume (1 mL vs. 2 mL).
- Gonadorelin in the proposed product is the same salt form as in Cystorelin® and is chemically and functionally equivalent.
- The concentration difference does not pose safety or effectiveness issues.
- An environmental assessment is not required, as the product will be used under veterinary supervision in terrestrial species",,,2025-10-15,0.0,,,,,no decision,False,5756.0,pending,pending
fda-2010-p-0045,FDA-2010-P-0045-0001_Richard_F__Edlich__M_D___Ph_D___et_al___Citizen_Pe.pdf,2010-01-19,2010,False,original petition,"Richard F. Edlich, M.D., Ph.D. and co-signers",individual,21 CFR 10.30,Presence of the 'Medical Glove Powder Report' on the FDA website,Remove the 'Medical Glove Powder Report' from FDA’s website,"The petition argues that the FDA's glove powder report is outdated (last peer-reviewed citation from 1997) and ignores the Citizen Petition to ban cornstarch on medical gloves submitted earlier by 12 health professionals.
- The FDA report omits recent peer-reviewed findings, presents inaccurate market data from 1996, and lacks mention of serious health risks (e.g., latex allergies, surgical complications).
- The report has not been effectively disclosed to the scientific community (its revision date is not shown on printed copies).
- The petitioners cite environmental and economic impacts, including decreased allergic reactions and cost savings due to avoided complications from cornstarch-related injuries and infections",,"Granted in Part / Denied in Part:
- Granted: Ban on powdered medical gloves, removal of glove powder report, final decisions on several older petitions
- Denied: Requests for new regulatory guidelines and reclassification of certain devices (rendered moot by ban)",2018-04-04,0.0,CDRH,81 FR 15173; 81 FR 91722,,"FDA considered Dr. Edlich’s petitions and the data he submitted as part of the rulemaking process.
- The agency issued a final rule on December 19, 2016 banning powdered surgeon's gloves, powdered patient examination gloves, and absorbable glove powder, thus achieving the main aims of the petitions.
- FDA removed the ""Medical Glove Powder Report"" from its website as part of this action.
- FDA denied the request to establish new procedural guidelines for petition responses, citing existing adequate rules (21 C.F.R. 10.30).
- Reclassification requests were denied as moot due to the ban effectively removing those products from the market",approved,True,2997.0,CDRH,CDRH
fda-2010-p-0050,FDA-2010-P-0050-0001_Public_Citizen_Health_Research_Group___Citizen_Pet.pdf,2010-01-20,2010,False,original petition,Public Citizen Health Research Group,advocacy/academic,21 U.S.C. § 355(e)(3); 21 CFR 10.30,FDA's continued market approval of Savella (milnacipran),Immediate removal of Savella from the U.S. market,"Lack of efficacy: Trials showed only marginal benefit (7–9% improvement vs. placebo), with no statistically significant pain relief when measured alone.
- Manipulated trial protocol: Sponsors modified trial criteria mid-process and post-hoc to attain statistical significance.
- Severe safety concerns, including:
  • Suicidal ideation
  • Cardiovascular risks (increased blood pressure and heart rate)
  • Liver toxicity and renal risks
  • Withdrawal and dependency symptoms
  • Risks in pregnancy, breastfeeding, and reproductive issues
  • GI disorders and serotonin syndrome
- EU Rejection: The European Medicines Agency denied approval of Savella for fibromyalgia on July 23, 2009, citing the same concerns",2010-07-14 00:00:00,Denied,2016-07-03,1.0,CDER,Section 505(e)(2) of the FDCA,"The petition requests the FDA to remove Savella (milnacipran) from the market, citing questionable clinical efficacy and potentially serious risks.
- FDA has not yet completed its evaluation due to the complexity of the issues involved, necessitating extensive review and analysis by agency officials","🧪 Clinical Trial Design & Analysis
Savella (milnacipran hydrochloride) was approved based on two rigorous, randomized, double-blind, placebo-controlled trials (Study 031 and Study 02).

FDA found the statistical analyses, including the use of composite endpoints and post hoc analysis methods, to be valid and appropriate. The agency explained that the same imputation method for both studies increased data reliability and comparability.

📊 Study Endpoints
Composite endpoints (pain reduction, physical function, and patient global assessment) were deemed suitable due to fibromyalgia being a syndrome with multiple symptoms.

The FDA concluded that statistically significant results were achieved when evaluating these combined endpoints.

💊 Benefit-Risk Profile
FDA stated the benefits of Savella outweigh its risks.

The agency cited updates to product labeling with enhanced safety information and postmarketing safety analyses that supported continued marketing.

🛑 Rebuttal to Petitioner’s Claims
FDA addressed concerns about changing study protocols, exclusion of severely depressed patients, and efficacy thresholds.

The agency rebutted the claim that the benefit was marginal (7–9%) and provided context for interpreting composite endpoint success.

🔍 Safety Monitoring
The agency acknowledged known safety issues, including elevated blood pressure and heart rate, but noted these were class effects typical of SNRIs and managed through updated labeling.",denied,True,2356.0,CDER,CDER
