File Name,Date of Petition,Identity of Submitting Entity,Source_Year
FDA-2000-P-0001-0002_Citizen_Petition_from_Pfizer__Inc_.pdf,"August 17,200",Pfizer  Inc,2000
FDA-2000-P-0060-0007_Citizen_Petition_from_Iceberg_Industries_Corporati.pdf,"September 
28,200",Iceberg Industries Corporati,2000
FDA-2000-P-0064-0002_Change_in_Classification_Petition_from_Biosite_Dia.pdf,"November 14, 2000",Biosite Dia,2000
FDA-2000-P-0097-0001_Frozen_Desserts__Petition_to_Revoke_Standards_for_.pdf,"November 30, 2021",Revoke Standards for,2000
FDA-2000-P-0097-0006_Citizen_Petition_from_Kraft_Foods__Inc_.pdf,"August 28,200",Kraft Foods  Inc,2000
FDA-2000-P-0097-0009_Citizen_Petition_from_Sartori_Foods_Corporation.pdf,"December 20,200",Sartori Foods Corporation,2000
FDA-2000-P-0097-0024_TMP_and_Petition_to_Amend_the_Standard_of_Identity.pdf,"November 30, 2021",Amend the Standard of Identity,2000
FDA-2000-P-0102-0018_Cargill_Inc___Covington___Burling____Petition_for_.pdf,"January 7, 2011",Cargill Inc   Covington   Burling,2000
FDA-2000-P-0126-0001_Milk___Cream_Products___Yogurt_Products__Petition_.pdf,"February 18, 2000",,2000
FDA-2000-P-0126-0006_Milk___Cream_Products___Yogurt_Products__Petition_.pdf,"February 18, 2000",,2000
FDA-2000-P-0126-0007_National_Yogurt_Association___Citizen_Petition.pdf,"September 21, 1982",National Yogurt Association,2000
FDA-2000-P-0126-0110_Milk_and_Cream__Petition_for_an_Administrative_Sta.pdf,"March 23, 2022",Milk and Cream,2000
FDA-2000-P-0133-0017_Covington___Burling__Cargill_Inc_____Petition_for_.pdf,"January 7, 2011",Covington   Burling  Cargill Inc,2000
FDA-2000-P-0212-0001_New_Jersey_General_Assembly___Citizen_Petition.pdf,"June 3,1993",New Jersey General Assembly,2000
FDA-2000-P-0244-0001_Citizen_Petition_from_American_College_of_OB_GYN__.pdf,"August 
23, 2000",American College of OB GYN,2000
FDA-2000-P-0252-0001_Citizen_Petition_from_Boston_Scientific_Corporatio.pdf,September 2000,Boston Scientific Corporatio,2000
FDA-2000-P-0409-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"June 22,200",Lachman Consultant Services,2000
FDA-2000-P-0412-0001_Citizen_Petition_from_Arnall__Golden___Gregory__LL.pdf,"May 16,2000",Arnall  Golden   Gregory  LL,2000
FDA-2000-P-0412-0014_Citizen_Petition_from_Consumer_Healthcare_Products.pdf,"September 8, 2000",Consumer Healthcare Products,2000
FDA-2000-P-0414-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,"February 10, 2000",Lachman Consultant Services,2000
FDA-2000-P-0565-0001_Citizen_Petition_from_Pharmaceutical_Associates__I.pdf,"November 28,200",Pharmaceutical Associates  I,2000
FDA-2000-P-0756-0001_Citizen_Petition_from_Phoenix_Scientific__Inc_.pdf,"February 7, 2000",Phoenix Scientific  Inc,2000
FDA-2000-P-0916-0001_Citizens_Petition_from_The_Humane_Society_of_the_U.pdf,"March 10,200",The Humane Society of the U,2000
FDA-2000-P-0924-0003_Change_in_Classification_Petition_from_Cook_MED_In.pdf,August 282000,Cook MED In,2000
FDA-2000-P-1064-0001_Citizen_Petition_from_Mead_Johnson_Nutritionals.pdf,"January 24, 2000",Mead Johnson Nutritionals,2000
