File Name,Date of Response,Identity of Submitting Entity,Source_Year
FDA-2000-P-0060-0006_FDA_CFSAN_Response_to_Iceberg_Industries_Corporati.pdf,"September 
28,200",Iceberg Industries Corporati,2000
FDA-2000-P-0060-0012_Response_from_FDA_CFSAN_to_Iceberg_Industries_Corp.pdf,"September 19,2000",FDA CFSAN to Iceberg Industries Corp,2000
FDA-2000-P-0098-0001_FDA_Office_for_Policy_Response_to_Center_for_Food_.pdf,"May 29, 1992",Center for Food,2000
FDA-2000-P-0126-0009_CFSAN_ONPLDS_Response_to_Patton_Boggs__LLP___Lette.pdf,"February 18,2000",Patton Boggs  LLP   Lette,2000
FDA-2000-P-0126-0010_CFSAN_ONPLDS_Response_to_Patton_Boggs__LLP__Stuart.pdf,"February 18, 2000",Patton Boggs  LLP  Stuart,2000
FDA-2000-P-0126-0094_Letter_to_Zimmerman_Reed__P_L_L_P___Response_to_FD.pdf,"June 28, 2013",Zimmerman Reed  P L L P   Response to FD,2000
FDA-2000-P-0126-0132_International_Dairy_Foods_Association__Response_to.pdf,"April 14, 2023",,2000
FDA-2000-P-0126-0134_Compliance_Extension_Request_Response_Letter_from_.pdf,"April 13, 2023",,2000
FDA-2000-P-0126-0135_International_Dairy_Foods_Association__Response_to.pdf,"May 18, 2023",,2000
FDA-2000-P-0134-0011_Final_Response_from_FDA_CFSAN_to_Zuckerman_Spaeder.pdf,"May 6,2004",FDA CFSAN to Zuckerman Spaeder,2000
FDA-2000-P-0134-0012_Response_Letter_from_FDA_CFSAN_to_W__Schultz_and_C.pdf,"November 4, 2019",FDA CFSAN to W  Schultz and C,2000
FDA-2000-P-0213-0002_Final_Response_Letter_from_the_FDA_CDRH_to_Maet_In.pdf,"June 23, 2000",the FDA CDRH to Maet In,2000
FDA-2000-P-0252-0008_Interim_Response_Letter_from_FDA_CDRH_to_Boston_Sc.pdf,"September 22, 2000",FDA CDRH to Boston Sc,2000
FDA-2000-P-0412-0019_Interim_Response_Letter_from_FDA_CDER_to_Arnall_Go.pdf,"May 23, 2000",FDA CDER to Arnall Go,2000
FDA-2000-P-0755-0001_30_Day_Response_Letter_from_FDA_CFSAN_to_Arnall_Go.pdf,"May 6, 2024",FDA CFSAN to Arnall Go,2000
FDA-2000-P-0916-0003_Interim_Response_Letter_from_FDA_CFSAN_to_The_Huma.pdf,"March 10,200",FDA CFSAN to The Huma,2000
FDA-2000-P-0918-0001_Denial_Letter_from_CFSAN_to_Public_Voice_for_Food_.pdf,"January 18, 2017",CFSAN to Public Voice for Food,2000
FDA-2000-P-0940-0001_30_Day_Response_Letter_from_FDA_CFSAN_to_Consumer_.pdf,"May 6, 2024",FDA CFSAN to Consumer,2000
