File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2010-P-0648-0008_Petition_for_Stay_of_Action_from_Hogan_Lovells_US_.pdf,"October 7, 2019",,G. Pohl-Boskamp GmbH & Company KG (“Pohl”),"The petition was submitted through Hogan Lovells US LLP, specifically by Meredith Manning, Esq., Partner, on behalf of Pohl.","21 CFR 10.35 – Pertaining to petitions for stay of action

21 CFR 10.30 – Citizen petition procedures (referenced regarding the original Pohl petition)

21 USC 379j-41 et seq. – Generic Drug User Fee Act (GDUFA)

5 USC 706(2)(A) – Administrative Procedure Act (prohibits arbitrary and capricious agency action)","The September 20, 2013 approval of Abbreviated New Drug Application (ANDA) 091496 submitted by Perrigo Israel Pharmaceuticals Ltd. for a generic version of Nitrolingual Pumpspray® (nitroglycerin sublingual spray), without responding to Pohl’s pending citizen petition (submitted December 21, 2010).",That the FDA stay the effective date of approval of ANDA 091496 until the FDA issues a substantive written response to Pohl’s citizen petition (Docket No. FDA-2010-P-0648).,"FDA approved Perrigo’s ANDA without addressing key scientific and regulatory concerns raised in the 2010 petition.
- The petition requested additional bioequivalence (BE), chemistry, manufacturing and controls (CMC), and stability requirements to ensure generic product safety and therapeutic equivalence.
- FDA's actions were deemed arbitrary and lacking proper explanation, contrary to APA standards.
- Pohl argues that Perrigo's market entry without addressing these concerns would result in irreparable commercial harm and potential patient risk due to insufficient therapeutic equivalence.
- Public interest supports the petition, emphasizing the importance of prompt and transparent agency decision-making, and safety of patients relying on rapid-onset drugs for angina",,
FDA-2010-P-0658-0001_Actavis_Elizabeth_LLC___Citizen_Petition.pdf,"Printed December 29, 2010; Stamped December 30, 2010",,Actavis Elizabeth LLC,"No external representation is stated. The petition was submitted directly by Janak Jadeja, Director, on behalf of Actavis Elizabeth LLC.","21 C.F.R. § 10.30 – Citizen petition procedure

21 C.F.R. § 314.161 – Procedures for FDA determination of drug withdrawal for safety or effectiveness reasons

21 C.F.R. § 314.122 – Submission requirements for an ANDA referencing a discontinued drug

21 C.F.R. § 314.162 – Procedures related to ANDAs when reference drugs are withdrawn
","FDA's possible classification of LAMICTAL® (lamotrigine) Extended-Release Tablets, 300 mg (NDA 22-115) as withdrawn for reasons of safety or effectiveness, since it was never marketed.","Petitioner requests FDA to determine that LAMICTAL® 300 mg Extended-Release Tablets were not voluntarily withdrawn for safety or effectiveness reasons, despite no commercial marketing.","The product was approved on April 14, 2010, but has not been marketed by the NDA holder.

Under 65 Fed Reg 38,561, never marketing an approved product may be considered equivalent to withdrawal, hence the petition.

A determination is necessary to allow ANDA applicants to reference the drug even though it's not commercially available.

If the product begins marketing before an FDA decision, Actavis commits to withdraw the petition.
",,
FDA-2010-P-0658-0003_Actavis_Elizabeth_LLC___Withdrawal.pdf,"Printed June 6, 2011; Stamped June 7, 2011",,Actavis Elizabeth LLC,"The petition was directly submitted and withdrawn by Janak Jadeja, Director, Actavis Elizabeth LLC. No external representation is noted.","Citizen Petition FDA-2010-P-0658-0001, originally submitted on December 29, 2010","The FDA’s determination regarding whether LAMICTAL® (lamotrigine) Extended-Release Tablets, 300 mg was withdrawn or withheld from the market for safety or efficacy reasons.","The petitioner originally requested the FDA to determine that the referenced drug product was not discontinued for safety or efficacy reasons. However, in this withdrawal notice, they now request that the petition be withdrawn as the product has entered the market.","Actavis states that the innovator (SmithKline Beecham) has introduced the product into the market, rendering the original petition moot. Therefore, they are requesting its withdrawal.",,
"FDA-2010-P-0648-0001_G__Pohl_Boskamp_GmbH___Company_KG___Citizen_Petiti.pdf
","	December 16, 2010 (stamped received by FDA on December 21, 2010)",,"G. Pohl-Boskamp GmbH & Company KG 	No law firm or external representative listed. The petition was submitted directly by Marianne Boskamp, CEO of Pohl-Boskamp.",,"- 21 USC 355(b) and 355(g) – Drug approval and abbreviated new drug application requirements
- 21 C.F.R. § 10.30 – Citizen petition process
- 21 C.F.R. § 25.31 – Environmental impact exclusion
- 21 USC 351(a)(2)(B) – GMP compliance
- 21 C.F.R. §§ 210–211, 314.94, 320.1, 314.50 – CMC, bioequivalence, and ANDA regulations","        FDA's 2010 Draft Bioequivalence Recommendation for Nitroglycerin Metered Spray/Sublingual products, which could enable ANDA approvals based on limited criteria.","	FDA should not approve generic nitroglycerin ANDAs based solely on the 2010 BE guidance, and instead must:
– Require PK testing on parent drug (TNG)
– Require early exposure PK (AUC₀₋₅)
– Enforce in vitro and stability testing
– Mandate extractables/leachables testing
– Require 100% unit pump functionality testing before release","	- Current BE guidance is inadequate for ensuring therapeutic equivalence, especially for rapid onset required in angina treatment.
- Scientific literature supports reliable testing of the parent compound (TNG), not just metabolites.
- Product stability and performance can be affected by storage orientation and pump design; Pohl’s rigorous testing sets a precedent.
- Public health concerns: Inadequate or delayed relief could cause panic, harm, or misdiagnosis for angina patients.",,
FDA-2010-P-0642-0005_Teva_Pharmaceutical_Industries_Ltd___Teva_Neurosci.pdf,"	February 11, 2011 (date stamped by FDA upon receipt)",,"Teva Pharmaceutical Industries Ltd. and Teva Neuroscience, Inc.","Submitted directly by J. Michael Nicholas, Ph.D., Sr. Director, Strategic Regulatory Affairs at Teva. No external law firm or third-party representative is listed.","- 21 C.F.R. § 10.30 – Citizen petition process (implied, not restated in supplement)
- 21 C.F.R. § 25.30, § 25.31(a) – Environmental impact exclusions","FDA’s approach to approving Abbreviated New Drug Applications (ANDAs) for generic Copaxone® (glatiramer acetate), despite uncertainty about its mechanism of action.","FDA should not approve any ANDA for a generic version of Copaxone® unless and until:
– Its mechanism of action is fully understood
– ANDA applicants satisfy conditions outlined in the original petition (e.g., proving equivalence despite product complexity)","- Copaxone®'s mechanism of action is not fully understood, making it impossible to assess therapeutic equivalence through standard bioequivalence methods.
- FDA refused to approve a Teva sNDA for a new Copaxone® formulation (same active ingredient, less water) due to lack of efficacy data, reinforcing the need for clinical trials.
- If FDA cannot ensure equivalence of a new Copaxone® formulation that is chemically identical but varies only in volume, it certainly cannot do so for a follow-on product with any differences.",,
FDA-2010-P-0011-0001_Bright_Future_Pharmaceutical_Lab__Ltd____Citizen_P.pdf,"Printed December 17, 20109; Stamped January 4, 2010",,Bright Future Pharmaceutical Lab. Ltd.,"Submitted directly by Bruce Tang, Technical Specialist",Section 505(j)(2)(C) of the FDCA; 21 CFR 25.300,Request to designate Panadol® as RLD or advise an alternative,Permit submission of ANDA for BF-PARADAC (500mg acetaminophen immediate-release tablet) using Panadol® as the RLD or suggest an alternative RLD,"BF-PARADAC has been marketed in Hong Kong since 2002 and shown to be bioequivalent to Panadol® in clinical studies (bioavailability: 96%–104%).
- No exact RLD is available in the FDA Orange Book for a single-ingredient 500 mg acetaminophen immediate-release tablet.
- Panadol® is widely recognized internationally and similar in dosage form, strength, route, and therapeutic effect.
- Other products like Fortolin® (500 mg acetaminophen tablet) marketed in the U.S. share similar properties.
- The petition includes clinical bioequivalence studies, draft U.S. labeling, and international marketing approvals as evidence",,
FDA-2010-P-0012-0001_Patrick_Foster___Citizen_Petition.pdf,"Printed December 21, 2009; Stamped January 4, 2010",,Patrick Foster,Submitted individually by Patrick Foster,"Section 505(j)(2)(C) of the FDCA; 21 CFR §§ 10.20, 10.30, 314.93",Petition to allow ANDA for higher concentration morphine sulfate injection,"Permit filing of ANDA for Morphine Sulfate Injection, 25 mg/mL (PF), in 50 mL and 100 mL SDVs","Existing FDA-listed RLDs (e.g., NDA 019916 by Hospira) only include lower-strength presentations (0.5, 1.0, 5 mg/mL).
- Although Hospira markets a 25 mg/mL product, it is not listed in the Orange Book, creating a regulatory gap.
- The petitioner’s proposed product would allow hospital and compounding pharmacies to prepare commonly used doses more efficiently by diluting a concentrated stock solution.
- Product is not intended for direct infusion, contains no preservatives, and differs from RLD in total content and packaging only, not in active ingredient, route of administration, or general formulation intent.
- The proposed product’s labeling and use would mirror that of currently marketed high-strength products (e.g., Hospira and Baxter), with appropriate precautions for dilution and non-epidural/intrathecal use",,
FDA-2010-P-0015-0001_Lachman_Consultant_Services__Inc____Citizen_Petiti.pdf,"Printed January 5, 2010; Stamped January 6, 2010",,"Lachman Consultant Services, Inc.",Filed on behalf of a client (name not disclosed),Section 505(j)(2)(C) of the FDCA; 21 CFR 10.30,ANDA request for strength change of Zolpidem Tartrate,"Permit submission of an ANDA for Zolpidem Tartrate Tablets, 7.5 mg","The 7.5 mg strength is an intermediate dosage between the existing 5 mg and 10 mg Ambien® tablets.
- Approved labeling of Ambien® suggests dosage individualization, especially for elderly, debilitated, or hepatically impaired patients.
- A 7.5 mg tablet provides greater dosing flexibility and facilitates titration to avoid adverse effects.
- No other labeling changes are proposed besides strength.
- Draft labeling for the proposed product and RLD labeling are provided as attachments to support equivalence and safety",,
FDA-2010-P-0016-0001_Hisamitsu_Pharmaceutical_Co___Inc____Citizen_Petit.pdf,"Printed December 31, 2009; Stamped January 6, 2010",,"Hisamitsu Pharmaceutical Co., Inc.","Submitted directly by Hisamitsu Pharmaceutical Co., Inc.",Section 505 of the FDCA; 21 CFR § 10.30; 21 CFR § 320.24(b)(4),Approval of ANDAs for generic versions of SALONPAS® Pain Relief Patch,"Request that FDA refrain from approving any ANDA for SPRP unless it includes clinical trials, skin safety studies, bioavailability data, and identical patch size and formulation.","Lidoderm® is a complex topical patch with unique release and adhesion properties that affect clinical performance.
- Improperly designed generics could result in variable drug delivery, patch detachment, or reduced efficacy.
- FDA had recently issued a draft product-specific bioequivalence guidance for lidocaine patches, which recognizes these complexities.
- Precedents (e.g., Toprol XL®) show that therapeutic equivalence concerns justify heightened scrutiny and performance demonstration for transdermal or topical systems.
- Without safeguards, patients could be exposed to non-equivalent, less effective, or unsafe products, undermining public health confidence in generics",,
FDA-2010-P-0017-0001_Foley___Lardner_LLP___Citizen_Petition.pdf,"January 6, 2010 Printed and stamped",,Foley & Lardner LLP,"Filed by David L. Rosen on behalf of Kremers Urban, LLC",21 U.S.C. § 355(j); 21 CFR § 10.30; 21 CFR § 10.115,Approval of ANDAs or 505(b)(2) NDAs for highly potent pharmaceutical products,"1) Restrict approval of ANDAs/505(b)(2) NDAs for highly potent drugs without strict facility controls, 2) Issue draft guidance, 3) Convene advisory committee, 4) Identify list of highly potent pharmaceuticals.","Significant health and environmental risks from cross-contamination.
- FDA has previously acknowledged the risks (e.g., 61 Fed. Reg. 20,104, May 3, 1996).
- Lack of finalized rules or enforceable guidance.
- Examples cited from FDA Warning Letters to companies with cGMP deficiencies.
- Need for dedicated facilities, segregated processing, and risk mitigation practices.
- Reference to EU efforts and industry literature recommending controls",,
