File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2012-P-1189-0010_Extension_Request_TMP_for_Canned_Tuna.pdf,20-Jun-12,"Bumble Bee Foods, LLC; StarKist Co.; Tri-Union Seafoods, LLC (Chicken of the Sea)",Represented by Covington & Burling LLP (Alan M. Slobodin),21 CFR 10.30; 21 CFR 130.12,Request extension of temporary marketing permit for canned tuna labeled by drained weight rather than pressed cake weight,Requested to maintain current labeling while FDA rulemaking proceeds; no consumer deception or health concerns identified,
FDA-2012-P-0119-0010_Redacted_Appeal_from_Mario_Morais.pdf,4-Jul-14,Mario Morais,N/A,21 CFR 10.75,Appeal regarding previous denial of Citizen Petition concerning desiccant labeling in pharmaceutical packaging,Request for reconsideration based on new arguments and interpretations of labeling standards,
FDA-2012-P-0260-0021_Amendment_from_Fisher_Wallace_Laboratories_LLC.pdf,7-May-14,Fisher Wallace Laboratories LLC,N/A,N/A,Request to amend citizen petition requesting FDA to reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Updated scientific rationale and regulatory arguments for reclassification of CES devices,
FDA-2012-P-0895-0004_Endo_Pharmaceuticals_Inc_Endo_Supplement.pdf,1-Nov-12,Endo Pharmaceuticals Inc.,N/A,Section 505(j)(6) of FD&C Act; 21 CFR 314.161,Supplement to original citizen petition requesting FDA find non-crush-resistant Opana ER discontinued for safety reasons and refuse/suspend ANDAs,New post-marketing data showing increased abuse and safety concerns with non-crush-resistant formulation,
FDA-2012-P-0794-0001_Piedmont_Animal_Health_Citizen_Petition.pdf,24-Aug-12,Piedmont Animal Health,N/A,21 CFR 514.1; 21 CFR 514.8; 21 CFR 514.111,Suitability petition requesting permission to submit ANADA for chewable praziquantel/pyrantel pamoate/febantel for dogs,"Differences from pioneer product (chewable form, texture, size) do not affect active ingredients or intended use",
FDA-2012-P-0270-0001_Neuro_Fitness_LLC___Citizen_Petition.pdf,23-Mar-12,Neuro Fitness LLC,N/A,21 CFR 10.30,Request FDA to reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Scientific literature and clinical evidence support reclassification for safety and effectiveness,
FDA-2012-P-0404-0001_Public_Citizen_Health_Research_Group_Citizen_Petit.pdf,11-Apr-12,Public Citizen Health Research Group,N/A,21 CFR 10.30,"Request FDA to remove propoxyphene-containing products (e.g., Darvon, Darvocet) from the market due to cardiovascular risks",Evidence of serious cardiac side effects outweighs benefits,
FDA-2012-P-0272-0001_Actavis_Inc__Attachments_1_and_2__Citizen_Petition.pdf,22-Mar-12,Actavis Inc.,N/A,21 CFR 10.30,Request that FDA refuse to approve or suspend approval of any ANDAs referencing original Opana ER formulation,Argues that changes to formulation (crush-resistant) were necessary for safety; allowing generic approval of non-crush-resistant would pose public health risk,
FDA-2012-P-0317-0001_Abbott_Laboratories_Covington_and_Burling_LLP__Cit.pdf,2-Apr-12,Abbott Laboratories (represented by Covington & Burling LLP),Covington & Burling LLP,21 C.F.R. § 10.30; Section 351 of PHSA (BPCIA),"Request that FDA not accept, file, approve, or otherwise consider biosimilar applications referencing Humira before March 23, 2010",Based on constitutional protections (Fifth Amendment takings clause) and preserving trade secrets from premature disclosure,
FDA-2012-P-0749-0001_Reference_2_Nasonex_NDA_20_762_Formulation_Develop.pdf,29-May-12,"Merck & Co., Inc.",N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA referencing Nasonex unless bioequivalence is demonstrated using the innovator's formulation,"Differences in formulation could impact clinical performance; thus, stricter bioequivalence standards needed",
FDA-2012-P-0053-0001_Lannett_Company_Inc_and_Cody_Laboratories_Inc_Alst.pdf,18-Jan-12,Lannett Company Inc. and Cody Laboratories Inc.,Alston & Bird LLP,21 CFR 10.30,Request for FDA to withdraw approval of certain generic morphine sulfate oral solutions due to bioequivalence and safety concerns,Alleged inadequacy of bioequivalence data and potential safety risks for patients,
FDA-2012-P-0298-0001_Joseph_Dedvukaj_Firm_PC_On_Behalf_of_Arena_Pharmac.pdf,20-Mar-12,Joseph Dedvukaj Firm PC on behalf of Arena Pharmaceuticals,N/A,21 CFR 10.30,Request for FDA approval of Lorcaserin for treatment of obesity,Claims sufficient evidence of safety and efficacy for new drug application approval,
FDA-2012-P-0733-0001_Jazz_Pharmaceuticals_Citizen_Petition.pdf,1-Jun-12,"Jazz Pharmaceuticals, Inc.",N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA for sodium oxybate oral solution that omits the Risk Management Program requirements,Argues that RMP requirements are necessary for safe use and should be mandatory for all generic applicants,
FDA-2012-P-0947-0001_Mallinckrodt_Inc__Citizen_Petition.pdf,12-Jul-12,Mallinckrodt Inc.,N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA for generic Exalgo unless bioequivalence is demonstrated using the approved crush-resistant formulation,Public health concerns regarding abuse potential if bioequivalence to crush-resistant formulation is not assured,
FDA-2012-P-0939-0001_Purdue_Pharma_L_P_Kleinfeld_Kaplan_and_Becker_LLP_.pdf,5-Jul-12,"Purdue Pharma L.P. (represented by Kleinfeld, Kaplan and Becker LLP)","Kleinfeld, Kaplan and Becker LLP",21 CFR 10.30,Request that FDA refuse to approve any ANDAs referencing OxyContin without demonstrating abuse-deterrent properties,Argues that removing abuse-deterrent features would pose public health risks and undermine incentives for innovation,
FDA-2012-P-0695-0006_Lorillard_Inc__Letter.pdf,11-Jun-12,"Lorillard, Inc.",N/A,21 CFR 10.30,Request to revise or withdraw sections of a Draft Guidance related to harmful and potentially harmful constituents (HPHCs) reporting requirements for tobacco products,"Argues that certain reporting requirements were premature, burdensome, and lacked statutory basis",
FDA-2012-P-0260-0001_Fisher_Wallace_Laboratories_LLC_Citizen_Petition.pdf,2-Mar-12,Fisher Wallace Laboratories LLC,N/A,21 CFR 10.30,Request that FDA reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Claims sufficient evidence of safety and effectiveness based on clinical data,
FDA-2012-P-0963-0001_Charles_J_Zimmerer_Citizen_Petition.pdf,18-Jul-12,Charles J. Zimmerer,N/A,21 CFR 10.30,Request for reconsideration of FDA's refusal to grant orphan drug designation for a specific product,Argues that the denial was based on incorrect interpretations of regulatory criteria,
FDA-2012-P-0275-0001_William_H_Lamont_Citizen_Petition.pdf,19-Mar-12,William H. Lamont,N/A,21 CFR 10.30,Request for FDA to initiate recall and conduct testing on certain nutritional supplements marketed for infants,Concerns over contamination and labeling inaccuracies potentially affecting infant health,
FDA-2012-P-0760-0001_Purdue_Pharma_L_P_Kleinfeld_Kaplan_and_Becker_LLP_.pdf,13-Jul-12,"Purdue Pharma L.P. (represented by Kleinfeld, Kaplan and Becker LLP)","Kleinfeld, Kaplan and Becker LLP",21 CFR 10.30,Request that FDA refuse to approve any ANDA for generic reformulated OxyContin unless it demonstrates comparable abuse-deterrent properties,Claims that tamper-resistance is essential for public health and generics must meet similar standards,
