File Name,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Date of Petition
FDA-2013-P-0025-0001_Citizen_Petition_from_Teva_Pharmaceutical_Industri.pdf,"Teva Pharmaceutical Industries Ltd. and Teva Neuroscience, Inc.",No,"21 C.F.R. § 10.30, 21 U.S.C. § 355(b), 21 U.S.C. § 355(s)",The petitioner is commenting on FDA’s process of approving new drugs for the treatment of multiple sclerosis (MS) without prior review by the Peripheral and Central Nervous System Advisory Committee (PCNS Advisory Committee).,"The petitioner requests that FDA refrain from approving any full New Drug Application (NDA) or Biologics License Application (BLA) for new MS treatments unless and until the FDA has referred the product to, and considered the recommendations of, the PCNS Advisory Committee.","The petitioner justifies the request by arguing that MS is a complex, immune-mediated disorder, and serious safety issues with new MS treatments (e.g., Tysabri, Gilenya) were identified only after widespread use. Therefore, advisory committee review is necessary to thoroughly evaluate the risks and benefits of new MS drugs before approval, in line with statutory requirements and to protect public health.","Printed December 31, 2012; Stamped nan"
FDA-2013-P-0027-0001_Custo_Pharm_Inc__Citizen_Petiton.pdf,"Custo Pharm, Inc.",No,"21 C.F.R. § 10.20, 21 C.F.R. § 10.30, 21 C.F.R. § 314.93, 21 C.F.R. § 25.31",The petitioner is commenting on the need to update the FDA’s Orange Book listing to establish a new Reference Listed Drug (RLD) for Midodrine Hydrochloride Tablets following the discontinuation of Proamatine (NDA 19815).,"The petitioner requests that the FDA designate Impax Pharmaceutical’s Midodrine Hydrochloride Tablets, ANDA 076449, as the RLD to facilitate the submission of ANDAs for generic versions of Midodrine Hydrochloride Tablets.","The petitioner justifies the request by stating that the original RLD, Proamatine, has been discontinued, and among the current products on the market, Impax's product was the first approved ANDA and remains available. Without designating a new RLD, the market would be shielded from generic competition, limiting availability and access to Midodrine Hydrochloride Tablets.","Printed Printed December 28, 2012; Stamped Stamped December 31, 2012"
FDA-2013-P-0028-0001_Custo_Pharm_Inc_Citizen_Petition.pdf,"Custo Pharm, Inc.",No,"21 C.F.R. § 10.20, 21 C.F.R. § 10.30, 21 C.F.R. § 314.93, 21 C.F.R. § 25.31","The petitioner is commenting on the FDA’s Orange Book listings, specifically on the establishment of a second reference listed drug (RLD) for Clotrimazole Troche/Lozenge 10 mg.","The petitioner requests that the FDA designate Roxane’s Clotrimazole Troche, ANDA 076387, as a second RLD for the purpose of facilitating the submission of ANDAs for a generic version of Clotrimazole Troche.","The petitioner justifies the request by explaining that Bayer’s Mycelex Troche (the current RLD) has been unavailable in the U.S. for many months. Without a second RLD designation, the product could be shielded from generic competition, thus limiting access to generic alternatives.","Printed Printed December 28, 2012; Stamped Stamped December 31, 2012"
FDA-2013-P-0040-0001_Lupin_Pharmaceuticals_Inc_Citizen_Petition.pdf,"Lupin Pharmaceuticals, Inc.",No,"21 C.F.R. § 10.30, 21 C.F.R. § 314.94, 21 C.F.R. § 25.31","The petitioner is commenting on the FDA’s Orange Book listing for Calcium Acetate Capsules, specifically regarding the designation of a Reference Listed Drug (RLD) after the original RLD (PHOSLO Capsules) became unavailable in the market.",The petitioner requests that the FDA amend the Orange Book to designate Roxane’s Calcium Acetate Capsules as the new Reference Listed Drug (RLD) for Calcium Acetate Capsules.,"The petitioner justifies the request by explaining that PHOSLO Capsules are no longer available in the market since November 2012, and Roxane’s Calcium Acetate Capsules are approved, rated AB (bioequivalent), and are currently marketed. Designating Roxane’s product as the RLD would facilitate the continued availability of generic Calcium Acetate products.","Printed nan; Stamped Stamped Jan 3, 2013"
FDA-2013-P-0047-0001_American_Heart_Association_AHA_Health_Claim_Petiti.pdf,The American Heart Association,No,"21 C.F.R. § 101.70, 21 C.F.R. § 101.75",The petitioner is commenting on the FDA’s health claim regulation regarding dietary saturated fat and cholesterol and their relationship to the risk of coronary heart disease.,The petitioner requests that FDA amend the existing health claim regulation at 21 C.F.R. § 101.75 to update the scientific basis and wording of the claim regarding the relationship between dietary saturated fat and cholesterol intake and the risk of coronary heart disease.,"The petitioner justifies the request by citing advances in scientific understanding since the original regulation was established, arguing that current scientific evidence warrants an updated health claim to better inform consumers about the relationship between diet and heart disease risk.","Printed September 28, 2012; Stamped nan"
FDA-2013-P-0048-0001_James_P_Reichmann_Citizen_Petition_Redacted.pdf,James P. Reichmann,No,"21 U.S.C. § 355(e)(3), 21 C.F.R. § 10.30",The petitioner is commenting on the FDA’s classification and regulatory approach regarding the pregnancy risk categorization and off-label promotion of ondansetron (Zofran®) for nausea and vomiting of pregnancy (NVP).,"The petitioner requests that FDA (1) reclassify ondansetron from pregnancy risk category B to category C, D, or X, and (2) notify OB/GYNs that ondansetron has not been proven effective for NVP and that promoting its use via subcutaneous pump without FDA approval violates regulations.","The petitioner justifies the request by citing limited efficacy evidence, concerns over fetal safety (including a reported increased risk of cleft palate), and FDA warnings about serious cardiac side effects (QT prolongation) associated with ondansetron, particularly with higher doses common in subcutaneous pump use.","Printed Printed January 4, 2012; Stamped Stamped January 7, 2013"
FDA-2013-P-0058-0001_Gilead_Sciences_Inc_Hogan_Lovells_US_LLP_Citizen_P.pdf,"Gilead Sciences, Inc.",Represented by Hogan Lovells US LLP,"21 C.F.R. 10.30, 21 U.S.C. 355(c)(3)(E)(ii), 21 U.S.C. 355(j)(5)(F)(ii), Hatch-Waxman Act",FDA's historical interpretation of 5-year exclusivity provisions denying exclusivity to fixed dose combinations (FDCs) containing new active moieties with previously approved moieties,Recognize 5-year exclusivity under sections 505(c)(3)(E)(ii) and 505(j)(5)(F)(ii) for each new active moiety in STRIBILD (EVG and COBI); revise FDA’s Exclusivity Summary and related documents to reflect this interpretation,"FDA’s historical interpretation is outdated, inconsistent with modern medical practice (especially in treating HIV with FDCs), not mandated by statute or regulation, leads to arbitrary results, and discourages innovation in developing fixed-dose combination therapies; administrative law permits FDA to change its interpretation without formal rulemaking.","Printed January 8, 2013; Stamped Same Date both printed and stamped"
FDA-2013-P-0066-0001_Pharmacists_Planning_Services_Inc_Citizen_Petition.pdf,"Pharmacists Planning Services, Inc. (PPSI)",No,"21 C.F.R. § 10.20, 21 C.F.R. § 10.30, Federal Food, Drug, and Cosmetic Act","The petitioner is commenting on the FDA's regulation of dietary supplements, specifically requesting action on St. John's Wort (SJW) (Hypericum perforatum) by reclassifying it from a dietary supplement to a drug placed behind the pharmacy counter.","The petitioner requests that FDA remove St. John's Wort from Herbal Dietary Supplement status and reclassify it as a Behind Pharmacy Counter Status (BPCS) drug requiring mandatory consultation, patient history review, identification, and registration.","The petitioner justifies the request by citing numerous drug interactions associated with St. John's Wort, adverse effects like vivid dreams, anxiety, and fatigue, evidence of bans or restrictions in other countries (France, Ireland, Germany), public health risks, poor patient awareness from package inserts, and concerns from professional organizations about the widespread unregulated use of herbal supplements.","Printed Printed January 9, 2013; Stamped Stamped January 14, 2013"
FDA-2013-P-0070-0001_Exhibit_A_Letter_to_Robert_Outwater_Ohmeda_Inc_Fro.pdf,"Ikaria, Inc.",No,"21 C.F.R. § 10.30, Section 505(i) of the Federal Food, Drug, and Cosmetic Act","The petitioner is commenting on the regulatory approval and classification of inhaled nitric oxide (INO) products and devices, based on communications between Ohmeda Inc. and the FDA related to clinical development and regulatory approval pathways.","The petitioner requests that FDA regulate all inhaled nitric oxide drug products and delivery systems under the drug authorities, ensuring that new nitric oxide systems are reviewed and approved through appropriate drug application processes, not solely device pathways.","The petitioner justifies the request by emphasizing that inhaled nitric oxide is a drug requiring rigorous clinical testing, highlighting safety concerns related to gas exposure to patients and healthcare workers, and stressing that regulatory precedent (as seen with Ohmeda’s development) treated inhaled nitric oxide as a drug requiring an NDA supported by clinical trials and toxicology studies.","Printed nan; Stamped Stamped Aug 23, 1994 and Aug 25, 1994"
FDA-2013-P-0076-0001_Minnesota_Medical_Device_Alliance_MMDA_DuVal_and_A.pdf,"DuVal & Associates, P.A.",Representing Minnesota Medical Device Alliance (MMDA),"21 C.F.R. § 10.30, 21 C.F.R. § 10.35, 21 U.S.C. § 360k, 21 C.F.R. §§ 807 Subpart E","Evaluating Substantial Equivalence in Premarket Notifications [510(k)], dated December 27, 2011","Stay implementation of the New 510(k) Guidance, revert to existing 510(k) guidance documents, cease 'stage-gated' reviews, improve training and education for FDA staff, and establish regular dialogue sessions between FDA and industry groups","The petitioner argues that FDA's new practices have altered the 510(k) program without legislative authority, increased regulatory burdens, delayed patient access to innovations, harmed investment and innovation in the U.S. medical device industry, and that FDA has become overly risk-averse, ignoring Least Burdensome requirements and deviating from statutory and regulatory mandates.","Printed Printed January 2, 2013; Stamped Stamped January 16, 2013"
FDA-2013-P-0113-0001_IGI_Laboratories_Inc_Citizen_Petition.pdf,"IGI Laboratories, Inc.",No,"21 U.S.C. § 355, 21 C.F.R. § 314.93, 21 C.F.R. § 314.161","The petitioner is commenting on the FDA's determination regarding whether Cordran (flurandrenolide) Ointment USP, 0.05% was withdrawn from sale for reasons of safety or effectiveness.","The petitioner requests that the FDA determine that Cordran (flurandrenolide) Ointment USP, 0.05% was not withdrawn from sale for reasons of safety or effectiveness.","The petitioner justifies the request by stating that Cordran Ointment was voluntarily discontinued for commercial reasons, not for safety or efficacy concerns. Other formulations of the same active ingredient (Cordran creams and lotion) are still actively marketed, and references to the ointment remain in updated labeling materials, suggesting no underlying safety or effectiveness issues.","Printed Printed January 15, 2013; Stamped Stamped January 28, 2013"
FDA-2013-P-0127-0001_Santarus_Inc_Citizen_Petition.pdf,"Santarus, Inc.",No representation; Santarus submitted the petition on its own behalf,"Section 505 of the FD&C Act, 21 C.F.R. § 10.30, 21 C.F.R. § 320.24, 21 U.S.C. § 355(j)(8)(C), 21 C.F.R. §§ 25.30 and 25.31",Approval of abbreviated new drug applications (ANDAs) citing Uceris (budesonide) extended release tablets as the reference listed drug without appropriate bioequivalence studies,"Develop and publish a product-specific bioequivalence recommendation for budesonide extended release tablets (Uceris) and refrain from approving any ANDA for Uceris until generics demonstrate bioequivalence through specific studies including clinical endpoint studies, alternative PK testing, in vitro dissolution testing at multiple pHs, and pharmacoscintigraphy studies","Santarus argues that Uceris has unique delivery properties critical to its safety and efficacy (colon-targeted, extended release), and that standard bioequivalence testing methods (relying solely on PK measures) are inadequate. They request enhanced testing requirements to ensure generics match Uceris in delivering budesonide throughout the colon to treat ulcerative colitis effectively.","Printed February 1, 2013; Stamped Same Date both printed and stamped"
