File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2018-P-0033-0001_Citizen_Petition_from_Hyman__Phelps___McNamara.pdf,1/2/2018,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,"- Section 505(j) of the Federal Food, Drug and Cosmetic Act (FDC Act)
- 21 C.F.R. §§ 10.20, 10.30, 314.3, 25.31
- 57 Fed. Reg. 17,950 (Apr. 28, 1992)
- Orange Book Preface (37th ed. 2017)","FDA’s policy and designation practices for Reference Listed Drugs (RLDs) in the Orange Book, specifically regarding the lack of RLD designation for RASUVO (methotrexate) Injection under NDA 205776.","- Designate NDA 205776 (RASUVO) as a Reference Listed Drug (RLD) in the Orange Book.
- Determine and assign a RASUVO dosage strength as the Reference Standard.","- RASUVO is a single-source product with no pharmaceutical equivalence to the currently listed RLD (OTREXUP).
- No RLD exists for RASUVO’s ten dosage strengths, preventing ANDA submissions.
- RASUVO has significant market share, justifying RLD designation.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0034-0001_Citizen_Petition_from_Hyman__Phelps___McNamara.pdf,1/2/2018,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,"- Federal Food, Drug, and Cosmetic Act (FDC Act) § 505(j)
- 21 C.F.R. §§ 10.25(a), 10.30, 314.3, and 25.31
- FDA Draft Guidance for Industry: Referencing Approved Drug Products in ANDA Submissions (Jan. 2017)","FDA’s selection of Reference Standards (RS) in the Orange Book. The petition addresses the need to designate a new RS for Ranitidine Hydrochloride Capsules due to unavailability of the current RS.
","Designate Ranitidine Hydrochloride Capsules, 300 mg (ANDA 075742) as a new Reference Standard (RS) in the Orange Book, replacing the current RS under ANDA 074655
","- The existing RS (ANDA 074655) is increasingly difficult to obtain in the U.S., obstructing the ability to conduct bioequivalence studies.
- ANDA 075742 is an appropriate substitute, and designating it as RS would promote generic competition and efficiency
",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0097-0001_Citizen_Petition_from_Hyman__Phelps___McNamara.pdf,1/5/2018,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,"- Federal Food, Drug, and Cosmetic Act (FDC Act) § 505(j)
- 21 C.F.R. §§ 10.25(a), 10.30, 25.31, 314.3
- FDA Draft Guidance for Industry: Referencing Approved Drug Products in ANDA Submissions (Jan. 2017)","FDA’s designation of Reference Standards (RS) in the Orange Book, specifically the absence of RS designation for Amicar Tablets, 500 mg despite being listed as a Reference Listed Drug (RLD).
","Designate Amicar (aminocaproic acid) Tablets, 500 mg, approved under NDA 015197, as a Reference Standard (RS) in the Orange Book","- The current RS (aminocaproic acid tablets, 1 g, NDA 015197) is increasingly difficult to obtain in the U.S.
- Though Amicar 500 mg is listed as an RLD, it lacks RS status, effectively shielding it from generic competition.
- RS designation would support generic entry",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0097-0004_Withdrawal__of_Petition_from_Hyman__Phelps___McNam.pdf,12/11/2018,,"Hyman, Phelps & McNamara, P.C.
",Not mentioned.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","No justification for the withdrawal is provided in the letter. It states that a formal FDA response is no longer necessary.

",FALSE,
FDA-2018-P-0098-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/8/2018,,"Lachman Consultant Services, Inc.",Representing an unnamed client.,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31 (Environmental Impact exclusion)","- FDA’s approval process for Abbreviated New Drug Applications (ANDA) where the proposed drug differs in strength from the Reference Listed Drug (RLD)
- The petition comments on the policy of allowing a change in strength of the RLD to be considered in an ANDA filing without raising new questions of safety or efficacy","The petitioner requests that FDA declare Zonisamide Capsules USP, 150 mg, 200 mg, and 300 mg as suitable for submission in an ANDA, even though they differ in strength from the existing 100 mg listed RLD (Zonegran Capsules by Sunovion Pharmaceuticals Inc.). This includes:
- Adding 150 mg, 200 mg, and 300 mg strengths
- Referencing the 100 mg, 25 mg, and 50 mg RLD capsules","- The proposed drug product uses the same dosage form (capsules) and active ingredient (zonisamide) as the RLD.
- The requested strengths (150/200/300 mg) are contemplated in the labeling of the RLD and support existing clinical dosing practices.
- Provides more convenient dosing for patients already stabilized on higher doses.
- No safety or efficacy issues are introduced.
- Includes draft labeling consistent with the RLD, and no change in intended use.
- Environmental exclusion is claimed under 21 C.F.R. § 25.31",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0130-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/8/2018,,"Lachman Consultant Services, Inc.",Representing an unnamed client.,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31 (Environmental Impact exclusion)
- Pediatric waiver requested under PREA (Pediatric Research Equity Act)","- FDA’s procedure for approving ANDAs for drug products with different dosage strengths and dosage forms than those of the reference listed drug (RLD).
- Specifically, the policy of allowing such changes if no safety/efficacy issues arise and labeling is consistent","FDA should declare Zonisamide Tablets in strengths of 25 mg, 50 mg, 100 mg, 150 mg, 200 mg, and 300 mg suitable for submission as an ANDA, even though the RLD is a capsule formulation (Zonegran Capsules, 100 mg by Sunovion). The request includes a change in dosage form (capsule → tablet) and additional strengths
","- Proposed strengths and form are clinically justified and already implied in the RLD’s labeling and dosing range.
- No safety or efficacy concerns are raised; labeling changes are minimal (strength/form only).
- Pediatric waiver requested due to minimal pediatric use and known risks (e.g., metabolic acidosis, oligohidrosis).
- Environmental exclusion claimed under 21 C.F.R. § 25.31",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0131-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,1/8/2018,,"Lachman Consultant Services, Inc.",Representing an unnamed client.,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30 (Citizen Petition requirements)
- 21 C.F.R. § 25.31 (Environmental Impact exclusion)
- Pediatric waiver under PREA (Pediatric Research Equity Act)","FDA’s policy on the acceptance of Abbreviated New Drug Applications (ANDAs) for drug products that differ in strength and dosage form from the Reference Listed Drug (RLD), specifically changes from capsule to orally disintegrating tablet (ODT) and addition of new strengths
","FDA should declare Zonisamide Orally Disintegrating Tablets (ODTs) in 25 mg, 50 mg, 100 mg, 150 mg, 200 mg, and 300 mg strengths as suitable for submission in an ANDA, despite the RLD (Zonegran) being a capsule formulation. This includes both a dosage form change (capsule → ODT) and strength additions
","- RLD (Zonegran) labeling supports a wide dosing range (up to 600 mg/day), implying higher strengths like 150–300 mg are clinically reasonable.
- An ODT formulation offers dosing flexibility, convenience, and potential compliance improvements.
- Labeling changes are minimal, and the proposed product maintains same indications and directions for use.
- Pediatric use is minimal, and the product carries known risks (e.g., oligohidrosis, metabolic acidosis), justifying a full pediatric waiver.
- Environmental impact exclusion claimed under 21 C.F.R. § 25.31
",FALSE,"Missing in original spreadsheet, so completed in full here. Similar to FDA-2018-P-0130-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf, but slightly different."
FDA-2018-P-0258-0001_Citizen_Petition_from_Gilman_Cheese_Corporation.pdf,1/1/2018,"Letterhead dated January 1, but stamp reflects January 10.","Gilman Cheese Corporation
",Not mentioned.,"- 21 C.F.R. §§ 133.169 and 133.170 – Standards of identity for “Pasteurized Process Cheese”
- 21 C.F.R. §§ 25.30(h) and 25.32(a) – (for Environmental Impact exclusion)",FDA’s regulations specifying the name “Pasteurized Process Cheese” in 21 C.F.R. Parts 133.169 and 133.170. The petition comments on the use of that terminology and its implications for consumer perception and industry competition,"Amend 21 C.F.R. Parts 133.169 and 133.170 to:
- Replace all instances of the term “Pasteurized Process Cheese” with “Blended Cheese”, including in the part titles and body text.
- This would change the official designation of the cheese product to reflect a more neutral and modern term","- The term “Pasteurized Process Cheese” is misleading and unfairly associates high-quality cheese with lower-quality processed foods due to the word “process”.
- A PPC contains approximately 98% all-natural ingredients, is closer in composition to natural cheeses like Cheddar than to other “process cheese food” products.
- The term “Blended Cheese” is more accurate, free of negative consumer bias, separates it from lower-quality products, and is market-neutral and innovative",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0266-0001_Citizen_Petition_from_Arent_Fox_LLP.pdf,1/16/2018,,Arent Fox LLP,Representing an unnamed client.,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 C.F.R. §§ 10.20, 10.30(b)(3) (Citizen Petition requirements)
- 21 C.F.R. § 25.31 (Environmental Impact categorical exclusion)
- 21 C.F.R. § 25.40 (Environmental assessment provision)","FDA’s designation of Reference Standards (RS) in the Orange Book for Abbreviated New Drug Application (ANDA) bioequivalence testing, particularly the status of DermOtic Oil, 0.01% (NDA 019452) by Hill Dermaceuticals Inc. as the current RS","Designate ANDA No. A091306 / Fluocinolone Acetonide Oil, 0.01% Ear Drops, owned by Identi Pharmaceuticals Inc., as the new Reference Standard (RS) drug in the Orange Book for this product category, due to unavailability of the current RS (DermOtic Oil, 0.01%)
","- The current RS (DermOtic Oil, 0.01%) has been in long-term backorder with no anticipated availability.
- The Identi product is the market leader based on units sold.
- ANDA applicants cannot access sufficient quantities of the RLD to perform bioequivalence studies.
- Designating Identi’s product as RS would facilitate generic development",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2018-P-0268-0001_Citizen_Petition_from_Arent_Fox_LLP.pdf,1/16/2018,,Arent Fox LLP,Representing an unnamed client.,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 C.F.R. §§ 10.20, 10.30(b)(3) (Citizen Petition requirements and economic impact)
- 21 C.F.R. § 25.31 (Categorical exclusion from environmental assessment)
- 21 C.F.R. § 25.40 (Environmental assessment provision)","The FDA’s designation of Reference Standards (RS) in the Orange Book, specifically for Fluocinolone Acetonide 0.01% Topical Oil (Body Oil). The current RS, Derma-Smoothe/FS (NDA 019452), is on long-term backorder and unavailable for bioequivalence testing","FDA should designate ANDA No. A201764, Fluocinolone Acetonide 0.01% Topical Oil (Body Oil), owned by Identi Pharmaceuticals Inc., as the new Reference Standard (RS) in place of Derma-Smoothe/FS
","- Derma-Smoothe/FS is unavailable (long-term backorder), preventing ANDA applicants from obtaining sufficient quantity for bioequivalence testing.
- Identi’s product is therapeutically equivalent and is the market leader by units sold.
- Replacing the RS would facilitate generic development by ensuring an accessible comparator",FALSE,"Missing in original spreadsheet, so completed in full here."
