File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Comments by RA
FDA-2019-P-0417-0001_Citizen_Petition_from_Scilex_Pharmaceuticals_Inc.pdf,"December 28, 2018",,"Scilex Pharmaceuticals, Inc.","The petition is signed by Kip Vought, Vice President of Global R&D at Scilex, and does not state that Scilex is representing any other party.","21 U.S.C. §§ 321, 352, 355
- 21 C.F.R. § 10.30
- 21 C.F.R. Part 330 and § 330.13(e)
- 21 C.F.R. § 330.14
- 21 C.F.R. §§ 348.10, 348.12, 348.20
- 21 U.S.C. § 321(p)
- 21 U.S.C. § 352(p)
- 21 C.F.R. § 25.31
- 16 C.F.R. § 1700.14(a)(23) and § 1700.15","Scilex comments on FDA’s continued exercise of enforcement discretion that allows unapproved, over-the-counter lidocaine patch products to remain on the market and on the unfinished External Analgesics Tentative Final Monograph (TFM).","1. Remove all unapproved lidocaine patch products from the market.
2. Apply strictly the NDA/ANDA and OTC-monograph provisions to lidocaine patches marketed after 1972.
3. Finalize the External Analgesics TFM (explicitly excluding patches).
4. Issue immediate enforcement-policy guidance stating such patches are violative.
5. Monitor listings/marketplace and take ongoing administrative or judicial action against violators.","Safety risks: Patch dosage forms can deliver unpredictable systemic lidocaine levels, especially with heat, exercise, large sizes, or high residual drug, posing risks such as methemoglobinemia and cardiotoxicity.
- Efficacy uncertainty: No data show OTC patches formulated at ≤ 4 % provide reliable pain relief; adhesion and drug-delivery performance are untested.
- Regulatory gap: Patches were never evaluated in the OTC review; FDA itself proposed excluding them in 2003, yet they proliferate under a “monograph” guise.
- Labeling & ingredient concerns: Current products omit warnings, use unqualified excipients, and may lack child-resistant packaging, leading to misbranding and exposure hazards.",
FDA-2019-P-1893-0001_Citizen_Petition_from_Novartis_Pharmaceuticals_Cor.pdf,"April 18, 2019",,Novartis Pharmaceuticals Corporation (“Novartis”) ,"Signed by Marcia Kayath, Head of US Clinical Development & Medical Affairs, Novartis. She is an employee of Novartis; the petition is not filed through outside counsel and does not state representation of any other party","• 21 U.S.C. § 355 (FD&C Act § 505) and 21 C.F.R. § 10.30 (citizen-petition rule) 

• Section 505(j) of the FD&C Act (ANDA provisions) 

• 21 C.F.R. § 314.3(b) (definitions) 

• 21 C.F.R. § 314.92(a)(1) & § 314.94(a)(5) (ANDA “sameness” requirements) 

• 21 C.F.R. § 320.24(b)(1)(i) (bioequivalence studies) 

• 21 C.F.R. § 320.22(d)(2) (in-vivo study waiver criteria)",FDA’s Draft Product-Specific Bioequivalence Guidance for sacubitril/valsartan tablets (April 2016) and related policies for approving ANDAs that reference ENTRESTO.,"1. Require every ANDA referencing ENTRESTO to demonstrate active-ingredient sameness, showing the 1 : 1 : 3 sacubitril : valsartan : sodium complex.
2. Revise the Draft Guidance to state explicitly that API sameness must be proven by establishing the identical chemical structure (including all ionic bonds) to the reference drug.
3. Further revise the Draft Guidance to: a) add sacubitrilat (LBQ657) as an additional analyte for bioequivalence; b) require assessment of the pharmacokinetics of sacubitril, sacubitrilat, and valsartan relative to one another; and c) mandate an additional in-vivo bioequivalence study for the 24 mg/26 mg strength.","Novartis argues that the Draft Guidance omits criteria needed to ensure generic products have the same complex chemical structure as ENTRESTO, fails to include the active metabolite sacubitrilat in BE testing, and allows waivers that could approve bio-inequivalent products—potentially compromising safety and efficacy.",
FDA-2019-P-2239-0001_Citizen_Petition_from_BioNeutra_North_America_Inc.pdf,"May 3, 2019",,BioNeutra North America Inc.,"Submitted directly by Dr. Jianhua Zhu, President/CEO of BioNeutra. No external representation is indicated.","21 C.F.R. § 10.30 (citizen petition process)
- 21 C.F.R. § 101.9(c)(6)(i) (definition and labeling of dietary fiber)
- 21 C.F.R. § 25.32(p) (categorical exclusion from environmental impact) ","Existing regulatory exclusion of isomalto-oligosaccharides (IMO) from the list of recognized dietary fibers in 21 C.F.R. § 101.9(c)(6)(i), and a previous FDA denial of a 2016 petition for IMO’s inclusion",Amend 21 C.F.R. § 101.9(c)(6)(i) to include “isomalto-oligosaccharides” in the list of recognized dietary fibers with beneficial physiological effects. ,"BioNeutra presents new human studies demonstrating that IMO improves laxation (stool frequency, fecal weight) in constipated individuals and may also reduce blood cholesterol. The petition argues that this qualifies IMO for inclusion as a dietary fiber under FDA’s criteria, based on physiological benefits supported by new evidence.",
FDA-2019-P-4830-0001_Citizen_Petition_from_Ipsen_Biopharmaceuticals__In.pdf,"October 15, 2019",,"Ipsen Biopharmaceuticals, Inc. (“Ipsen”)","Submitted by Ipsen’s Senior Vice President and Head of North America, Regulatory and Quality Affairs (Michael Schick), and Vice President, Head of U.S. Regulatory Affairs (Audra Atkinson). No legal or external representation mentioned.","21 C.F.R. § 10.30 (citizen petition process)
- 21 C.F.R. § 314.108 (market exclusivity)
- 21 U.S.C. § 355(j) (ANDA provisions)
- 21 U.S.C. § 355(c)(3)(E)(iii) and (iv) (exclusivity protections)
- FDCA § 505(j)",FDA’s potential approval of an ANDA referencing Somatuline Depot (lanreotide) that includes an intramuscular (IM) route of administration or a prefilled syringe presentation not previously approved.,"Request that FDA withhold approval of any ANDA referencing Somatuline Depot that seeks to include:
1. an intramuscular (IM) route of administration; or
2. a prefilled syringe presentation;
until the expiration of Ipsen’s statutory exclusivities.",Ipsen asserts that an ANDA seeking approval for lanreotide in an IM form or in a prefilled syringe would rely on protected portions of the Somatuline Depot NDA. They argue that FDA must uphold exclusivity protections under the FDCA to prevent premature approval that would infringe on Ipsen’s regulatory exclusivity rights.,
FDA-2019-P-1679-0073_Supplement_from_Braeburn_Inc.pdf,"August 15, 2019",,Braeburn Inc. (“Braeburn”),"Submitted by Braeburn’s Executive Vice President, Regulatory Affairs and Quality (Susan Weidner). No law firm or third-party representation is indicated.","21 C.F.R. § 10.30 (citizen petition rule)
- 21 U.S.C. § 355 (NDA provisions)
- FDCA § 505(b)(1)
- FDA’s guidance for industry: “Assessment of Abuse Potential of Drugs”
- FDA’s Draft Guidance: “General Principles for Evaluating the Abuse Deterrence of Generic Solid Oral Opioid Drug Products”","FDA’s approval and regulatory treatment of long-acting injectable buprenorphine products, specifically regarding abuse potential data requirements and evaluation of ANDAs referencing Braeburn’s product, Brixadi.","Braeburn requests that FDA:
1. Confirm that the agency will apply consistent and rigorous standards in evaluating abuse potential data for long-acting injectable buprenorphine products, including ANDAs referencing Brixadi.
2. Refrain from approving any such ANDAs without appropriately robust evidence addressing abuse potential concerns.","Braeburn argues that approval of competing long-acting injectable buprenorphine products without adequate abuse potential data may endanger patient safety and undermine public confidence. They emphasize the need for consistent scientific rigor, highlighting that Brixadi underwent extensive studies per FDA’s own guidance. They assert that any ANDAs referencing Brixadi should meet equivalent evidentiary standards.",
FDA-2019-P-1781-0001_Citizen_Petition_from_Association_of_Independent_B.pdf,"Printed April 5, 2019; Stamped April 8, 2019",,Association of Independent Banana Producers of Guatemala (APIB),"The covering letter was signed by Nelson Ruano, Director of Food Safety, Ministry of Agriculture, Livestock and Food (MAGA), Government of Guatemala, which forwarded the petition “with the support of” MAGA for APIB","Food Safety Modernization Act (FSMA), Chapter 9 Variances, sub-para P(1) 

* 21 CFR § 112.44(a)(2) 

* 21 CFR § 112.43(b) 

* 21 CFR § 112.45(a)–(b) (referenced as the discontinuation requirement)","The petition targets the Produce Safety Rule’s agricultural-water requirements in Subpart E, especially the ban on using untreated surface water and the prescribed high ORP monitoring levels for post-harvest water","1. Amend § 112.44(a)(2) so banana growers may irrigate with untreated river water.
2. Delete § 112.43(b) and allow water-quality monitoring by residual free chlorine of 1.5–3 mg L⁻¹ instead of an ORP of 700–825 mV. ","Low food-safety risk: Banana fruit is bagged, elevated ≥1.5 m, and its peel is largely impermeable; experimental spraying showed 85 %–100 % of samples had no detectable E. coli and the pulp stayed clean 
* Economic impracticability: Routine laboratory tests (~US $3 000 yr⁻¹ per farm) and treating river water or maintaining ORP 700–825 mV would raise chemical use 7-fold, driving operating costs up 100–600 % 
* Infrastructure limits & current GAPs: Guatemala lacks wastewater-treatment capacity; growers already meet GAP certification and use 1.5–3 mg L⁻¹ free chlorine post-harvest, which the petitioners say is sufficient to ensure safety ",No representation essentially
FDA-2019-P-0933-0001_Letter_from_National_Milk_Producers_Federation_to_.pdf,"February 21, 2019",,National Milk Producers Federation (NMPF),Petition submitted directly by NMPF; no legal representative or intermediary is indicated,"FDCA §§ 201, 201a, 201c, 301, 401, 402, 403, 701
- 21 C.F.R. § 101.3(e), 130.10, 101.67, 102.5
- 21 U.S.C. §§ 321a (butter), 321c (nonfat dry milk), 341, 343
- Other parts: 21 C.F.R. Parts 131 (milk, yogurt), 133 (cheese), 135.110 (ice cream)",FDA’s lack of enforcement of labeling standards for non-dairy substitutes for standardized dairy foods; failure to require “imitation” labeling on nutritionally inferior products labeled with dairy terms,"Enforce existing imitation labeling requirements under FDCA § 403(c) against nutritionally inferior non-dairy substitutes.
- Amend 21 C.F.R. § 101.3(e) to codify FDA policies on when non-dairy substitutes can use dairy food terms under limited conditions","Non-dairy substitutes are often nutritionally inferior yet labeled with dairy terms, misleading consumers.
- Misbranding violates FDCA and creates public health risks (e.g., malnutrition in children).
- Standards of identity and labeling rules are essential for consumer protection and preventing deception.
- Calls for fair application of rules already used in standards for products like margarine, enriched foods, etc.",
FDA-2019-P-2945-0001_Additional_Petitioners_Supporters_of_the_Petition_.pdf,Not Mentioned in this supplemental document. Likely provided in the original petition this document supports.,,"This document is not submitted by a single entity, but lists additional supporters of a previously submitted petition. Entities and individuals listed include:
• Citizens for a Safe and Healthy Texas
• Dr. Karen Randall (SCEMA)
• Kenneth Finn, M.D.
• Moms Strong (CA & CO)
• Cannabis Industry Victims Educating Litigators (CIVEL)
• Smart Approaches to Marijuana Canada
• Illinois Family Institute
• Take Back America Campaign
• Parents Opposed to Pot
• Massachusetts Prevent Alliance
• Americans Against Legalizing Marijuana
• SafeLaunch Healthy Futures
• Numerous unaffiliated individuals",Not Mentioned. Most supporters are listed individually or with their affiliated organizations. No legal representatives submitting on their behalf are noted.,Not Mentioned in this supplemental supporter list. Legal arguments and statutes would be found in the main petition.,Not Mentioned directly. This document only lists parties who support a previously filed petition.,Not Mentioned here. This document does not repeat or detail the requested regulatory action; it supports an existing petition.,Not Mentioned. No new justifications are provided beyond expressing support for an existing filing.,"This document only lists the ""additional petitioners"" but does not include other information"
FDA-2019-P-0913-0001_Citizen_Petition_from_Independent_Nutrition_Inc.pdf,"Written March 4, 2019; Stamped March 12, 2019",,Independent Nutrition Inc. (INC),"Petition signed by Don Buel, who signs as a representative of Independent Nutrition Inc.; no indication that he or INC is acting on behalf of any other party","21 C.F.R. § 10.30 (citizen-petition rule)
• 21 C.F.R. § 111.75 (a)(1)(i) (dietary-supplement CGMP identity testing)
• 7 C.F.R. §§ 205.402 – 205.405 (USDA National Organic Program requirements)
• NOP Guidance 5029 “Seeds, Annual Seedlings, and Planting Stock in Organic Crop Production”",The petition addresses FDA’s current requirement that each component used in a dietary supplement receive identity testing under 21 C.F.R. 111.75(a)(1)(i).,"Ask the Commissioner to exempt Independent Nutrition Inc. from the §111.75(a)(1)(i) identity-testing requirement for herbs and herbal extracts that already carry a USDA organic certificate, allowing INC to rely on that certificate in lieu of further FDA-mandated tests.","USDA organic certification already involves comprehensive seed-to-harvest documentation and third-party verification, thus confirming botanical identity.
• Re-testing the same materials would be duplicative and costly, especially for small businesses (INC cites that small firms supply 38 % of dietary supplements).
• Using USDA certificates would “streamline the testing process without sacrificing quality,” reducing unnecessary expenses while maintaining consumer safety.
• USDA is portrayed as a trustworthy authority, and its Organic Integrity Database allows verification of certificates.",
FDA-2019-P-0622-0001_Citizen_Petition___redacted.pdf,"Printed January 31, 2019; Stamped February 6, 2019",,The petitioner’s name is redacted in the publicly-released copy; the document refers to the filer only as “the undersigned (‘Petitioner’)”.,"Not Mentioned. No law-firm letterhead or statement indicates that the petitioner is acting on behalf of another entity. A separate attorney (Mark Lupkowski) is listed only as the service contact for the patent-extension applicant, not as counsel for the petitioner.","21 C.F.R. § 60.30(a) – citizen-petition provision for due-diligence challenges (page 1).
* 21 C.F.R. § 60.36(b) – imputation of actions to the patent-term applicant (page 10).
* Reference to the Federal Food, Drug, and Cosmetic Act (introductory sentence, page 1).
* U.S. Supreme Court case Oil States Energy Servs. v. Greene’s Energy Grp. (cited on page 11).",FDA’s pending due-diligence review tied to two patent-extension dockets (FDA-2017-E-3592 & FDA-2017-E-3616) for the Absorb GT1 Bioresorbable Vascular Scaffold (BVS) System.,The petitioner asks the Commissioner to initiate a due-diligence investigation and issue a final determination that the patent-term-extension applicant did not act with due diligence—thereby denying the requested extension for the Absorb GT1 BVS System,The redacted narrative (pages 2-10) alleges multiple periods where the applicant “failed to act with due diligence” during FDA review. The petition supplies a timeline table (page 6-7) and cites §60.36(b) to show that delays by the applicant or its agents must be imputed to the applicant. Concluding paragraph states these facts warrant denial of the patent-term extension in its entirety.,
