File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2020-P-0042-0001_Citizen_Petition_from_Emery_Pharm_on_behalf_of_Naj.pdf,"January 2, 2020",Emery Pharma,"Najafi Pharma, Inc. dba Emery Pharma","Sections 301 (21 U.S.C. § 331), 502 (21 U.S.C. § 352), 505 (21 U.S.C. § 355), 702 (21 U.S.C. § 372), 704 (21 U.S.C. § 374), 705 (21 U.S.C. § 375); 21 C.F.R. 10.20 and 10.30","Regulation and guidance regarding ranitidine; FDA directive dated December 4, 2019 about NDMA testing in ranitidine","Issue a regulation, revise industry guidance, request a recall and suspend sales of ranitidine, conduct further investigation into NDMA levels in ranitidine, and enforce proper labeling and storage requirements","Petitioner found that ranitidine may degrade to NDMA, a probable carcinogen, under elevated temperatures during storage and transport. Since ranitidine is not currently cold-chained or labeled with heat warnings, NDMA levels may become unsafe post-manufacture. The FDA's current testing may not account for post-distribution NDMA accumulation, posing a significant public health risk"
FDA-2020-P-0102-0001_Citizen_Petition_from_The_Ritedose_Corporation.pdf,"January 8, 2020",The Ritedose Corporation,No representation of another entity is explicitly stated; The Ritedose Corporation submitted on its own behalf,"505(j) of the Federal Food, Drug, and Cosmetic Act; 21 CFR 25.30",Discontinuation of DUONEB® (NDA 020950) and lack of reference standard designation in the Orange Book,"Designate ANDA 202496 as the reference standard for Ipratropium Bromide and Albuterol Sulfate Inhalation Solution, 0.5 mg/3 mg per 3 mL","DUONEB® (NDA 020950) was discontinued, and no reference standard has been designated. ANDA 202496 is the market leader by units sold and is private label manufactured for several companies, justifying its use as the reference standard"
FDA-2020-P-0129-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"January 8, 2020","Hyman, Phelps & McNamara, P.C.","Petition submitted on behalf of an unspecified client, but advocating for the designation of ANDA 074260 held by Actavis Elizabeth LLC","21 C.F.R. §§ 10.25(a), 10.30; FDC Act § 505(j); 21 C.F.R. § 314.3; FDA Draft Guidance (Jan. 2017); 21 C.F.R. § 25.31","Current reference standard for Carbidopa and Levodopa Tablets (Sinemet, NDA 017555) is commercially unavailable, limiting generic ANDA submissions","Designate ANDA 074260 (Carbidopa and Levodopa Tablets, 25 mg/250 mg) or another appropriate ANDA as the new reference standard for the drug","The current reference standard (Sinemet) is on back order and cannot be obtained, hindering bioequivalence studies and generic competition. ANDA 074260 by Actavis is a market leader and would be a more appropriate and accessible reference standard"
FDA-2020-P-0152-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"January 9, 2020","Hyman, Phelps & McNamara, P.C.",Submitted on behalf of the Coalition to Preserve Access to Pharmacogenomics (PGx) Information,"21 C.F.R. §§ 10.25(a), 10.30, 21 C.F.R. § 25.30(h), 21 C.F.R. Part 15; Federal Food, Drug, and Cosmetic Act § 396; Administrative Procedure Act (APA); First Amendment",FDA’s 2018 Safety Communication and subsequent enforcement actions against clinical laboratories and software providers offering pharmacogenomic (PGx) testing information,1) Revise the Safety Communication to allow sharing PGx information supported by evidence or FDA labeling; 2) Permit clinical labs to include medication-specific information in PGx test reports if supported by evidence or FDA labeling; 3) Conduct future PGx policy development via notice-and-comment rulemaking and hold a public hearing,"The FDA's actions are suppressing the dissemination of truthful, evidence-based PGx information crucial for personalized medicine, violating the APA, FDC Act, and First Amendment. The Coalition argues that physicians and patients are denied access to valuable drug-response information, some of which is already included in FDA-approved drug labels, and the FDA has provided no evidence of harm to justify this suppression"
FDA-2020-P-0158-0001_Citizen_Petition_from_Sidley_Austin_LLP_on_behalf_.pdf,"January 9, 2020",Sidley Austin LLP,Submitted on behalf of Vifor Pharma,"505(b)(2), 505(j) of the Federal Food, Drug, and Cosmetic Act (FDCA); 21 C.F.R. §§ 10.25(a), 10.30; 21 C.F.R. § 25.30(h); Administrative Procedure Act; FDA Draft Guidance documents",FDA’s reliance on the ANDA pathway for approval and therapeutic equivalence determinations of harder-to-copy complex drugs under its Drug Competition Action Plan (DCAP),1) Issue guidance that the ANDA pathway is not appropriate for harder-to-copy complex drugs; 2) Clarify that therapeutic equivalence for such drugs must be supported by clinical studies under the 505(b)(2) pathway,"ANDA does not allow for clinical studies needed to demonstrate same clinical effect and safety profile. Harder-to-copy complex drugs (like those with nanomaterials or complex formulations) pose immunogenicity and efficacy risks that can't be adequately addressed without clinical trials. Using 505(b)(2) ensures safety and proper therapeutic equivalence, supporting DCAP goals without compromising patient safety"
FDA-2020-P-0284-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"January 16, 2020","Hyman, Phelps & McNamara, P.C.",Petition submitted on behalf of an unspecified client; representation details are not disclosed in the petition,"Section 505(j) of the Federal Food, Drug, and Cosmetic Act; 21 C.F.R. §§ 10.20, 10.30, and 314.3","FDA's omission of Reference Listed Drug (RLD) and Reference Standard (RS) designations for Nicardipine Hydrochloride Injection, NDA 022276, in the Orange Book","FDA should amend the Orange Book to designate Nicardipine Hydrochloride Injection, NDA 022276, as both a Reference Listed Drug and a Reference Standard",The product is a single-source drug and its lack of RLD and RS designations shields it from generic competition. Assigning these designations would facilitate the approval of ANDAs and promote market competition
FDA-2020-P-0368-0001_Citizen_Petition_from_Crowell___Moring__LLP.pdf,"January 22, 2020",Crowell & Moring LLP,"Submitted on behalf of an unspecified client; the petition references concerns from states, pharmacies, and patients broadly, but does not name a specific represented entity","21 C.F.R. § 10.30; Federal Food, Drug, and Cosmetic Act § 503A; Administrative Procedure Act (APA); Regulatory Flexibility Act (RFA); Unfunded Mandates Reform Act (UMRA); Congressional Review Act (CRA); Paperwork Reduction Act (PRA); Executive Orders 12866 and 13132","FDA’s interpretation of 'distribution' under Section 503A of the FDCA, particularly in the context of the Memorandum of Understanding (MOU) and the enforcement of the 5% interstate distribution limit for compounded drugs","FDA should not finalize the MOU or take regulatory action based on a definition of 'distribution' that includes patient-specific dispensing, unless it first promulgates the definition through a proper rulemaking process and issues guidance that clarifies its enforcement policy","FDA's current interpretation unlawfully expands the definition of 'distribution' to include patient-specific dispensing without formal rulemaking. This violates multiple statutes and executive orders, and risks drastically limiting patient access to compounded medications. The proposed changes impose new, burdensome obligations on pharmacies and states, which could result in economic harm, reduce access to care, and disrupt traditional pharmacy practices"
FDA-2020-P-0421-0001_Citizen_Petition_from_Cooley_s_Anemia_Foundation__.pdf,"January 24, 2020",Cooley’s Anemia Foundation,The Foundation submitted the petition on its own behalf and is not representing another entity,21 U.S.C. § 355(q); 21 C.F.R. § 10.30,FDA oversight regarding generic versions of deferiprone and the lack of mandatory REMS safety protocols equivalent to those currently provided voluntarily with Ferriprox,Require that all deferiprone products include mandatory safety measures equivalent to those in ApoPharma’s current voluntary REMS for Ferriprox,"Deferiprone poses serious health risks, including agranulocytosis, which can be fatal if not detected early. The current Ferriprox voluntary REMS includes safeguards such as weekly neutrophil monitoring, education programs, and pharmacist-physician-patient feedback loops. Without mandatory REMS for generics, patient safety and consistent monitoring would be at risk"
FDA-2020-P-0436-0001_Citizen_Petition_from_Foley_and_Lardner_LLP_on_beh.pdf,"January 24, 2020",Foley & Lardner LLP,"Submitted on behalf of Romark Laboratories, L.C.","21 U.S.C. §§ 355(b) and 355(j); 21 C.F.R. §§ 10.30, 10.31, 314.3, 320.1(e)",FDA’s Draft Guidances on Nitazoxanide (tablets and oral suspension) and the proposed standards for approving generic versions of ALINIA® (nitazoxanide),"(1) conducts bioequivalence (BE) studies for tizoxanide and tizoxanide glucuronide in plasma under fasted and fed conditions, (2) conducts BE studies with clinical endpoints regardless of formulation sameness, and (3) conducts separate BE studies with clinical endpoints for G. lamblia and C. parvum infections; also revise the Draft Guidances to incorporate these requirements","The current Draft Guidances only propose BE based on tizoxanide plasma levels, neglecting tizoxanide glucuronide and site-specific action in the gastrointestinal tract. Because C. parvum and G. lamblia have different infection sites and clinical implications, including potential fatality in C. parvum cases, Romark argues that without comprehensive studies, approving generics could risk public health due to ineffective treatment and under-evaluated therapeutic equivalence"
FDA-2020-P-0438-0001_Citizen_Petition_from_Hyman__Phelps___McNamara__P_.pdf,"January 27, 2020","Hyman, Phelps & McNamara, P.C.",The petition was submitted on behalf of an unspecified client; no specific represented entity is named,"21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161; Sections 505(j) and 505(w) of the Federal Food, Drug, and Cosmetic Act",FDA’s listing of Micro-K LS Packets (potassium chloride) in the Orange Book as a discontinued drug product and its previous approval withdrawal notice in the Federal Register,Determine whether Micro-K LS Packets (NDA 019561) were withdrawn for safety or effectiveness reasons,"The petitioner asserts there is no evidence the drug was withdrawn due to safety or efficacy concerns, and believes the withdrawal was based on commercial reasons. A positive determination would allow the drug to remain eligible as a reference listed drug (RLD) in ANDAs"
