File Name,Date of Petition,Date received,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2024-P-0105-0001_Citizen_Petition_from_Graviti_Pharmaceuticals_Priv.pdf,"January 3, 2024",,Graviti Pharmaceuticals Private Limited,"Chandrika Lucki, Authorized US Agent, representing Graviti Pharmaceuticals Private Limited","21 C.F.R. §§ 10.25, 10.30, 314.122, 314.161; Sections 505(j) and 505(w) of the Federal Food, Drug, and Cosmetic Act","Discontinuation status of GLUCOTROL (glipizide) Tablets, NDA 017783, in the Orange Book","Request FDA to determine that Glucotrol Tablets, 5 mg and 10 mg, were not withdrawn for reasons of safety or effectiveness","Petitioner believes the discontinuation was due to commercial reasons, not safety or effectiveness; ANDAs for the same strength are active; no evidence of withdrawal due to safety or efficacy concerns"
FDA-2024-P-0109-0001_Citizen_Petition_from_Bausch_Lomb.pdf,"January 4, 2024",,Bausch + Lomb,"Kris Tucker, Senior VP, Global Regulatory Affairs, submitting on behalf of Bausch + Lomb","21 C.F.R. §§ 10.30, 10.31; Section 505(j) of the Federal Food, Drug, and Cosmetic Act",FDA's draft Product Specific Guidance (PSG) for ANDAs referencing Xipere (triamcinolone acetonide injectable suspension),"Request FDA to (1) refuse to receive or approve any ANDA referencing Xipere that uses a different injector unless in vivo and switching studies are included, and (2) revise the draft PSG to include such requirements and add syringeability and glide force to required comparisons",Xipere’s safety and efficacy depend critically on its proprietary SCS Microinjector; using a different injector without in vivo testing poses significant safety and efficacy risks. The current PSG does not adequately address this risk
FDA-2024-P-0227-0001_Suitability_Petition_from_Zydus_Pharmaceuticals__U.pdf,"January 10, 2024",,Zydus Pharmaceuticals (USA) Inc.,"Not representing another entity; petitioner is Zydus Pharmaceuticals (USA) Inc., a wholly owned subsidiary of Zydus Lifesciences Limited","505(j)(2)(C), 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20, 10.30, 21 C.F.R. § 25.31, 505B(a)(1)(A)(i)","Approval of an Abbreviated New Drug Application (ANDA) for a new strength of Methylene Blue Injection, USP, 5 mg/1 mL","Request that FDA determine Methylene Blue Injection, USP, 5 mg/1 mL, is suitable for submission in an ANDA despite differing in strength from the Reference Listed Drug (RLD)","The petitioner argues that the proposed change involves only total drug content, not concentration, maintaining the same active ingredient, dosage form, route of administration, and indications as the RLD. The new strength would provide dosing flexibility, reduce pharmaceutical waste, particularly in pediatrics, and does not raise questions of safety or effectiveness."
FDA-2024-P-0279-0001_Stay_of_Action_Petition_from_Hyman__Phelps___McNam.pdf,"January 11, 2024",,"Hyman, Phelps & McNamara, P.C.",Representing Nautilus Gloves LLC,"21 C.F.R. § 10.33(b), 21 C.F.R. § 10.35(b), 21 C.F.R. Part 16, 21 U.S.C. § 360c(e)","FDA’s December 12, 2023 rescission of the substantial equivalence determination for Nautilus Nitrile Exam Gloves (K210496)","Request that FDA (1) reconsider the rescission of the 510(k) clearance and (2) stay the rescission pending such reconsideration, allowing Nautilus to amend its submission with correct biocompatibility data","The rescission was based on an inadvertent clerical error by a testing lab that submitted data for the wrong product. The petitioner asserts that this does not constitute misconduct, that corrected valid test data is now available, and that the FDA acted without proper statutory authority or due process"
FDA-2024-P-0422-0001_Suitablity_Petition_from_Method_Pharmaceuticals__L.pdf,"January 11, 2024",,"Method Pharmaceuticals, LLC","Not representing another entity; the petitioner is Method Pharmaceuticals, LLC","505(j)(2)(C), 21 C.F.R. §§ 10.20, 10.30, 314.93, 25.31","FDA authorization to submit an ANDA for a dosage form different from the Reference Listed Drug (Folic Acid Tablets, 1 mg)","Request that FDA determine Folic Acid Oral Solution, 0.1 mg/mL and 1 mg/mL, is suitable for submission in an ANDA","The proposed oral solution differs only in dosage form from the approved tablet; it maintains the same active ingredient, route, and indication, offering improved dosing flexibility, especially for infants and patients requiring smaller maintenance doses"
FDA-2024-P-0425-0001_Suitability_Petition_from_RegCon_Solutions__LLC.pdf,"January 22, 2024",,"RegCon Solutions, LLC","Not representing another entity; the petitioner is RegCon Solutions, LLC","505(j), 21 C.F.R. §§ 10.20, 10.30, 25.31","Approval of an ANDA for Ziprasidone Mesylate Injection, 20 mg/mL, in a prefilled syringe as a change in dosage form from the Reference Listed Drug (GEODON lyophilized powder)","Request that FDA determine Ziprasidone Mesylate Injection, 20 mg/mL in a prefilled syringe (liquid formulation), is suitable for submission as an ANDA","The proposed product is Q1/Q2 identical to the RLD and differs only in being a ready-to-use liquid rather than a lyophilized powder. The change eliminates reconstitution steps without altering safety, efficacy, or dosing regimen, and aligns with existing label instructions"
FDA-2024-P-0427-0001_Suitability_Petition_from_DDReg_Pharma_Inc_.pdf,"January 17, 2024",,DDReg Pharma Inc.,Submitting on behalf of a prospective ANDA applicant (not named),"505(j)(2)(C), 21 C.F.R. §§ 314.93, 10.20, 10.30, 25.31",FDA determination of the Reference Listed Drug (RLD) for a progesterone-based pessary formulation,Request that FDA determine the RLD for an ANDA of a progesterone pessary formulation differing in dosage form and strength,"The proposed product uses the same active ingredient and route of administration as approved formulations, with the same indication. It poses no new safety or efficacy concerns, and PREA is not applicable because the use is for ART in infertile women, not pediatric patients"
FDA-2024-P-0435-0001_Suitability_Petition_from_Zydus_Pharmaceuticals__U.pdf,"January 22, 2024",,Zydus Pharmaceuticals (USA) Inc.,Zydus Pharmaceuticals (USA) Inc. is a wholly owned subsidiary of Zydus Lifesciences Limited,"505(j)(2)(C), 21 C.F.R. § 314.93, 21 C.F.R. §§ 10.20 and 10.30, 21 C.F.R. § 25.31, 505B(a)(1)(A)(i)",Establishment of a reference listed drug with a new strength for ANDA submission,"Determine that Pimavanserin Tablets, 34 mg is suitable for submission in an ANDA as a new strength of the RLD","The petitioner argues that the proposed 34 mg tablet strength is consistent with the recommended daily dose listed in the prescribing information of the RLD but is not currently available in tablet form. Approving the petition would provide physicians and patients greater flexibility without requiring a change in dosage form (e.g., from tablets to capsules). The change does not raise new questions of safety or efficacy, and pediatric assessment requirements under PREA do not apply since the petition is only for a new strength."
FDA-2024-P-0521-0001_Citizen_Petition_from_Kasowitz_Benson_Torres_LLP_o.pdf,"January 24, 2024",,Kasowitz Benson Torres LLP,Representing Adventapharma DWC LLC,"21 C.F.R. §§ 10.25, 10.30, 10.31, 314.70; Federal Food, Drug, and Cosmetic Act",Approval and continued marketing of Enoxaparin Sodium Injection (ANDA No. 077857) manufactured by Shenzhen Techdow Pharmaceutical Co. Ltd and supplied by Sandoz Inc.,Request that FDA investigate and take appropriate action regarding the safety of the Sandoz Enoxaparin Sodium Injection due to concerns over inaccurate dosing in prefilled syringes,"The petitioner claims that the Sandoz product poses a patient safety risk due to the possibility of inaccurate dosing associated with demarcations on prefilled syringes, potentially leading to unsafe administration of enoxaparin sodium"
FDA-2024-P-0522-0001_Citizen_Petition_from_Kasowitz_Benson_Torres_LLP_o.pdf,"January 24, 2024",,Kasowitz Benson Torres LLP,Representing Adventapharma DWC LLC,"21 C.F.R. §§ 10.25, 10.30, 10.31, 314.70; Federal Food, Drug, and Cosmetic Act","Approval and continued marketing of Enoxaparin Sodium Injection (ANDA No. 205660) manufactured by Shenzhen Techdow Pharmaceutical Co., Ltd. and supplied for NorthStar Rx LLC",Request that FDA investigate and take appropriate actions regarding the safety of the NorthStar Enoxaparin Sodium Injection due to potential issues with inaccurate dosing in prefilled syringes,"The petitioner asserts that blocked or obscured syringe demarcations may result in unclear dosing, posing significant safety risks to patients using the NorthStar product"
