File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2003-P-0694-0004_Memorandum_for_the_Record_from_FDA_Office_of_Nutri,"Stamped November 18, 2010 and November 20, 2010",,"Office of Nutrition, Labeling and Dietary Supplements, specifically the Food Labeling and Standards Staff (HFS-820)","Closed
The petition was closed at the request of the petitioner (Bob Troyer of Bunker Hill Cheese Co.), who stated that the company had decided not to market a product using the term “yogurt cheese”, rendering the petition moot.","Section 403(i) of the Federal Food, Drug, and Cosmetic Act

21 CFR 133.188(e)(1) (Standard of identity for Semi-Soft Part-skim cheese)
","The petition was voluntarily withdrawn by the petitioner. Bob Troyer communicated on October 29, 2009 that the product would not be marketed, and therefore the request was no longer necessary. FDA accordingly considered the petition moot and formally closed the docket.",
FDA-2003-P-0694-0003_Letter_from_FDA_CFSAN_to_Bunker_Hill_Cheese_Co___I,"Stamped July 21, 2003 and July 22, 2003",,"Center for Food Safety and Applied Nutrition (CFSAN)
📍 Office of Nutritional Products, Labeling and Dietary Supplements","No decision issued at the time
FDA advised the petitioner that it had not reached a decision within the 180-day review period due to prioritization of other matters (notably, rulemaking in response to the Bioterrorism Preparedness and Response Act of 2002).

","Section 403(i)(1) of the Federal Food, Drug, and Cosmetic Act

21 CFR 133.188(e)(1) (Standard of identity for semisoft part-skim cheese)

21 CFR 10.30(e)(2) (Citizen Petition procedures regarding response time)","FDA explained the delay was due to:

The agency being at the height of rulemaking for the Public Health Security and Bioterrorism Preparedness and Response Act of 2002

Other agency priorities and limited availability of resources

They assured the petitioner that a response would be provided in the future, though no specific timeline was given.",From 2003?
FDA-2003-P-0563-0001_Memo_to_File_to_Administratively_close_Citizen_Pet,"April 14, 2022",,"Center for Food Safety and Applied Nutrition (CFSAN)
📍 Office of Regulations and Policy (ORP)
","Administratively Closed
The petition was voluntarily closed because FDA did not approve or deny it within the required 180-day timeframe and no mutual agreement for extended review was made.","Section 10809 of the Farm Security and Investment Act of 2002 (Public Law 107-171)
(This law requires FDA to act on irradiation labeling petitions within 180 days, or the petition is deemed denied.)

","The Farm Security and Investment Act of 2002 was already in effect when the petition was submitted (April 24, 2003).

FDA failed to act within the statutory 180-day window, and there was no mutual agreement for extended review.

Thus, the petition was deemed denied by law and administratively closed nearly two decades later.

The closure was also procedural due to the petitioner (Hawaii Pride, LLC) being acquired by Calavo Growers Inc. in 2008.

",
FDA-2010-P-0012-0007_Alaunus_Pharmaceutical_LLC_re_Patrick_Foster_Citiz.pdf,"Printed November 7, 2010; Stamped November 8, 2010",,Division of Dockets Management,Withdrawn,Not Mentioned,Petition was withdrawn by Alaunus Pharmaceutical LLC on behalf of Patrick Foster.,
FDA-2010-P-0015-0006_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"Stamped October 1, 2010 and October 17, 2010",,Center for Drug Evaluation and Research (CDER),Denied,21 C.F.R. § 10.30; Section 505(j)(2)(C) of the FDCA,"The proposed 7.5 mg strength is not supported by the approved labeling of the reference listed drug (Ambien® 5 mg and 10 mg).
- The RLD labeling does not contemplate a 7.5 mg dose; instead, it recommends titration only in 5 mg increments (5 mg or 10 mg).
- Allowing a 7.5 mg strength would constitute a new dosing regimen, which is not permitted via a suitability petition under the FDCA.
- Therefore, the proposed change is not petitionable and must instead be submitted under a full NDA process (Section 505(b)).
- The FDA provides an opportunity for reconsideration within 30 days if based on original information",
FDA-2010-P-0016-0003_Interim_Response_to_Hisamitsu_Pharmaceutical_Co__I.pdf,"Stamped July 7, 2010 and July 12, 2010",,CDER,Interim Response,21 CFR 10.30(e)(2),Petition for delaying ANDA approvals of Salonpas patch not yet resolved. Interim notice given per FDA regs.,
FDA-2010-P-0017-0007_Foley___Lardner_LLP___Citizen_Petition_Withdrawal.pdf,"January 27, 2010",,Division of Dockets Management,Withdrawn,Not Mentioned,Petitioner (Foley & Lardner LLP) voluntarily withdrew original petition for replacement.,
FDA-2010-P-0027-0003_Determinations_that_Products_Were_Not_Withdrawn_Fr.pdf,"July 7, 2010",,CDER,Approved,21 CFR 314.161; 21 CFR 314.162,"FDA reviewed its records and found no evidence that ACTONEL (75 mg) or ACTONEL WITH CALCIUM (35/500 mg) were withdrawn for safety or efficacy reasons.
- No petitioners submitted data suggesting such reasons.
- FDA conducted an independent review of literature and postmarketing data and found no safety/effectiveness concerns.

- FDA will maintain both drugs in the Discontinued Drug Product List and allow ANDA approvals if all other requirements are met.",
FDA-2010-P-0027-0004_FDA_CDER_to_Lachman_Consultant_Services__Inc____Le.pdf,"Printed July 7, 2010; Stamped July 12, 2010",,CDER,Approved,21 CFR 314.161; 21 CFR 314.162,"FDA reviewed its records and found no evidence that the discontinuation of Actonel 75 mg or Actonel with Calcium 35/500 mg was for safety or efficacy concerns.
- No data submitted in the petitions supported a withdrawal due to these reasons.
- FDA independently evaluated postmarketing safety data and literature and found no information indicating safety or effectiveness issues.
- Therefore, both products remain listed in the ""Discontinued Drug Product List"" and may be referenced in ANDAs, provided all legal and regulatory requirements are met",
FDA-2010-P-0028-0004_FDA_CVM_Response_to_Parnell_Technologies__Aust__PT.pdf,"Stamped February 30, 2010 and April 8, 2010",,CVM (Center for Veterinary Medicine),Approved,Section 512(n)(3) of the FDCA,"The proposed product, GONABREED (gonadorelin acetate) Injection, 100 µg/mL, differs from the reference listed new animal drug (RLNAD), CYSTORELIN (gonadorelin diacetate tetrahydrate) Injection, 50 µg/mL, only in strength.
- The change does not require new safety or efficacy investigations and is allowable under suitability petition provisions.
- However, a change in dosage discussed in the petition is not permitted under a suitability petition and must be reviewed during the full ANADA evaluation.
- The approval only allows submission of the ANADA and does not guarantee product approval until FDA completes full review",
