File Name,Date of Response,Dates Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2013-P-0048-0009_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"October 27, 2015",,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 201.57(c)(9)(i), 21 CFR 201.80(f)(6)(i), 21 CFR 201.56(b), 21 CFR 201.57(c)(9), 21 CFR 201.80, 21 CFR part 314.80(c)(1)(i), 21 CFR part 803 Subpart E, Section 519(b) of the FD&C Act","The FDA denied the petition based on a comprehensive review of multiple studies and data sources, concluding that the available evidence does not demonstrate a sufficient risk to justify changing ondansetron’s pregnancy category or issuing special safety communications. The cited studies showing possible risks (e.g., cleft palate, cardiovascular malformations) had methodological limitations, and larger, more robust studies (e.g., Pasternak et al.) did not confirm these associations. FDA also found no sufficient safety signal regarding the use of ondansetron with infusion pumps in pregnant women. Consequently, the FDA found no need for new warnings or regulatory actions."
FDA-2013-P-0058-0009_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"October 10, 2014",,Center for Drug Evaluation and Research (CDER),The FDA denied the reconsideration petitions.,"21 U.S.C. 355(c)(3)(E)(ii), 21 U.S.C. 355(j)(5)(F)(ii), 21 CFR 314.108(b)(2), 21 CFR 314.108(b)(3)","The FDA denied the petitions based on its historical interpretation of 5-year NCE exclusivity provisions and concluded that the requested change would disrupt regulated industry. The agency applied the new interpretation prospectively, starting with the finalization of the Exclusivity Guidance, ensuring that stakeholders had notice and the opportunity to comment before the new policy was implemented."
FDA-2013-P-0070-0013_Final_Response_letter_from_FDA_CDRH_to_Kleinfeld__.pdf,"October 10, 2014",No date ,Center for Devices and Radiological Health (CDRH),The FDA denied the request to rescind the 510(k) clearance for the GeNOsyl MV-1000 and to require approval of a new drug application (NDA) before marketing.,21 U.S.C. 355,"The FDA denied the request based on the ruling from the United States Court of Appeals for the District of Columbia Circuit, which stated that FDA could not rely on inherent reconsideration authority to rescind an initial substantial equivalence determination. Additionally, the FDA decided not to require an NDA before marketing the GeNO products, stating that the appropriate premarket regulatory pathway would be determined when an application for a specific product is received."
FDA-2013-P-0076-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,,"Stamped July 27, 2014",Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30(e)(3), 21 CFR 807.81(a)(3), 21 U.S.C. § 360c(a)(1)(B), 21 CFR 807.87(l), 21 CFR 820.30(g), 21 CFR 820.100(a)(1), 21 CFR 820.198(a), 21 CFR 820.198(c), 21 CFR 820.70(a), 21 CFR 820.70(b), 21 CFR 820.200(c), 21 CFR 820.250(a), 21 CFR 820.75(a), 21 CFR 820.90(a), 21 CFR 820.100(a), 21 CFR 820.198(b), 21 CFR 820.30(i)","The FDA denied the petition after concluding that the petitioner failed to demonstrate that the manufacturer’s device modifications required a new 510(k) submission. FDA determined that the changes cited did not significantly affect the safety or effectiveness of the device and were properly documented under the manufacturer’s existing quality system. The agency reviewed inspectional findings, complaint records, and quality system documentation and found them consistent with regulatory requirements. Additionally, FDA found no evidence that the device was misbranded or that the manufacturer violated FDA regulations requiring premarket notification."
FDA-2013-P-0119-0010_Interim_Response_Letter_from_FDA_CDER_to_Buchanan_.pdf,,"Stamped July 26, 2013 and July 30, 2013",Center for Drug Evaluation and Research (CDER),Interim Response – Final response not yet issued,21 CFR 10.30(e)(2),The FDA issued an interim response stating that it has not yet reached a decision on the petition due to the need for more time to review the issues raised. The agency acknowledged receipt of the petition and committed to responding as soon as it reached a decision.
FDA-2013-P-0148-0006_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Feb 21, 2014",Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 10.30, 21 CFR 314.70, 21 CFR 314.3(b), 21 CFR 314.80, 21 CFR 314.81",The FDA denied the petition after determining that the petitioner did not provide sufficient evidence to support the requested labeling changes or risk disclosures for the drug products. FDA concluded that the available scientific data did not substantiate the alleged safety concerns and that the current regulatory framework and monitoring systems were adequate to address any potential risks. The agency also emphasized that labeling decisions must be based on reliable scientific evidence.
FDA-2013-P-0170-0003_Letter_from_FDA_CDER_to_Clinipace_Worldwide.pdf,,No date ,Center for Drug Evaluation and Research (CDER),"The FDA approved the petition, allowing the submission of an Abbreviated New Drug Application (ANDA) for Hydroxychloroquine Sulfate Tablets.","Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act, 21 CFR 314.93","The FDA determined that the proposed change in strength (from 200 mg to 100 mg, 300 mg, and 400 mg) does not raise safety or effectiveness concerns. The proposed drug product has the same uses, doses, and route of administration as the listed drug, and the change aligns with the listed drug's labeling. If bioequivalence requirements are met, the proposed product will have the same therapeutic effect as the reference listed drug."
FDA-2013-P-0199-0003_Response_Letter_from_FDA_CDRH_to_Richard_M__Karcic.pdf,,"Printed July 12, 2023",Center for Devices and Radiological Health (CDRH),The FDA denied the petition.,"21 CFR 820, 21 CFR 820.30, 21 CFR 820.75, 21 CFR 820.100, FDA guidance documents on software validation and change management","The FDA denied the petition, citing that existing regulations and guidance already address the safety and effectiveness of device software, including change management and testing. The Agency concluded that no new regulations or amendments were necessary at this time, as the existing framework supports the verification, validation, and management of software in medical devices."
FDA-2013-P-0203-0004_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Feb 27, 2014",Center for Drug Evaluation and Research (CDER),The FDA denied the petition.,Not Mentioned,"The FDA denied the petition, concluding that the concerns raised regarding the product's safety and effectiveness were not substantiated by the evidence provided. The agency cited that the existing regulatory framework and available data did not warrant a change in the approval status of the drug."
FDA-2013-P-0298-0007_Reconsideration_Letter_from_FDA_to_Yale_University.pdf,,"Stamped Apr 05, 2017",Center for Drug Evaluation and Research (CDER),The FDA reaffirmed its decision to deny the petition for reconsideration.,Not Mentioned,The FDA reaffirmed its decision to deny the request to amend the metformin labeling regarding renal function and dosing. The Agency determined that the current labeling adequately addresses the concerns raised in the petition and that the proposed changes were not warranted based on available data and safety considerations.
FDA-2013-P-0323-0004_Agency_Response_Letter_from_FDA_CDER_to_Rapid_Prec.pdf,"February 21, 2019",Stamped,Center for Drug Evaluation and Research (CDER),The FDA denied the petition.,Not Mentioned,The FDA denied the petition based on the review of available data and determined that the concerns raised regarding the petitioned changes were not substantiated by evidence. The agency concluded that the current regulatory framework was adequate and that the requested changes were not warranted.
FDA-2013-P-0371-0007_Petition_Approval_Denial_from_FDA_CDER.pdf,"February 9, 2015",Stamped,Center for Drug Evaluation and Research (CDER),Partially granted and partially denied,"FD&C Act sections 505(b)(1), 505(b)(2), 505(c), 505(d), 505(j) (including 505(j)(2)(A), 505(j)(4), 505(j)(8)(A)(i), 505(j)(8)(B)(i)); 21 CFR 10.30(e)(2); 21 CFR 20.117; 21 CFR 314 (including 314.3, 314.54, 314.94); 21 CFR part 320 (including 320.1, 320.23)","FDA determined that Vogelxo meets therapeutic-equivalence criteria—pharmaceutical equivalence, bioequivalence demonstrated by comparative bioavailability study, adequate labeling, CGMP compliance—and that safety concerns (transfer, irritation, sensitization) are mitigated by study results; therefore petition request to block an A-rating was denied while the conditional request that TE criteria be fully satisfied was granted"
FDA-2013-P-0471-0006_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,,"Stamped Feb 21, 2014",Center for Drug Evaluation and Research (CDER),Partially granted and partially denied,"FD&C Act §§ 505(b)(1), 505(b)(2), 505(c), 505(d), 505(j) (including 505(j)(2)(A), 505(j)(4), 505(j)(8)(A)(i), 505(j)(8)(B)(i)); 21 CFR 10.30(e)(2); 21 CFR 20.117; 21 CFR 314.3, 314.54, 314.94; 21 CFR part 320","FDA concluded that Vogelxo meets all therapeutic-equivalence criteria—pharmaceutical equivalence, bioequivalence proven by comparative study, adequate labeling, and CGMP compliance—so the request to block an A-rating was denied, while the conditional request that TE criteria be fully satisfied was granted; other requested actions were denied because additional labeling or rulemaking was deemed unnecessary"
FDA-2013-P-0522-0009_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,"August 4, 2014",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"FD&C Act §§ 505(b)(1), 505(b)(2), 505(c), 505(d), 505(e)(1), 505(e)(2), 505(j), 505-1; 21 CFR 201.56, 201.57, 201.63, 201.66, 201.80; 21 CFR part 314 (including 314.50, 314.105, 314.126, 314.150, 314.200); 21 CFR part 320; 21 CFR part 341","FDA’s review of 26 cited articles and an additional 376 publications found no evidence that Diclegis (doxylamine + pyridoxine) disrupts fetal germ-line epigenetics or causes multigenerational harm; extensive human and animal data, meta-analyses, and decades of safe use support Category A status; existing OTC and prescription pregnancy warnings are adequate; requested blanket warnings and withdrawal or re-categorization lack scientific basis, so the petition was denied."
FDA-2013-P-0608-0008_Agency_Response_Letter_from_FDA_CDER_to_Janssen_Re.pdf,"July 6, 2021",Stamped,CDER (Center for Drug Evaluation and Research),Denied,"21 CFR 10.30, section 505(j) of the FD&C Act",FDA concluded that the petitioner did not provide sufficient evidence to support the requested changes and that current regulatory requirements and scientific standards remain appropriate.
FDA-2013-P-0615-0004_Response_letter_from_FDA_CDRH_to_State_of_Californ.pdf,"August 31, 2023",,Center for Devices and Radiological Health (CDRH),Other (Application for exemption declared moot—no action required),"21 CFR §§ 801.420, 801.421 (removed), 801.422; 21 CFR part 808 (including § 808.55); 21 CFR § 800.30(h); FD&C Act § 521 (21 U.S.C. § 360k); FDARA § 709(b)(4); 87 FR 50698 (Aug 17 2022); 86 FR 58170 (Oct 20 2021)","FDA’s 2022 final rule on over-the-counter hearing aids repealed the federal requirements (§§ 801.420, 801.421) that the California petition sought exemption from; those federal provisions and earlier exemption decisions no longer exist, and newer pre-emption language in FDARA § 709(b)(4) bars such exemptions, so the petition is now moot."
FDA-2013-P-0667-0008_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,"July 31, 2014",Stamped,Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 10.30; 21 U.S.C. § 321(h); 21 CFR 809.3; 21 CFR 807.3; Federal Food, Drug, and Cosmetic Act (FD&C Act) device provisions; Clinical Laboratory Improvement Amendments of 1988 (CLIA)","FDA concluded that laboratory-developed tests (LDTs) meet the statutory definition of a medical device, fall under FDA’s jurisdiction, and require appropriate oversight; the agency therefore rejected the petition’s request that FDA disavow regulation of LDTs and halt related guidance or rulemaking."
FDA-2013-P-0671-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,,"Stamped Oct 23, 2013 and Oct 24, 2013",Center for Devices and Radiological Health (CDRH),Denied,"21 U.S.C. §321(h); 21 U.S.C. §360 (including §§360c, 360e, 360k, 360bbb-3, 379a); 21 U.S.C. §396; 21 U.S.C. §334; 21 CFR 809.3(a); 21 CFR Part 807 (including 21 CFR 807.3(b) and 807.65(f), 807.65(i)); 21 CFR 801; 42 U.S.C. §263a (CLIA)","FDA concluded that laboratory-developed tests (LDTs) are medical devices under 21 U.S.C. §321(h); FDA has statutory authority concurrent with CMS’s CLIA program to regulate the safety and effectiveness of such devices; modern LDTs present increased risk because they use complex technology and guide critical clinical decisions; continued enforcement discretion could harm public health; CLIA oversight focuses on laboratory operations, not device safety/effectiveness; issuing guidance to phase in oversight is appropriate and within FDA’s discretion; therefore the petition seeking to bar FDA regulation of LDTs is denied"
FDA-2013-P-0701-0004_Citizen_Petition_Denial_Letter_from_FDA_CFSAN_to_O.pdf,"November 25, 2014",Stamped,CFSAN,Denied,"21 CFR 1240.61; 21 CFR 10.30(e)(3); 21 CFR 10.40(a)(2); 42 U.S.C. § 264(a) (PHSA §361(a)); Federal Food, Drug, and Cosmetic Act (FDCA) sections 301(a), 301(b), 301(c), 301(k) (21 U.S.C. §§ 331(a)-(c), (k)); 21 U.S.C. § 342(a)","FDA denied the petition to allow interstate distribution of raw milk, concluding that raw milk poses significant public health risks due to potential pathogen contamination. The petitioner failed to provide new scientific evidence demonstrating the safety of raw milk or justifying the requested regulatory changes. FDA found that pasteurization remains necessary for public health protection and that state regulation or voluntary standards do not adequately ensure raw milk safety."
