File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2014-P-0038-0003_Interim_Response_Letter_from_FDA_CDRH_to_Riverain_.pdf,6/17/2014,,"Center for Devices and Radiological Health (CDRH)
",Interim Response,"Section 513(e) of the Federal Food, Drug, and Cosmetic Act (FD&C Act), which pertains to reclassification petitions.
","The petition ""raises issues requiring further review and analysis by Agency officials,"" and therefore a decision has been delayed.

",FALSE,
FDA-2014-P-0038-0004_Final_Response_letter_for_FDA_2017_P_3884_and_FDA_.pdf,6/4/2018,,"Center for Devices and Radiological Health (CDRH)
",Dismissed (moot),"- Section 513(f)(3) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- Section 513(a)(1)(B) of the FD&C Act","- Petitions were incorrectly filed under Section 513(e) instead of 513(f)(3), the proper path for reclassifying PMA-approved devices.
- FDA published a Proposed Order on June 4, 2018 (83 FR 25598), initiating reclassification of similar medical image analyzers (including ClearRead + Detect) from Class III to Class II.
- FDA believes special controls identified in the Proposed Order can mitigate risks such as false results, misuse, and device failure.
- As the proposed reclassification would satisfy the petitioner’s request if finalized, the petitions were dismissed as moot.",FALSE,
FDA-2014-P-0077-0008_Citizen_Petition_Interim_Response_from_FDA_CDER_to.pdf,7/3/2014,,"Center for Drug Evaluation and Research (CDER)
",Interim Response,21 CFR 10.30(e)(2) – FDA’s regulation for issuing interim responses to citizen petitions when additional time is needed for review.,"The petition raises complex issues that require extensive review and analysis by Agency officials. Therefore, the FDA has not yet reached a decision on the matter.

",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0077-0032_Letter_from_CDER_and_CBER_to_Generic_Pharmaceutica.pdf,1/19/2017,"Date was incorrectly identified by ChatGPT, but date has been manually adjusted.","Center for Drug Evaluation and Research (CDER) and Center for Biologics Evaluation and Research (CBER)
",Denied,"- 21 CFR 10.30 (FDA regulation for citizen petitions)
- Mention of statutory authority under the Public Health Service Act and Federal Food, Drug, and Cosmetic Act (FD&C Act)","The FDA denied the petition primarily because:
• It concluded that a distinguishing suffix in nonproprietary names for biological products, including biosimilars, is necessary to ensure pharmacovigilance and accurate product identification.
• The petition requested FDA to apply identical nonproprietary names to reference products and biosimilars, which FDA found inappropriate for public health and safety reasons.
• The Agency explained that differing suffixes would help prevent inadvertent substitution and support post-market safety monitoring.",FALSE,
FDA-2014-P-0099-0003_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,6/12/2014,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act – ANDA approval process)
- 21 CFR 314.94(a)(7) (Bioequivalence requirements)
- 21 CFR Part 320 (Bioequivalence study procedures)
- 21 CFR 320.24(b) (Study design methods)
- 21 CFR 314.101(b)(1), (d)(3)","- FDA rejected the request to mandate crossover design BE studies only.
- It explained that either crossover or parallel design studies may be appropriate depending on the pharmacokinetic characteristics (e.g., half-life) of the drug.
- FDA found no valid reason to categorically exclude parallel BE studies for memantine HCl ER.
- Both study types can reliably establish bioequivalence if designed properly.
- FDA emphasized flexibility, supported by the PK Endpoints Draft Guidance and other scientific rationales, allowing ANDA applicants to choose the most appropriate scientifically justified approach.
- Therefore, the petition’s proposal was not adopted as policy.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0111-0003_Interim_Response_Letter_from_FDA_CDRH_to_LaMaitre_.pdf,7/7/2014,,"Center for Devices and Radiological Health (CDRH)
",Interim Response,"Section 513(e) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) – regarding reclassification of medical devices.
","The issues raised in the petition require further review and analysis by FDA officials. A final response will be provided once a decision is reached.



",FALSE,
FDA-2014-P-0111-0004_Response_Letter_from_FDA_CDRH_to_Xiang_Zhang.pdf,7/18/2024,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- Section 513(a)(1)(A) of the FD&C Act (21 U.S.C. § 360c(a)(1)(A))
- Section 513(a)(1)(B) of the FD&C Act (21 U.S.C. § 360c(a)(1)(B))
- Section 513(e) of the FD&C Act (21 U.S.C. § 360c(e))
- Section 515(c)(1)(C) of the FD&C Act (21 U.S.C. § 360e(c)(1)(C))
- Section 520(l)(2) (reclassification of transitional devices)
- 21 CFR 10.30(e)","- The device (animal tissue grafts ≥6mm) was deemed to pose significant health risks, such as graft failure leading to serious events (e.g., rupture, bleeding, or death).
- Literature submitted did not sufficiently prove that general and special controls would ensure safety and effectiveness.
- FDA highlighted the critical role of manufacturing processes in influencing device safety.
- The proposed special controls did not adequately mitigate risks related to the variability in tissue source, decellularization, or chemical fixation processes.
- FDA emphasized the need for premarket approval to review design, manufacturing, and labeling for such high-risk devices.",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0112-0003_Letter_from_FDA_CDRH_to_NadaChair.pdf,3/22/2019,,"Center for Devices and Radiological Health (CDRH)
",Interim Response,"21 CFR 10.30(e)(2) – FDA regulation that allows for interim responses to citizen petitions when additional time is needed for review.
","The petition requests that FDA unregister the company and delist all company products from those requiring registration or regulation under FDA statutes. The Agency has not reached a decision because the issues raised require further review.



",FALSE,"Missing in original spreadsheet, so completed in full here."
FDA-2014-P-0112-0004_Final_Response_Letter_from_FDA_CDRH_to_NadaChair_R.pdf,3/1/2024,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- 21 CFR 10.30(e) (Citizen petition procedures)
- 21 U.S.C. § 360(b)(2) (FD&C Act § 510(b)(2): Registration requirements)
- 21 CFR 807.20(a)(1) (Device registration and listing regulations)
- 21 CFR 807.65 (Exemptions from registration)
- 21 CFR 890.3490 (Truncal orthosis classification)
- 21 CFR 10.30(k) (Scope limits for citizen petitions)","- The FDA concluded that NadaChair and its products are medical devices under 21 U.S.C. § 321(h), as they are intended for use in the treatment and prevention of back pain.
- Because NadaChair manufactures devices and does not qualify for exemptions under section 510(g), it must comply with registration and listing requirements.
- NadaChair’s products are classified as Class I medical devices (21 CFR 890.3490) and are subject to general controls, including registration.
- The FDA also rejected NadaChair’s request that FDA expand its regulatory oversight to other companies, noting that such enforcement decisions are discretionary and outside the scope of a citizen petition (21 CFR 10.30(k)).",FALSE,
FDA-2014-P-0123-0003_Citizen_Petition_Response_from_FDA_CDER_to_Consume.pdf,7/22/2014,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"21 CFR 10.30(e)(2) – Pertains to the procedure for interim responses to citizen petitions when additional time is needed for review.
","The FDA has not completed its review of the petition, which requested changes to caramel color regulations due to safety concerns over 4-MEI. The Agency explained that the evaluation is still ongoing and invited the petitioners to submit further supporting materials for continued consideration.



",FALSE,
