File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2018-P-0033-0003_Petition_Response_Letter_from_FDA_CDER_to_Hyman__P.pdf,4/23/2018,,Center for Drug Evaluation and Research (CDER),"Dismissed (moot)
","- Approved Drug Products With Therapeutic Equivalence Evaluations (Orange Book)
- Orange Book Home
- Rasuvo Listing","The requested action (RLD designation for Rasuvo) had already occurred on December 18, 2017, before the petition was submitted on January 2, 2018, making the petition moot.

",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0034-0004_Interim_Response_Letter_from_FDA_CDER_to_Hyman__Ph.pdf,6/27/2018,,Center for Drug Evaluation and Research (CDER),Interim Response,"21 CFR 10.30(e)(2) – Regulation governing FDA's obligation to respond to citizen petitions
","The FDA has not resolved the petition due to the need to address other Agency priorities. The interim response was issued in accordance with regulatory timelines.

",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0034-0005_Agency_Response_Letter_from_FDA_CDER_to_Strides_Ph.pdf,8/30/2018,,Center for Drug Evaluation and Research (CDER),"Dismissed (moot)
","The document references the Orange Book but does not cite any specific statutes or regulations (e.g., CFR sections).
","FDA investigated claims that the current reference standard (ANDA 074655, Sandoz) for ranitidine hydrochloride capsules EQ 300 mg was unavailable or difficult to obtain. However, FDA determined there was an increase in distribution of the product after the petitions were submitted, and the product was currently being distributed. This rendered the petitions moot
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0097-0003_Interim_Response_from_FDA_CDER.pdf,7/2/2018,,Center for Drug Evaluation and Research (CDER),Interim Response,"21 CFR 10.30(e)(2) – This regulation governs interim responses to citizen petitions when the FDA has not reached a decision.
","FDA has not resolved the petition due to the need to address other Agency priorities. The response acknowledges the petition’s claims about access issues regarding the 1 g tablets of Amicar and notes that a final determination will follow when resources permit
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0098-0007_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,7/17/2023,"No date recognized by ChatGPT, but found in signature line.",Center for Drug Evaluation and Research (CDER),Approved,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 CFR 314.93
- 21 CFR 314.94(a)(3)(iii)
- 505(j)(2)(A) and (B)
- 505(j)(2)(A)(iv)","The FDA found that:
• The proposed strength changes (150 mg, 200 mg, 300 mg) do not pose safety or effectiveness concerns.
• The uses, dose, dosage form, and route of administration are consistent with the listed drug (Zonegran®).
• If bioequivalence is demonstrated, the product can be expected to have the same therapeutic effect.
• Therefore, labeling changes or new safety/effectiveness investigations are not necessary",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0130-0007_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,11/17/2023,"No date recognized by ChatGPT, but found in signature line.",Center for Drug Evaluation and Research (CDER),Denied,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 CFR 314.93
- 21 CFR 314.93(e)(1)(i)
- Section 505B of the FD&C Act (PREA)
- 21 CFR 10.33 and 10.20","The requested change involves both a change in dosage form and strength, which triggered requirements under the Pediatric Research Equity Act (PREA). FDA determined that clinical trials are required and denied the waiver request for pediatric studies. Therefore, the petition could not be approved under the ANDA pathway
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0131-0007_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,11/17/2023,"No date recognized by ChatGPT, but found in signature line.",Center for Drug Evaluation and Research (CDER),Denied,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)
- 21 CFR 314.93
- 21 CFR 314.93(e)(1)(i)
- Section 505B of the FD&C Act (PREA)
- Section 505(j)(2)(A) of the FD&C Act
- 21 CFR 10.33
- 21 CFR 10.20","The petition requested permission to submit an ANDA for zonisamide orally disintegrating tablets (various strengths), a change in dosage form and strength. This change triggered the Pediatric Research Equity Act (PREA). The FDA determined that clinical trials were required and denied the waiver request for those trials. As a result, the petition could not be approved under the ANDA pathway
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0258-0009_Letter_from_FDA_CFSAN_to_GILMAN_CHEESE_CORPORATION.pdf,7/12/2018,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"- 21 CFR §10.30(e)(2) – Pertaining to interim responses to citizen petitions
- 21 CFR §§133.169 and 133.170 – The petition targets amendments to these sections of cheese standards","Due to competing priorities including the FDA’s Nutrition Innovation Strategy (NIS), the agency has not resolved the petition within 180 days. The agency stated it will review the petition as part of efforts to modernize standards of identity and ensure they align with consumer dietary needs
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0266-0003_Response_Letter_from_FDA_CDER_to_Arent_Fox_LLP.pdf,7/16/2018,,Center for Drug Evaluation and Research (CDER),"Dismissed (moot)
","- No specific statutes or CFRs cited by number
- Orange Book referenced as the source for reference standards","The petitioner requested new reference standards for three fluocinolone acetonide products (ear, scalp, and body oils) due to market unavailability. However, the FDA confirmed that distribution resumed in April 2018, after the petitions were submitted. Therefore, the petition was rendered moot
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0268-0003_Response_Letter_from_FDA_CDER_to_Arent_Fox_LLP.pdf,7/16/2018,,Center for Drug Evaluation and Research (CDER),"Dismissed (moot)
","- No formal statutes or regulations (e.g., CFR or FDCA citations) are mentioned.
- The Orange Book is cited as the reference database.","The petitioner requested designation of new reference standards due to backorders of three Hill Dermaceuticals products (under NDA 019452). However, the FDA found that all three products resumed distribution in April 2018. As they are now actively being marketed, there was no need to designate new reference standards, making the petition moot
",FALSE,"Missing in original spreadsheet, so completed in full here. "
FDA-2018-P-0269-0003_Response_Letter_from_FDA_CDER_to_Arent_Fox_LLP.pdf,7/16/2018,,Center for Drug Evaluation and Research (CDER),"Dismissed (moot)
","No formal statutes or specific CFR citations were mentioned.
Reference was made to the Orange Book","The petitioner requested designation of new reference standards due to unavailability of three fluocinolone acetonide products. FDA investigated and found that distribution resumed in April 2018, rendering the petitions moot
",FALSE,"Missing in original spreadsheet, so completed in full here. "
