File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Review Comments
FDA-2005-P-0002-0002_FDA_CDER_to_Ortho_McNeil_Pharmaceutical__Inc_.pdf,"November 9, 2006",Stamped,Center for Drug Evaluation and Research (CDER),"Partially Granted and Partially Denied
As stated in both the opening paragraph (page 1) and the conclusion (page 16):

Granted: FDA will require ANDA applicants to measure both oxybutynin and its active metabolite desethyloxybutynin in fasting and fed conditions.

Denied: FDA will not require application of standard bioequivalence criteria to:

the active metabolite desethyloxybutynin

the individual enantiomers (R- and S- forms) of oxybutynin or desethyloxybutynin.","21 U.S.C. § 355(j) — Section 505(j) of the Federal Food, Drug, and Cosmetic Act (Hatch-Waxman Amendments)

21 CFR 320.1(e) — Definition of bioequivalence

21 CFR 320.23(b) — Bioavailability and bioequivalence

21 CFR 320.24 — Acceptable methods for determining bioequivalence

21 CFR 320.33(f) — Assessment criteria for potential bioequivalence problems

FDA BA/BE Guidance (March 2003) — “Bioavailability and Bioequivalence Studies for Orally Administered Drug Products – General Considerations”

FDA Food Effect Guidance (December 2002) — “Food-Effect Bioavailability and Fed Bioequivalence Studies”

Case Law Cited:

Schering Corp. v. FDA, 51 F.3d 390 (3rd Cir. 1995)

Fisons Corp. v. Shalala, 860 F. Supp. 859 (D.D.C. 1994)","Bioequivalence Evaluation Approach:

The parent drug (oxybutynin) is more sensitive to formulation changes than its metabolite.

Measuring the metabolite (desethyloxybutynin) provides supportive evidence but applying full bioequivalence statistical criteria to it is unnecessary and inconsistent with FDA guidance.

On Fasting vs. Fed Conditions:

FDA agrees that food may affect the pharmacokinetics of oxybutynin differently.

Therefore, it requires ANDA applicants to demonstrate bioequivalence under both conditions.

On Enantiomers (R/S Forms):

FDA concludes that Ditropan XL fails to meet the four criteria for requiring separate measurement of R- and S-enantiomers:

Although enantiomers differ pharmacologically and pharmacokinetically,

Primary efficacy/safety does not reside with the minor enantiomer,

There is no evidence of nonlinear absorption,

No validated model or human study demonstrates the clinical significance of such differences.

FDA finds that measuring the racemic mixture is sufficient for regulatory purposes.

On Delivery System Concerns:

No persuasive evidence was presented to show that different extended-release (ER) technologies would result in clinically meaningful differences in safety or efficacy among generic products.",From 2006?
FDA-2005-P-0430-0003_Petition_Denial_from_FDA_CDER_to_Covington___Burli.pdf,"September 13, 2005 and September 16, 2005",Stamped,"Center for Drug Evaluation and Research (CDER)
Signed by Steven K. Galson, M.D., M.P.H., Director, CDER",Denied,"Federal Food, Drug, and Cosmetic Act (FFDCA):

21 U.S.C. § 355(j)(5)(F)(ii) – 5-year exclusivity provisions

21 U.S.C. § 355A – Pediatric exclusivity extension

21 U.S.C. § 355(j)(2)(A)(iv) – Bioequivalence requirement for ANDAs

21 U.S.C. § 355(j)(2)(A)(v) – Labeling requirements

21 U.S.C. § 355(j)(4)(F) – Grounds for ANDA approval denial

21 U.S.C. § 355(j)(2)(A)(iii) – Strength equivalency requirement

FDA Regulations (21 CFR):

21 CFR 320.22(d)(2) – Waiver of in vivo bioequivalence studies

21 CFR 314.94(a)(8)(iv) – Permitted labeling differences

21 CFR 314.92 and 314.94(a)(6)(i) – ANDA product characteristics

21 CFR Part 320 – Bioequivalence regulations

FDA Guidance Documents & Precedents:

Guidance for Industry on Bioavailability and Bioequivalence Studies for Orally Administered Drug Products—General Considerations

FDA's Orange Book: Approved Drug Products with Therapeutic Equivalence Evaluations","Bioequivalence Between Strengths Not Required:
FDA determined that a generic applicant does not need to show bioequivalence between five 20-mg tablets and one 100-mg Arava tablet. They only need to demonstrate bioequivalence for each strength individually compared to the corresponding Reference Listed Drug (RLD).

100-mg Tablet Not Required in Generic Product Line:
Generic manufacturers are not obligated to include a 100-mg strength if they demonstrate bioequivalence for the 10-mg or 20-mg strengths. Labeling can still refer to a 100-mg tablet, including Arava's, to satisfy loading dose instructions.

Labeling Considerations:
The FDA allows ANDA labeling to include references to strengths the generic manufacturer does not produce, such as the 100-mg loading dose. This is supported by regulatory precedent and labeling practices for other drugs like Videx and Oncaspar.

No Safety or Efficacy Risk Identified:
FDA concluded that referencing a 100-mg loading dose tablet in generic labeling (even if not produced by the generic sponsor) would not compromise safety or efficacy. Therefore, a bioequivalence study comparing 5x20 mg to 1x100 mg was deemed unnecessary.

Regulatory Precedent:
The FDA cited multiple examples of approved generics not offering every RLD strength, reinforcing the legal and regulatory basis for denying the petition.",from 2005?
FDA-2005-P-0059-0080_FDA_CDER_to_Williams___Connolly_LLP___American_Col.pdf,"Stamped and written August 11, 2010",,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355(j)(2)(A)(v) – Labeling for ANDA drugs

21 CFR 314.94(a)(8)(iv) – ANDA labeling requirements

21 CFR 314.127(a)(7) – Grounds for ANDA refusal

21 CFR 201.57(c)(6)(i) and (ii) – Warnings and precautions content in labeling

21 CFR 201.80(e) and (f)(1) – Older regulation structure for warning/precautions section

Citations are concentrated on page 3 in the section discussing labeling regulations and professional qualifications","Propofol Has Unique and Serious Risks:
The FDA emphasized that propofol poses greater risks than alternative sedation agents, including sudden onset of respiratory and cardiovascular depression, and has no reversal agent.

Warning Aligns with Standards of Medical Safety:
The warning in question reflects concerns outlined by major medical bodies including JCAHO, ASA, and the American Association for Accreditation of Ambulatory Surgery Facilities. It ensures propofol is administered by individuals trained in general anesthesia and solely focused on monitoring the patient—not performing procedures simultaneously.

Studies Submitted Were Insufficient:
The FDA reviewed 31 publications submitted with the petition and concluded they lacked adequately powered, randomized, controlled trials proving that propofol can be safely administered by gastroenterologists or nurses without anesthesia training. Some studies even showed higher complication rates when administered by non-anesthesia personnel.

Economic and Practice Concerns Don’t Justify Risk:
Cost savings and expanded scope of practice for gastroenterologists were deemed insufficient to outweigh the safety risks of changing the labeling. FDA reaffirmed that labeling does not restrict practice by specialty but sets standards for safety and competence.",from 2010?
FDA-2019-P-3855-0027_Petition_Response_Letter_from_FDA_CDER_to_Latham_W.pdf,"January 10, 2020",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(b)(2) – Relating to New Drug Applications (NDAs) under the 505(b)(2) pathway

21 CFR 314.101(a)(3) – Refusal to file NDAs with certain deficiencies

21 CFR 314.101(d) – Conditions under which the FDA will refuse to file an application

21 CFR 314.50 – NDA content and format

21 CFR 314.94 – Abbreviated New Drug Applications (ANDAs)

21 CFR 314.125(b)(1) – Grounds for denying NDA approval

FDA Guidance Documents Referenced:

Guidance for Industry: Pharmacokinetics in Patients with Impaired Renal Function

Guidance for Industry: Pharmacokinetics in Patients with Impaired Hepatic Function

FDA’s Manual of Policies and Procedures (MAPP) 4000.4 – NDA filing review issues

Orange Book: Approved Drug Products with Therapeutic Equivalence Evaluations

FDA Product-Specific Guidance documents for bioequivalence","Equal Filing Standards:
The FDA found that it had applied the same filing standards to both Genus's and Lannett's applications for cocaine HCl nasal solution. Both companies were required to provide equivalent types of data, though each chose different approaches (e.g., literature-based vs. dedicated clinical studies).

Sufficient Data for Filing:
Lannett submitted sufficient information, including clinical pharmacology, toxicology, and leachables data, to support filing and eventual approval. FDA determined that the studies provided were adequate for substantive review and that additional studies—though different from Genus's—were not legally required.

No Discriminatory Requirements:
The FDA explicitly rejected the claim that it unfairly imposed more demanding requirements on Genus. It clarified that applicants have flexibility in how they fulfill filing requirements and that Genus had the option to rely on literature or alternative data sources like Lannett did.

Scientific and Regulatory Sufficiency:
FDA emphasized that it does not require ""perfect alignment"" of datasets across applications, only that the data be sufficient for review. It found no reason to invalidate the filing or approval of Lannett’s application.

No Legal Obligation to Delay Lannett’s NDA:
The agency disagreed with Genus’s interpretation of 505(c)(3)(E)(ii) exclusivity protections. It asserted that Lannett’s NDA was permissible under applicable rules and did not violate exclusivity provisions.",
FDA-2019-P-0837-0026_Letter_from_FDA_CDER_to_Takeda_Pharmaceuticals_U_S.pdf,"July 18, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"Section 505(b)(2) and 505(j) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)

21 U.S.C. 355(j) – Pertaining to ANDA and NDA applications

21 CFR 314.126(b) – Requirements for adequate and well-controlled studies

21 CFR 314.94(a)(8)(iv) – Labeling differences for ANDA products

21 CFR 314.127(a)(7) – Conditions under which FDA can refuse an ANDA

Section 505(j)(2)(A)(v) and (j)(4)(G) – ANDA labeling and approval standards

Section 505(j)(5)(F)(iv) – 3-year exclusivity provisions

Relevant court precedents (e.g., Sigma-Tau Pharm., Inc. v. Schwetz, 288 F.3d 141 (4th Cir. 2002))

Other references to Orange Book exclusivity and NDA-related legal framework","Three-Year Exclusivity Protects Clinical Study Information:
The protected information regarding the reduced incidence of treatment-emergent sexual dysfunction (TESD) from new clinical trials (Study 10 and Study 11) was deemed to fall under three-year exclusivity protections. Thus, it could not be used in labeling for generic versions .

Omission Does Not Render Product Less Safe or Effective:
FDA concluded that removing this protected information from the generic labeling would not make the generic vortioxetine product less safe or effective for the remaining, non-protected uses .

Treatment Adherence Argument Not Supported:
Petitioners argued that the protected information would improve treatment adherence. FDA rejected this, stating there was no supporting clinical evidence that the omission would negatively affect adherence .

FDA Precedent and Carve-Outs Valid:
FDA affirmed its authority and precedent to approve generic products with carve-outs for protected labeling content, as long as the generic remains safe and effective for its approved indications .

No Misleading Labeling:
The agency found that omitting the protected TESD data would not mislead prescribers or result in an inaccurate understanding of the product’s risk-benefit profile .",
FDA-2019-P-0538-0026_Letter_from_FDA_CDER_to_K_L_Gates_LLP.pdf,"July 1, 2019",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. § 355(b)(2) – Section 505(b)(2) of the FD&C Act: New Drug Applications based on literature or existing studies

21 CFR 314.101(d) – NDA Refusal to File regulations

21 CFR 314.108 – Exclusivity provisions (5-year and 3-year)

21 CFR 314.50 – NDA content and format requirements

21 CFR 314.94 – ANDA requirements

21 CFR 314.125 – Grounds for refusing to approve an NDA

FDA’s Proposed and Final Rules:

1992 Final Rule on Abbreviated NDA Regulations, 57 FR 17950 (April 28, 1992)

1989 Proposed Rule, 54 FR 28872 (July 10, 1989)","Amendments to Pending NDAs Allowed Without Violating Exclusivity:
The agency concluded that Lannett could lawfully continue submitting amendments to its previously filed 505(b)(2) application—even during the exclusivity period of Genus's Goprelto—as long as the amendments did not rely on a published investigation conducted by or for Genus without a right of reference.

Definition of “Application” Does Not Preclude Amendments:
FDA interpreted “application” to include the overall submission and determined that amendments (e.g., updated data or reports) do not constitute a new “application.” Therefore, such updates during the exclusivity period are not barred.

Hatch-Waxman Exclusivity Provisions:
The agency explained that exclusivity provisions are designed to prohibit new submissions that rely on protected data but do not prevent continued review or amendment of previously submitted applications.

Regulatory Consistency and Precedent:
The FDA’s current interpretation aligns with both the 1992 Final Rule and its longstanding regulatory practices, avoiding an interpretation that would prevent any updates to pending NDAs during an exclusivity period.

Avoiding Unreasonable Restriction:
The petitioner’s interpretation would have barred Lannett from correcting deficiencies or improving safety data in its application, thereby undermining public health and the agency’s drug review process. FDA found this position both impractical and unsupported by statute or regulation",
FDA-2019-P-1640-0011_Letter_from_FDA_CFSAN_to_Top_Health_Ingredients__I.pdf,"January 9, 2020",Stamped,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR 101.9(c)(6)(i) – Definition of dietary fiber

21 CFR 101.9(c)(6)(iii) – Addition of substances to dietary fiber definition via petition

21 CFR 10.30(e)(3) – Criteria for granting/denying citizen petitions

21 CFR 101.9(c)(1)(i)(C) – Added sugars labeling

21 CFR 101.36(b)(2)(i) – Supplement facts labeling requirements

81 FR 33742 – Final rule on Nutrition and Supplement Facts Labels (June 2016)

Other referenced materials include prior FDA responses, scientific studies, and petitions","Insufficient Scientific Evidence of Benefit:
FDA concluded that the petitioner did not provide adequate scientific evidence to demonstrate that IMO consumption has a beneficial physiological effect—specifically, in relation to laxation or blood cholesterol levels, the two endpoints evaluated.

Studies Were Methodologically Limited:
Studies submitted suffered from issues such as:

Inadequate statistical analysis

Insufficient control of confounding variables

Use of laxative/enema treatments during collection periods, which compromised laxation assessments

Small sample sizes and poorly controlled study designs

Lack of Demonstrated Relevance to Target Populations:
FDA found that studies conducted on chronically constipated patients could not be extrapolated to the general healthy population, limiting the relevance of claimed benefits
.

IMO’s Chemical Structure Alone Not Sufficient for Classification:
Although IMO may share similar non-digestible carbohydrate linkages with other fibers like inulin and GOS, FDA clarified that structure alone is not sufficient for dietary fiber classification without demonstrated health benefits.

Final Statement:
The agency indicated it is open to a new petition if future evidence demonstrates a health benefit from IMO consumption.",
FDA-2019-P-1911-0008_Final_Response_Letter_from_FDA_CFSAN_to_Keller_and.pdf,"January 31, 2020",Stamped,Center for Food Safety and Applied Nutrition (CFSAN),Denied,"21 CFR 101.9(c)(6)(i) – Definition of dietary fiber

21 CFR 10.30(e)(3) – Criteria for granting or denying a citizen petition

81 FR 33742 – Final rule on Nutrition and Supplement Facts Labeling (May 27, 2016)

83 FR 8997 – Final guidance: Scientific Evaluation of the Evidence on the Beneficial Physiological Effects of Isolated or Synthetic Non-digestible Carbohydrates (March 2, 2018)","Insufficient Scientific Evidence of Physiological Benefit:
The petitioner claimed gum acacia had beneficial effects on (1) postprandial blood glucose and insulin and (2) energy intake and satiety. FDA concluded the total body of evidence was insufficient to demonstrate a beneficial physiological effect
.

Weaknesses in Cited Studies:
Many studies lacked appropriate controls, included mixed fiber interventions, or did not report outcomes in a statistically robust manner. In particular:

Five of nine blood glucose/insulin studies had significant design limitations.

Of four interpretable studies, results were inconsistent—only some showed benefits, and those often lacked dose-response relationships.

Inconsistent Results on Energy Intake:
Of the three interpretable energy intake studies:

One showed a statistically significant effect at 40 g dose only.

Another showed benefit at 5–10 g doses.

A third (Larson et al., 2019) showed no significant effect.
FDA concluded these inconsistencies undermined confidence in gum acacia’s efficacy.

No Plausible Explanation for Mixed Results:
FDA could not determine whether observed inconsistencies were due to study design, population, or measurement errors. Thus, no reliable conclusion could be drawn regarding gum acacia’s physiological benefits.

Conclusion:
Due to limited, inconsistent, and inconclusive evidence, gum acacia was not deemed eligible for inclusion as a dietary fiber under the regulatory definition.",
FDA-2019-P-4002-0003_Letter_from_FDA_CDER_to__Otsuka_Pharmaceutical_Dev.pdf,"January 16, 2020",Stamped,Center for Drug Evaluation and Research (CDER),Denied,"21 CFR 314.161 – Determining if a drug was withdrawn for safety or effectiveness

21 CFR 314.162 – Procedure for removing a drug from the list

21 CFR 314.94(a)(7) – Application requirements for ANDAs

21 CFR 314.94(a)(6)(i) – Labeling requirements for ANDAs

21 CFR 314.127(a)(6)(i) – Approval standards

21 CFR 314.3(b) – Definition of RLD (Reference Listed Drug)

Section 505(j) of the FD&C Act – Related to ANDA approval process

Section 505-1 of the FD&C Act – Risk Evaluation and Mitigation Strategy (REMS)

81 FR 50710 (August 2, 2016) – Determination that Samsca was not withdrawn for safety or effectiveness

Citizen Petition Precedents:

Palladone (NDA 021044)

OxyContin (NDA 022272)","Samsca 60-mg Tablets Were Not Withdrawn for Safety or Effectiveness:
FDA reaffirmed its 2016 determination that the 60-mg strength of Samsca was not withdrawn due to safety concerns, even though it is listed as “discontinued” in the Orange Book. The product remains part of NDA 022275 and is still eligible to serve as a Reference Listed Drug (RLD)
.

Updated Labeling with Boxed Warning Was Adequate:
The risk of hepatotoxicity and misuse of Samsca to treat ADPKD was addressed in 2018 through updated labeling. FDA concluded that no further regulatory measures (e.g., withdrawal or REMS) were necessary
.

ANDA Statutory Framework Satisfied:
FDA clarified that an ANDA applicant does not need to independently demonstrate safety/effectiveness but must rely on the FDA’s findings for the RLD and prove bioequivalence. The agency found no legal reason to refuse or suspend approval of any ANDAs referencing Samsca 60-mg tablets
.

Speculative Concerns Insufficient:
The petition raised hypothetical concerns that Samsca might be used off-label in place of Jynarque (also a tolvaptan product). FDA found no evidence to support that such misuse was occurring or posed sufficient risk to justify regulatory changes
.

Comparison to Palladone and OxyContin Not Persuasive:
FDA distinguished the case of Samsca from withdrawals of other drugs like Palladone and OxyContin, emphasizing that those drugs posed direct public health threats that were not present in the case of Samsca
.       ",
FDA-2019-P-0622-0004_Response_Letter_re_Citizen_Petition_from_FDA_OC___.pdf,"May 3, 2019",Stamped,Office of the Chief Scientist (OCS),Denied,"21 CFR 60.30(d) – Certification and filing requirements for due diligence petitions

21 CFR 60.34(b)(1) and (4) – Grounds for denying petitions for lack of sufficient information

21 CFR 60.36(a) – Standard for determining failure to act with due diligence

21 CFR 60.22(c)(1)(i), (c)(2)(i) – Regulatory review period components

35 U.S.C. 156(c), 156(d)(3), 156(g)(3)(B)(i), (g)(3)(B)(ii) – Patent term restoration framework

Public Law 98-417 / Public Law 100-670 – Drug Price Competition and Patent Term Restoration Act of 1984

FDA Staff Manual Guide 1410.21 ¶ I.B.7. – Cited in footnotes

83 Fed. Reg. 65680 (Dec. 21, 2018) – Establishing regulatory review period for Absorb GT1

51 Fed. Reg. 25338 (July 11, 1986); 53 Fed. Reg. 7298 (Mar. 7, 1988) – Due diligence petition preambles

H. Rept. 857, 98th Cong., 2d Sess. Part 1 at 42 (1984) – Legislative history on due diligence standards","Lack of Sufficient Facts:
The petition failed to present adequate information or allegations upon which the FDA could reasonably determine that Abbott did not act with due diligence during the regulatory review period for the Absorb GT1 Bioresorbable Vascular Scaffold (BVS) system
.

Allegations Did Not Relate to Regulatory Review Period:
The claims—including failure to train, anti-competitive behavior, promotional activities, and misconduct—were found not to be directly tied to the regulatory review period or to any delay in submitting the PMA
.

No Demonstrated Link to Approval Delay:
The petition did not establish how any of the alleged actions resulted in a delay in pursuing FDA approval. FDA emphasized that due diligence petitions are not designed to review every alleged misstep, but to determine whether the applicant failed to diligently pursue approval during a defined regulatory period
.

Certification Requirements Not Met:
The petitioner failed to properly certify that a complete copy of the petition was served to the applicant (Abbott) by certified or registered mail, as required by 21 CFR 60.30(d). Instead, it was sent by regular USPS Priority Mail Express, which does not meet the regulation’s requirement",
