File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
FDA-2020-P-0042-0003_Response_Letter_from_FDA_CDER_to_Emery_Pharma_on_b.pdf,"April 1, 2020",Center for Drug Evaluation and Research (CDER),Granted in part and denied in part,"21 U.S.C. 372(a), 21 U.S.C. 374(a), 21 U.S.C. 375(b), 21 U.S.C. 355(e), 21 U.S.C. 351(a)(2)(B), 21 U.S.C. 352(j), 21 U.S.C. 352(a)(1), 21 CFR 7.3(g), 21 CFR 7.40(a), 21 CFR 7.3(j), 21 CFR 314.150, 21 CFR 314.420, ICH M7(R1)","The FDA cited its own stability testing results, public health risks, scientific findings on NDMA levels increasing over time and at elevated temperatures, and ranitidine's inability to maintain stability through its expiration date as key justifications for its decisions. It emphasized public safety and regulatory compliance throughout its response."
FDA-2020-P-0102-0004_Interim_response_from_FDA_CDER_to_Linda_Valentine.pdf,"July 13, 2020",Center for Drug Evaluation and Research (CDER),Interim response – no decision made yet,21 CFR 10.30(e)(2),The FDA has not yet made a final decision on the petition due to the need to prioritize other agency matters. The petition requested that ANDA 202496 be designated as the reference standard for Ipratropium Bromide and Albuterol Sulfate Inhalation Solution because the reference listed drug DUONEB (NDA 020950) has been discontinued and no RS has been designated. FDA will respond when resources allow.
FDA-2020-P-0129-0003_Letter_from_FDA_CDER_to_Hyman__Phelps___McNamara__.pdf,"July 6, 2020",Center for Drug Evaluation and Research (CDER),Interim response – no decision made yet,21 CFR 10.30(e)(2),"The FDA has not yet resolved the petition due to other agency priorities. The petition requested that carbidopa and levodopa tablets approved under ANDA 074260 or another appropriate ANDA be designated as reference standards. The Agency stated it will respond when possible, citing numerous demands on its resources."
FDA-2020-P-0152-0002_Acknowledgment_Letter_from_FDA_DMS_to_Hyman__Phelp.pdf,"January 10, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledgment only – no decision made yet,"21 C.F.R. Part 15 (public hearing), Federal Food, Drug, and Cosmetic Act (FDC Act), Administrative Procedure Act (APA)",(1) revise its Safety Communication to allow gene-drug interaction information in genetic test reports; (2) allow medication-specific information in PGx test reports under the First Amendment and practice of medicine provisions without premarket submission; and (3) follow notice-and-comment rulemaking and hold a public hearing for future PGx policy development. The letter clarifies that acceptance for filing is procedural and does not reflect a decision on the petition’s merits.
FDA-2020-P-0158-0002_Acknowledgment_Letter_from_FDA_DMS_to_Sidley_Austi.pdf,"January 10, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledgment only – no decision made yet,Not Mentioned,"(1) issue guidance that the ANDA pathway is not appropriate for certain complex drugs already identified as harder-to-copy, and (2) clarify in planned guidance that a follow-on complex drug approved under 505(b)(2) can be deemed therapeutically equivalent to its RLD when it meets specific criteria. The letter notes that acceptance for filing is procedural and does not indicate a decision on the petition’s merits."
FDA-2020-P-0284-0003_Letter_from_FDA_CDER_to_Lachman_Consultants_Servic.pdf,"September 17, 2020",Center for Drug Evaluation and Research (CDER),Dismissed as moot,Not explicitly cited beyond general reference to the Orange Book (21 CFR 314.161 referenced indirectly),"The FDA updated the Orange Book to reflect the requested designations for nicardipine hydrochloride injection under NDA 022276. Since the requested actions were already completed by the FDA, the petitions were dismissed as moot."
FDA-2020-P-0368-0004_Final_Response_Letter_from_FDA_CDER_to_Crowell_Mor.pdf,"May 13, 2020",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 353a (Section 503A of the FD&C Act), 21 U.S.C. 351(a)(2)(B), 21 U.S.C. 352(f)(1), 21 U.S.C. 355, 5 U.S.C. 553 (APA), Regulatory Flexibility Act (RFA), Unfunded Mandates Reform Act (UMRA), Congressional Review Act (CRA), Paperwork Reduction Act (PRA), Executive Orders 12866 and 13132","The FDA denied the petition because the statutory implementation of Section 503A(b)(3)(B) of the FD&C Act does not require rulemaking. The definition of 'distribution' that includes 'dispensing' is consistent with Congressional intent and the prescription requirement in Section 503A. The MOU is a nonbinding agreement between FDA and states and does not impose legally binding obligations. FDA also noted that it has already provided ample opportunity for public comment, and the petition's proposed enforcement guidance was not adopted as existing guidance and statutory limitations already address these concerns."
FDA-2020-P-0421-0008_Response_Letter_from_FDA_CDER_to_Cooley_s_Anemia_F.pdf,"April 28, 2021",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355-1 (Section 505-1 of the FD&C Act), 21 CFR 201.57(c)(1), 21 U.S.C. 351(a)(2)(B), 21 U.S.C. 352(f)(1), 21 U.S.C. 355","The FDA denied the petition because it had previously determined that a REMS (Risk Evaluation and Mitigation Strategy) was not necessary for Ferriprox. The agency concluded that labeling alone was sufficient to mitigate risks associated with agranulocytosis. The petitioner presented no new safety data to suggest otherwise. The postmarketing registry data and adverse event monitoring did not reveal any new safety signals or justify a change in the benefit-risk assessment. Since a REMS is not required for Ferriprox, it is also not required for generic equivalents."
FDA-2020-P-0438-0005_Letter_from_FDA_CDER_to_Hyman__Phelps___McNamara__.pdf,"September 2, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not explicitly cited,"The FDA reviewed its records and concluded that Micro-K LS Packets (potassium chloride) extended-release liquid suspension, 20 mEq/packet, was not withdrawn from sale for safety or effectiveness reasons. Therefore, the drug will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-0511-0007_Response_letter_from_FDA_CDER_to_Novitium_Pharma_L.pdf,"September 23, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not explicitly cited,"The FDA reviewed its records and determined that Prexxartan (valsartan) oral solution, 20 mg/5 mL, was not withdrawn from sale for reasons related to safety or effectiveness. As a result, the product will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-0512-0002_Acknowledgment_Letter_from_FDA_DMS_to_Hyman__Phelp.pdf,"January 30, 2020","Dockets Management Staff (DMS), Office of Operations",Acknowledged (no decision made on the petition's merits),Not Mentioned,The letter acknowledges receipt of the petition requesting that Paclitaxel for Injectable Suspension in 50 mg/vial and 300 mg/vial lyophilized powder be deemed suitable for submission in an ANDA. It clarifies that acceptance of the petition is purely procedural and does not reflect any decision on the petition’s substantive merits.
FDA-2020-P-0513-0002_Acknowledgment_Letter_from_FDA_DMS_to_Foley_and_La.pdf,"January 30, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting that no ANDA for generic versions or pharmaceutical alternatives of ALINIA® be approved unless specific conditions are met. The letter clarifies that this acceptance is procedural only and does not indicate any decision regarding the substantive merits of the petition.
FDA-2020-P-0598-0002_Acknowledgment_Letter_from_FDA_DMS_to_Lachman_Cons.pdf,"February 4, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,"The FDA acknowledged receipt of a petition requesting designation of Prochlorperazine Maleate Tablets USP, 10 mg, as a Reference Standard (RS) or the identification of a suitable alternative RS for ANDA filing. The letter clarifies that acceptance of the petition is procedural and does not reflect any decision on the petition's substantive merits."
FDA-2020-P-0599-0004_Response_letter_from_FDA_CDER_to_Romark_Laboratori.pdf,"November 27, 2020",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355(j), 21 U.S.C. 355(j)(8)(B)(i), 21 U.S.C. 355(j)(8)(C), 21 CFR 314.3(b), 21 CFR 320.23(b), 21 CFR 320.24(a), 21 CFR 320.24(b), 21 CFR 320.25(a), 21 CFR 314.94(a), 21 CFR 314.127(a)(6)(i)","The FDA denied the petition on the basis that its existing product-specific guidances (PSGs) for nitazoxanide adequately assess bioequivalence (BE) for generic drugs. It justified not requiring BE testing of the secondary metabolite tizoxanide glucuronide because it is less sensitive to formulation differences and less active than the primary metabolite tizoxanide. For Q1/Q2 same products, FDA found no need for clinical endpoint studies, arguing that in vitro dissolution and PK studies are sufficient. Additionally, FDA rejected the need for separate clinical endpoint studies in both Giardia lamblia and Cryptosporidium parvum infections, asserting that results from one indication are sufficient due to similar sites of action and pathophysiology."
FDA-2020-P-0624-0007_Response_Letter_from_FDA_CDER_to_Medichem__S_A_.pdf,"September 12, 2023",Center for Drug Evaluation and Research (CDER),Approved,"21 U.S.C. 355(j)(2)(C), 21 CFR 314.93, 21 CFR 314.93(e)(1), 21 CFR 314.94(a)(3)(iii), 21 U.S.C. 355(j)(2)(A), 21 U.S.C. 355(j)(2)(B), 21 U.S.C. 355(j)(2)(A)(iv)","The FDA approved the petition because the proposed change in strength (from 200 mg and 400 mg to 800 mg) for Rufinamide Tablets does not raise concerns regarding safety or effectiveness. The proposed strength is consistent with the dosing recommendations of the reference listed drug, and if bioequivalence is demonstrated, it can be expected to have the same therapeutic effect. No significant labeling changes or additional investigations were deemed necessary to establish the safety and effectiveness of the new strength."
FDA-2020-P-0678-0005_Petition_Response_Letter_from_FDA_CDER_to_Freseniu.pdf,"June 24, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA reviewed its records and concluded that Dextrose 70% in Plastic Container (70 g/100 mL), along with 30%, 40%, and 60% concentrations under the same NDA, was not withdrawn from sale for reasons of safety or effectiveness. Therefore, these products will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-0698-0012_Acknowledgment_Letter_from_FDA_DMS_to_Physicians_C.pdf,"February 10, 2020",Dockets Management Staff (FDA/Office of Operations),Acknowledged receipt; no decision on merits,Not Mentioned,The FDA acknowledged receipt of a petition requesting that erectile dysfunction drug labels include a statement about artery disease as an underlying cause and the benefits of lifestyle changes. The letter clarifies that acceptance of the petition is procedural and does not reflect a decision on its substantive merits.
FDA-2020-P-0725-0011_Interim_Response_letter_from_FDA_CDRH_to_GBUK_Grou.pdf,"July 18, 2020",Center for Devices and Radiological Health (CDRH),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the petitions raised issues that require further review and analysis. As a result, the agency has not yet reached a final decision and will respond once the review is complete."
FDA-2020-P-0734-0020_Interim_Response_letter_from_FDA_CDRH_to_GBUK_Grou.pdf,"July 18, 2020",Center for Devices and Radiological Health (CDRH),Interim response; no decision made yet,21 CFR 10.30(e)(2),"The FDA issued an interim response because the petitions requested exemptions from instructions for use (IFU) requirements for certain medical devices, which raised issues requiring further review and analysis. Therefore, the agency has not yet made a final decision on the petitions."
FDA-2020-P-0745-0004_Approval_Letter_from_FDA_CDER_to_Fox_Rothschild_LL.pdf,"May 14, 2020",Center for Drug Evaluation and Research (CDER),Dismissed as moot,Not Mentioned,"The FDA dismissed the petition as moot because the requested action—designating Ketorolac Tromethamine Tablets, 10 mg (ANDA 074754), held by Teva Pharmaceuticals USA Inc., as a reference standard in the Orange Book—had already been completed by the time of the response. The Orange Book had been updated to reflect the designation, fulfilling the petition's request."
FDA-2020-P-0763-0005_Response_Letter_from_FDA_CDER_to_Clark_Anderson.pdf,"July 19, 2021",Center for Drug Evaluation and Research (CDER),Denied,"21 U.S.C. 355(a), 21 U.S.C. 355(b)(1), 21 U.S.C. 355(d), 21 U.S.C. 355(e), 21 U.S.C. 355-1, 21 CFR 314.50, 21 CFR 314.105, 21 CFR 314.126, 21 CFR 314.150","The FDA denied the petition to revoke approval of Jynarque (tolvaptan) for ADPKD. The agency concluded that the drug was approved based on substantial evidence from two adequate and well-controlled clinical trials (TEMPO and REPRISE), which showed statistically significant slowing of kidney function decline. Despite concerns about safety, particularly hepatotoxicity, a Risk Evaluation and Mitigation Strategy (REMS) program was implemented to manage those risks. FDA also found no new evidence warranting withdrawal of approval and affirmed that patients should make informed decisions in consultation with certified healthcare providers under the REMS program."
FDA-2020-P-0813-0005_Agency_Response_Letter_from_FDA_CDER_to_Unichem_Ph.pdf,"June 24, 2020",Center for Drug Evaluation and Research (CDER),Determined that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"The FDA reviewed its records and determined that TENEX (guanfacine hydrochloride) tablets, 1 mg, 2 mg, and 3 mg, were not withdrawn from sale for reasons related to safety or effectiveness. As a result, these products will remain listed in the 'Discontinued Drug Product List' section of the Orange Book."
FDA-2020-P-0863-0551_Request_for_Extension_from_FDA_CFSAN_to_Sevo_Nutra.pdf,"September 27, 2024",Center for Food Safety and Applied Nutrition (CFSAN),Request for 1-year extension; no final decision yet,Not Mentioned,"The FDA requested a 1-year extension to complete its review of a qualified health claim petition concerning the nutraceutical formulation Perceptiv and its potential to reduce the risk of Alzheimer’s Disease and cognitive decline. The delay was attributed to limited resources and prioritization of the Biden-Harris Administration’s National Strategy on Hunger, Nutrition, and Health."
FDA-2020-P-0893-0011_Final_Response_to_Citizen_Petition_from_FDA_CDRH_t.pdf,"August 30, 2021",Center for Devices and Radiological Health (CDRH),Denied,"21 CFR 882.5800(b), 21 CFR 860.7(c)(2), 21 CFR 10.30(e), FD&C Act Section 513(d), FD&C Act Section 515(b), FD&C Act Section 520(e), FDASIA, Final Order (84 FR 70003), 81 FR 37515","The FDA denied the petition to withdraw the Final Order on Cranial Electrotherapy Stimulator (CES) devices and to reconvene a new Neurological Devices Panel. The agency concluded that the exclusion of transcranial direct current stimulation (tDCS) devices from the 2012 Panel was appropriate because tDCS devices had not been cleared by FDA at that time. Furthermore, the FDA determined that the special controls and classification decisions in the Final Order were supported by valid scientific evidence and consistent with administrative procedures. The agency also found that clinical performance testing requirements for CES devices intended to treat anxiety and/or insomnia were appropriate and consistent with least burdensome principles."
