File Name,Date of Response,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,
FDA-2024-P-0105-0007_Response_Letter_from_FDA_CDER_to_Graviti_Pharmaceu.pdf,"April 5, 2024",Center for Drug Evaluation and Research (CDER),Denied (Glucotrol Tablets 5 mg and 10 mg were not withdrawn for safety or effectiveness reasons),Not Mentioned,"FDA reviewed its records and concluded that the drug products in question were not withdrawn from sale due to safety or effectiveness concerns; therefore, they will remain listed in the 'Discontinued Drug Product List' of the Orange Book",
FDA-2024-P-0109-0019_Interim_Response_Letter_from_FDA_CDER_to_Bausch_Lo.pdf,"June 24, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 C.F.R. § 10.30(e)(2),The FDA has not reached a decision on the petition due to the need to address other Agency priorities and resource constraints; the Agency will respond as soon as possible,
FDA-2024-P-0227-0004_Final_Response_Letter_from_FDA_CDER_to_Zydus_Pharm.pdf,"May 21, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 C.F.R. § 314.93; 21 C.F.R. § 314.94(a)(3)(iii),"FDA determined that the proposed change in strength does not pose questions of safety or effectiveness, aligns with the listed drug’s labeling recommendations, and does not require new investigations; if bioequivalence is demonstrated, the proposed product can be expected to have the same therapeutic effect",
FDA-2024-P-0279-0007_Final_Response_Letter_from_FDA_CDRH_to_Hyman__Phel.pdf,"May 31, 2024",Center for Devices and Radiological Health (CDRH),Denied,21 C.F.R. § 10.33; 21 C.F.R. § 10.35; 21 C.F.R. Part 16; Section 510(k) of the FD&C Act; 21 C.F.R. Part 807 Subpart E,The FDA found that the 510(k) clearance for Nautilus Nitrile Exam Gloves was based on invalid and duplicated biocompatibility data nearly identical to another unrelated submission; the justification offered by Nautilus (clerical error) was deemed implausible due to extensive evidence of duplication and manipulation; the agency concluded there was no genuine and substantial issue of fact and that allowing a stay or amendment would not serve public health or justice,
FDA-2024-P-0422-0011_Final_Response_Letter_from_FDA_CDER_to_Method_Phar.pdf,"August 27, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505B of the FD&C Act (PREA),"The proposed changes in strength and dosage form do not raise safety or effectiveness concerns, are consistent with labeled dosing recommendations, and would not require significant labeling changes; FDA also determined that although PREA applies, no pediatric studies are needed because the drug is already fully labeled for all pediatric age groups",
FDA-2024-P-0425-0008_Final_Response_Letter_from_FDA_CDER_to_RegCon_Solu.pdf,"August 27, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A) of the FD&C Act,"The proposed change from lyophilized powder to ready-to-use solution dosage form triggered Pediatric Research Equity Act (PREA) requirements; FDA determined that clinical trials are required for pediatric patients aged 12 to <17, and denied the waiver request for this age group; since such trials are needed, the petition is not eligible for approval under the ANDA pathway",
FDA-2024-P-0427-0007_Final_Response_Letter_from_FDA_CDER_to_DDReg_Pharm.pdf,"July 31, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i) and (iv); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A) of the FD&C Act,"The proposed changes in dosage form (to pessary), strength (400 mg vs. 90 mg), and indication/dosing regimen raise safety and effectiveness concerns and may require significant labeling changes; additionally, FDA determined that these are not permissible changes under the suitability petition pathway; therefore, the petition does not meet the statutory or regulatory requirements for approval",
FDA-2024-P-0435-0004_Final_Response_Letter_from_FDA_CDER_to_Zydus_Pharm.pdf,"May 20, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93(e)(1)(v); 21 CFR 10.33; 21 CFR 10.20,"FDA denied the petition because the reference listed drug (Nuplazid 17 mg) has been voluntarily withdrawn from sale and the Agency has not yet determined whether the withdrawal was for safety or effectiveness reasons; therefore, the petition cannot be approved under 21 CFR 314.93(e)(1)(v)",
FDA-2024-P-0521-0005_Interim_Response_Letter_from_FDA_CDER_to_Kasowitz_.pdf,"July 15, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),"The petition raises complex issues requiring extensive review and analysis; therefore, the FDA has not reached a decision and will respond once the review is complete",
FDA-2024-P-0522-0004_Interim_Response_Letter_from_FDA_CDER_to_Kasowitz_.pdf,"July 15, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),The FDA has not yet resolved the petition because it raises complex issues requiring extensive review and analysis by agency officials; a final response will be provided once a decision has been made,
FDA-2024-P-0526-0010_Response_Letter_from_FDA_CDER_to_Lupin_Inc_.pdf,"July 24, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A),"The proposed change from tablet to oral suspension dosage form triggered PREA requirements; FDA determined that clinical trials are required for pediatric patients due to the potential therapeutic benefit in treating DVT and PE; the request for a waiver of pediatric studies was denied, making the petition ineligible for approval under the ANDA pathway",
FDA-2024-P-0545-0007_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"July 8, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i); 21 CFR 314.93(e)(1)(iv); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A),"The proposed oral solution dosage form and 2 mg/mL strength differ from the reference listed drug’s labeling and pose questions of safety and effectiveness, requiring investigations and significant labeling changes; the proposed dosing regimen (12 mg/day) also deviates from the RLD’s (15 mg/day), increasing the risk of medication errors; therefore, the petition does not meet the statutory and regulatory criteria for approval",
FDA-2024-P-0666-0002_Acknowledgement_Letter_from_FDA_DMS_to_Royal_Diamo.pdf,"February 6, 2024","Dockets Management Staff (DMS), Office of Operations",Other – Acknowledgement of receipt; no decision issued on the petition’s substance,21 CFR 10.75,The letter acknowledges receipt and filing of the petition and clarifies that this is a procedural action only; it does not reflect any decision on the merits of the petition,
FDA-2024-P-0667-0013_Final_Approval_Letter_from_FDA_CDER_to_Lachman_Con.pdf,"June 4, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv); 21 CFR 314.94(a)(3)(iii),"The proposed change in strength (3 g/100 mL) does not raise safety or effectiveness concerns, aligns with the listed drug’s labeling, and does not require new investigations; FDA concluded that the change would not jeopardize safe or effective use nor necessitate significant labeling changes",
FDA-2024-P-0761-0005_Final_Response_Letter_from_FDA_CDER_to_Pharmobedie.pdf,"October 18, 2024",Center for Drug Evaluation and Research (CDER),Approved – Determination made that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"FDA determined that TAVIST (clemastine fumarate) tablet, 2.68 mg, was not withdrawn from sale for reasons of safety or effectiveness; therefore, it will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-0805-0004_Response_Letter_from_FDA_CDER_to_Hyman__Phelps___M.pdf,"August 28, 2024",Center for Drug Evaluation and Research (CDER),Approved – Determination made that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"FDA determined that Fentanyl Citrate Injection (EQ 2.5 mg base/50 mL and EQ 5 mg base/100 mL) was not withdrawn from sale for reasons of safety or effectiveness; therefore, the products will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-0806-2474_Interim_Response_from_FDA_CFSAN_to_Center_for_Scie.pdf,"August 9, 2024",Center for Food Safety and Applied Nutrition (CFSAN),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),"The FDA was unable to reach a decision within 180 days of receiving the petition, which requests clarification on the applicability of menu labeling regulations to third-party platforms; review is ongoing",
FDA-2024-P-0827-0005_Final_Response_Letter_from_FDA_CDER_to_Aurobindo_P.pdf,"March 15, 2024",Center for Drug Evaluation and Research (CDER),Approved – Determination made that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"FDA determined that Duexis (ibuprofen and famotidine) tablet, 800 mg and 26.6 mg, was not withdrawn from sale for reasons of safety or effectiveness; therefore, it will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-0889-0004_Final_Response_Letter_from_FDA_CVM_to_Aurora_Pharm.pdf,"May 2, 2024",Center for Veterinary Medicine (CVM),Approved,Section 512(n)(3) of the FD&C Act; 21 CFR 514.5,"The proposed change from chewable to oral solution dosage form for afoxolaner does not require new investigations to demonstrate safety or effectiveness; thus, it qualifies under a suitability petition and is approved accordingly",
FDA-2024-P-0973-0003_Interim_Response_Letter_from_FDA_CDER_to_Robin_Web.pdf,"August 15, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not resolved the petition due to prioritization of other agency matters; the Agency will respond once review is complete,
FDA-2024-P-1058-0003_Interim_Response_Letter_from_FDA_CDER_to_Aimed_All.pdf,"August 28, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2); 21 CFR 10.115,The petition raises complex issues requiring extensive review and analysis by Agency officials; FDA will respond once a final decision has been reached,
FDA-2024-P-1130-0004_Interim_Response_Letter_from_FDA_CDER_to_Valisure_.pdf,"August 28, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2); 21 U.S.C. § 372(a); 21 U.S.C. § 374(a); 21 U.S.C. § 375(b),"The petition raises complex issues regarding benzene contamination in benzoyl peroxide products, requiring extensive review and analysis by FDA officials; a final decision will be issued once review is complete",
FDA-2024-P-1131-0005_Response_Letter_from_FDA_CDER_to_Fresenius_Kabi_US.pdf,"August 27, 2024",Center for Drug Evaluation and Research (CDER),Approved – Determination made that the drug was not withdrawn for safety or effectiveness reasons,Not Mentioned,"FDA reviewed its records and concluded that Diltiazem Hydrochloride in Dextrose 5% solution (125 mg/125 mL and 250 mg/250 mL, both 1 mg/mL) was not withdrawn from sale for safety or effectiveness reasons; therefore, the drug will remain listed in the 'Discontinued Drug Product List' section of the Orange Book",
FDA-2024-P-1378-0003_Interim_Response_Letter_from_FDA_CDER_to_Organon_U.pdf,"August 14, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),"The petition raises complex issues concerning ANDA standards and guidance revisions for NEXPLANON (etonogestrel implant), requiring extensive review and analysis; FDA will respond once a decision has been reached",
FDA-2024-P-1379-0020_180_Day_Interim_Response_from_FDA_CFSAN_to_Physici.pdf,"September 16, 2024",Center for Food Safety and Applied Nutrition (CFSAN),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not been able to reach a decision on the petition within 180 days due to other agency priorities and limited resource availability; a decision will be issued upon completion of the review,
FDA-2024-P-1380-0003_Final_Response_Letter_from_FDA_CVM_to_Kohl_Harring.pdf,"August 29, 2024",Center for Veterinary Medicine (CVM),Denied,5 U.S.C. § 552(a)(2)(D); 29 U.S.C. § 794d(a) (Section 508 of the Rehabilitation Act of 1973),"CVM stated that it complies with FOIA posting requirements when the conditions under 5 U.S.C. § 552(a)(2)(D) are met, and records will be posted once they are converted into a Section 508-compliant format to ensure accessibility for individuals with disabilities; thus, the petition was denied",
FDA-2024-P-1403-0008_Response_Letter_from_FDA_CDER_to_Pharmobedient_Con.pdf,"September 30, 2024",Center for Drug Evaluation and Research (CDER),Denied,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.93(e)(1)(i); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A); 21 CFR 10.33; 21 CFR 10.20,"FDA denied the petition because the proposed change in dosage form (from capsules to orally disintegrating tablets) triggers pediatric study requirements under PREA; the proposed products may offer meaningful therapeutic benefits in pediatric patients, especially those under 50 kg, but the current labeling does not support pediatric use for this group; since the request for a waiver was denied and clinical trials are required, the petition cannot proceed under the ANDA pathway",
FDA-2024-P-1440-0003_Interim_Response_Letter_from_FDA_CDER_to_pH_D_Femi.pdf,"September 17, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not yet resolved the petition due to the need to address other Agency priorities; the Agency will respond as soon as possible,
FDA-2024-P-1441-0013_Final_Response_Letter_from_FDA_CDER_to_Epic_Pharma.pdf,"February 13, 2025",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed changes in strength and dosage form (to 200 mg/20 mL and 350 mg/35 mL, both 10 mg/mL) do not pose questions of safety or effectiveness; the uses and route of administration are the same as the listed drug, and the proposed changes align with labeling recommendations; bioequivalence must be demonstrated, but no new investigations are required",
FDA-2024-P-1483-0007_Final_Response_Letter_from_FDA_CDER_to_Hyman__Phel.pdf,"August 1, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed change in strength (total drug content) from the listed drug product does not raise questions of safety or effectiveness; the uses, dose, dosage form, and route of administration remain the same; the proposed change aligns with labeling recommendations, and no new investigations are needed if bioequivalence is demonstrated",
FDA-2024-P-1570-0004_180_Day_Response_Letter_from_FDA_CFSAN_to_Bongards.pdf,"September 19, 2024",Center for Food Safety and Applied Nutrition (CFSAN),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not reached a decision on the petition due to other agency priorities and limited availability of resources; the agency will notify the petitioner once the review is complete,
FDA-2024-P-1715-0004_Interim_Response_Letter_from_FDA_CDER_to_AbbVie_In.pdf,"September 19, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not resolved the petition due to the need to address other Agency priorities; the Agency will respond as soon as possible,
FDA-2024-P-1716-0005_Response_Letter_from_FDA_CVM_to_Aurora_Pharmaceuti.pdf,"June 27, 2024",Center for Veterinary Medicine (CVM),Denied,Section 512(n)(3) and 512(n)(3)(C) of the FD&C Act; 21 CFR Part 10; 21 CFR 10.33(e); 21 CFR 10.25(a),"The petition proposed a meloxicam oral solution with a 10-fold increase in strength (5 mg/mL vs. 0.5 mg/mL in the RLNAD), raising concerns about potential user error and safety due to the similarity in appearance of the two concentrations and incorrect dosage delivery; these concerns would require additional investigations to demonstrate safety, making the petition ineligible under the suitability provision",
FDA-2024-P-1717-0003_Final_Response_Letter_from_FDA_CVM_to_Kohl_Harring.pdf,"October 3, 2024",Center for Veterinary Medicine (CVM),Denied,5 U.S.C. § 552(a)(2)(D); 29 U.S.C. § 794d(a) (Section 508 of the Rehabilitation Act of 1973),"CVM explained that it complies with FOIA posting requirements when the threshold for frequent requests is met and the records have been released; however, records must be converted to Section 508-compliant formats to ensure accessibility for individuals with disabilities before posting; based on this policy, the petition was denied",
FDA-2024-P-1788-0008_Response_Letter_from_FDA_CDER_to_Pharmobedient_Con.pdf,"July 25, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed strength change (from 4 mg to 2 mg) does not raise safety or effectiveness concerns, aligns with dosing recommendations in the labeling of the listed drug, and would not require significant labeling changes or additional investigations if bioequivalence is demonstrated; therefore, the petition is approved",
FDA-2024-P-1810-0008_Final_Response_Letter_from_FDA_CDER_to_Pharmobedie.pdf,"August 23, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed change in strength (from 50 mg/vial to 100 mg/vial) does not pose questions of safety or effectiveness; the uses, dose, dosage form, and route of administration are the same as the listed drug; the proposed strength is consistent with dosing recommendations; if bioequivalence is shown, the new strength is expected to have the same therapeutic effect without requiring significant labeling changes or new investigations",
FDA-2024-P-1870-0007_Final_Response_Letter_from_FDA_CDER_to_Newcastle_B.pdf,"October 15, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505B of the FD&C Act (PREA); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed change in strength and dosage form (to orally disintegrating tablets of 5 mg, 10 mg, 15 mg, and 20 mg) does not raise questions of safety or effectiveness, aligns with labeling of the reference listed drug, and does not require new investigations; the product is also appropriately labeled for pediatric patients 7 years and older, and pediatric studies for those under 7 are impracticable, thus a waiver is granted",
FDA-2024-P-1871-0007_Interim_Response_Letter_from_FDA_CDER_to_Advanced_.pdf,"October 7, 2024",Center for Drug Evaluation and Research (CDER),Interim response – FDA has not yet made a final decision on the petition,21 CFR 10.30(e)(2),FDA has not resolved the issues raised in the petition due to the need to address other Agency priorities; the Agency will respond as soon as possible,
FDA-2024-P-1913-0006_Final_Response_Letter_from_FDA_CDER_to_Fast_Track_.pdf,"August 20, 2024",Center for Drug Evaluation and Research (CDER),Approved,Section 505(j)(2)(C) of the FD&C Act; 21 CFR 314.93; 21 CFR 314.94(a)(3)(iii); Section 505(j)(2)(A) and (B); Section 505(j)(2)(A)(iv),"FDA determined that the proposed change in strength (to 50 mg/5 mL, 10 mg/mL) does not raise questions of safety or effectiveness; the uses, dose, dosage form, and route of administration remain the same as the listed drug; the proposed strength is consistent with labeling recommendations and, if bioequivalence is demonstrated, no significant labeling changes or new investigations are required",
