File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Status of Review,Review Comments
FDA-2017-P-0052-0001_Citizen_Petition_from_Donor_Sibling_Registry.pdf,1/1/2017,,"Donor Sibling Registry
",Not mentioned.,"- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.30 (categorical environmental exemption claimed)","Lack of regulation and oversight in the sperm donation/cryobank industry. Specifically, minimal FDA-mandated medical testing for sperm and egg donors and the broader absence of national regulatory oversight.","The petitioner asks the FDA Commissioner to investigate the current state of the sperm donation industry and develop appropriate regulations and oversight mechanisms. Key regulatory proposals include:
• Standardized and expanded pre-conception testing
• Mandated full genome sequencing
• Required medical, genetic, and social updates
• Electronic health record-keeping
• Ban on anonymous donation
• Centralized databank tracking donors, recipients, and births","The petition outlines that the U.S. cryobank industry is a multibillion-dollar, largely unregulated sector, leading to:
• Inconsistent medical/genetic screening standards
• Insufficient communication of critical health data
• Donor fraud and identity falsification
• Psychological and health risks to donor-conceived children
• Inadequate recordkeeping, enabling excessive offspring numbers per donor and risk of consanguinity.
They reference case studies, lawsuits (e.g., Collins v. Xytex), surveys, and failures in current practices as rationale for regulatory reform",FALSE,
FDA-2017-P-0115-0001_Citizen_Petition_from_Jubilant_Generics_Limited.pdf,12/22/2016,,Jubilant Generics Limited,Not mentioned.,"- Section 505(j)(2)(C) of the FD&C Act [21 U.S.C. § 355(j)(2)(C)]
- 21 C.F.R. §§ 10.20, 10.30, and 314.93 (citizen petition and ANDA suitability provisions)
- 21 C.F.R. § 25.31 (environmental impact categorical exclusion)","FDA’s requirement to approve an ANDA petition when a proposed drug differs in strength (fill volume) from the reference listed drug (RLD). The petition seeks determination that proposed changes in Levetiracetam injection volume are suitable for ANDA submission
","FDA is requested to determine that Levetiracetam Injection at 1000 mg/10 mL and 1500 mg/15 mL (100 mg/mL) is suitable for ANDA submission, based on the RLD Keppra® Injection 500 mg/5 mL (NDA #021872)
","- The proposed product matches the RLD in concentration (100 mg/mL) but provides larger fill volumes to reduce the need for combining multiple vials for higher doses.
- Current practice involves multiple vial withdrawals (e.g., 2 or 3 vials for 1000 or 1500 mg), which is cumbersome, time-consuming, and poses risks of dosing error and sterility breach in emergency settings
.
- No change in route of administration, indications, or labeling content aside from strength specification.
- Proposed dosage strengths are consistent with labeled dosing ranges and usage patterns for the RLD
.
- The petitioner claims a categorical exclusion from environmental assessment under 21 C.F.R. § 25.31",FALSE,
FDA-2017-P-0137-0001_Citizen_Petition_from_Macleods_Pharmaceuticals_Lim.pdf,1/9/2017,,Macleods Pharmaceuticals Limited,Not mentioned.,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, 314.93 (citizen petition and ANDA suitability petition provisions)
- 21 C.F.R. § 25.31(a) and 25.15(d) (categorical exclusion from environmental assessment)","The petition comments on the absence of a currently available Reference Listed Drug (RLD) for Pyrazinamide Tablets 500 mg, and requests designation of an alternative RLD to support ANDA filing","Macleods requests FDA to designate the approved generic product ANDA #A081319 (Pyrazinamide Tablets 500 mg by Akorn Inc.) as the RLD, due to the unavailability of the existing RLD (ANDA #A080157 by Dava Pharmaceuticals)
","- The current RLD (Pyrazinamide 500 mg by Dava) is not available in the U.S. market, even though not marked as discontinued in the Orange Book.
- Akorn’s product (ANDA #A081319) is the only approved and marketed generic for this dosage form and strength, and is the market leader.
- According to FDA’s policy outlined in the 1992 ANDA regulations, the market leader may be designated as RLD when the original is unavailable.
- Petition includes IMS market data and Orange Book listings as supporting evidence",FALSE,
FDA-2017-P-0137-0006_Withdrawal_of_Citizen_Petition__from_Macleods_Phar.pdf,8/21/2018,,Macleods Pharmaceuticals Limited,Not mentioned.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","Not mentioned. The withdrawal is made without providing any rationale or explanation for the retraction of the original petition .
",FALSE,
FDA-2017-P-0176-0001_Citizen_Petition_from_American_Herbal_Products_Ass.pdf,1/9/2017,,"Kleinfeld, Kaplan and Becker, LLP
","Representing American Herbal Products Association (AHPA).
","- 21 C.F.R. § 10.30 (Citizen Petition procedures)
- 21 C.F.R. § 101.4(h) (Labeling of dietary supplements)
- 68 Fed. Reg. 51738 (August 28, 2003) – Proposed amendment to 21 C.F.R. § 101.4(h)
- 21 C.F.R. § 25.30 (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact statement provisions)","The FDA’s proposed amendment to 21 C.F.R. § 101.4(h), specifically the 2003 proposal to replace the incorporated references (1992 edition of Herbs of Commerce and 1994 edition of International Code of Botanical Nomenclature) with their 2000 editions.","AHPA requests that FDA:
1. Withdraw the proposed rule published at 68 Fed. Reg. 51738.
2. Issue an Advance Notice of Proposed Rulemaking (ANPRM) to revise 21 C.F.R. § 101.4(h), suggesting that botanical names on supplement labels be consistent with the Herbs of Commerce, 2nd edition (2000), or other appropriate authoritative references","- The current reference (Herbs of Commerce, 1st ed., 1992) is outdated.
- The 2nd edition (2000) includes standardized common names for ~1,500 more botanicals and updates ~140 names from the 1st edition.
- Plant taxonomy evolves, and new references reflect more accurate nomenclature.
- There is a need for clarity and consistency in naming botanical dietary ingredients to reflect modern commerce and ensure regulatory compliance",FALSE,
FDA-2017-P-0290-0001_Citizen_Petition_from_Malaysian_Rubber_Export_Prom.pdf,1/17/2017,,Malaysian Rubber Export Promotion Council (MREPC),Not mentioned.,"- FDA Docket No. FDA-2015-N-5017 (Final Rule)
- 21 C.F.R. Parts 878, 880 & 895 (relating to medical devices and banned devices regulations)","The FDA’s Final Rule banning powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating gloves, effective January 18, 2017.
","MREPC requests a two-month extension of the Final Rule's effective date (from January 18, 2017, to March 18, 2017) to allow:
(i) re-routing or removal of affected glove shipments already en route to U.S. ports, or
(ii) re-labeling and re-packing for non-medical markets","- The short notice between the Final Rule announcement and effective date caused hardship to Malaysian glove manufacturers/exporters with shipments already en route.
- FDA-cited studies were primarily based on older powdered gloves; recent studies are limited and based on non-U.S. gloves.
- FDA-regulated powdered glove limits (≤10 mg/dm²) are believed to pose minimal health risks.
- Malaysia respects the ban but seeks pragmatic enforcement to prevent economic losses from rejected shipments and disrupted hospital contracts",FALSE,
FDA-2017-P-0398-0001_Citizen_Petition_from_Florek___Endres_PLLC.pdf,1/18/2017,,"Florek & Endres PLLC
",Representing an unnamed client.,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, and 314.93 (petition procedures and ANDA suitability petitions)
- 21 C.F.R. § 25.31 (categorical exclusion from environmental assessment)
- 21 C.F.R. § 10.30(b) (economic impact information on request)","The petition addresses the FDA’s determination on whether a new strength (24 mg) of Hydromorphone HCl extended-release tablets is suitable for submission under an ANDA, referencing the approved reference listed drug (RLD) EXALGO®","The petitioner requests that the FDA declare the 24 mg strength of Hydromorphone HCl extended-release tablets suitable for ANDA submission, citing the EXALGO® product line as reference","- The 24 mg strength would fill a dosing gap between existing 16 mg and 32 mg EXALGO® strengths, reducing the need to combine tablets and mitigating risks of dosage errors.
- The dosage is consistent with EXALGO®'s labeled titration recommendations and would aid safer opioid conversion and titration.
- The proposed strength exhibits similar dissolution and pharmacokinetic properties to the RLD.
- The dosage is expected to be used and prescribed safely, with potentially lower abuse liability than the 32 mg strength.
- It does not raise questions of safety or effectiveness since the formulation and route of administration remain consistent with the RLD",FALSE,
FDA-2017-P-0398-0005_Withdrawal_from_Florek_and_Endres_PLLC.pdf,10/25/2017,,"Florek & Endres PLLC
",Representing an unnamed client.,Not applicable.,Not applicable.,"Withdrawal of the previously submitted citizen petition.

","Not mentioned. The letter only requests withdrawal “without prejudice” and provides no further rationale
",FALSE,
FDA-2017-P-0428-0001_Citizen_Petition_From_Mucodel_Pharma_LLC.pdf,1/20/2017,,"Mucodel Pharma LLC
",Not mentioned.,"- Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30 (Citizen petition procedures)
- Section 505(q) of the FD&C Act (mentioned in context of delaying approval pending petition resolution)
- 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34 (Environmental impact exclusions)
- 21 C.F.R. § 25.40 (Environmental assessment provision)","The FDA’s approval process for intranasal (IN) naloxone drug applications (NDA or ANDA) for emergency treatment of opioid overdose, particularly questioning whether such products are reliable in real-world field use compared to intramuscular (IM) naloxone","The petitioner requests the FDA to refrain from approving any intranasal naloxone applications (NDA or ANDA) until it considers the reliability of intranasal delivery in actual field use, especially in comparison with IM delivery
","- The pivotal clinical studies for the IN reference listed drug (Narcan®) excluded patients with nasal issues, casting doubt on real-world effectiveness.
- Field studies and literature indicate efficacy disparity between IN and IM naloxone, especially in patients with nasal trauma, congestion, or a history of drug insufflation (e.g., cocaine, heroin).
- Concerns exist about absorption reliability due to nasal pathologies, vasoconstrictors like oxymetazoline, and anatomical damage from substance use.
- The IN RLD labeling lacks adequate guidance on patient suitability or reliability issues.
- The drug is often administered by non-medically trained individuals, making predictable and reliable delivery critical to avoid fatal consequences during opioid overdose emergencies",FALSE,
FDA-2017-P-0494-0001_Citizen_Petition_From_Navinta_LLC.pdf,1/24/2017,"Letterhead dated January 24, but stamp reflects January 25.","Navinta LLC
",Not mentioned.,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 314.93 (ANDA Suitability Petitions)
- 21 C.F.R. § 10.20 and § 10.30 (Citizen Petition requirements)
- 21 C.F.R. § 25.31(a) (Environmental Impact Exclusion)
- Pediatric Research Equity Act (FD&C Act Section 505(B)(b))","FDA’s policy and precedent regarding ANDA Suitability Petitions, especially related to changes in total drug content and vial size for injectable drug products.
","FDA should determine that the proposed Sodium Phenylacetate and Sodium Benzoate Injection, 10%/10%, 20 mL vial is suitable for submission under Navinta’s existing ANDA (#205880), despite differing in total fill volume (from the approved 50 mL vial).
","- The new 20 mL vial maintains the same drug concentration (10% Sodium Phenylacetate and 10% Sodium Benzoate) and formulation as the approved 50 mL version.
- Intended for pediatric use, where the full 50 mL vial leads to significant waste and higher costs.
- Request was also based on feedback from hospital pharmacies and aligns with prior FDA-approved suitability petitions for changes in package sizes.
- The change raises no safety or efficacy concerns, and supports cost reduction, waste minimization, and single-use compliance in clinical practice",FALSE,
