File ID,Petition File Name,Date of Petition,Was_Withdrawn,Document Type,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response
fda-2017-p-3196,FDA-2017-P-3196-0001_Citizen_Petition_from_Philip_Spiller_et__al_.pdf,5/18/2017,False,original petition,"Individual citizen petition submitted jointly by: Philip Spiller (former Director, FDA Office of Seafood) Michael J. Bolger, Ph.D. Clark Carrington, Ph.D. George Hoskin, Ph.D. Timothy Hansen, Ph.D. Michael A. Landa, J.D. Terry C. Troxell, Ph.D. Tom Brenna, Ph.D. Michael A. Crawford, Ph.D. Jean Golding, Ph.D. Caroline M. Taylor, Ph.D. Mary C. Harris, Ph.D. Joyce A. Nettleton, D.Sc. W. Steven Otwell, Ph.D. Richard A. Williams, Ph.D.",individual,"• 21 C.F.R. § 10.20 & § 10.30 (FDA citizen‑petition provisions)
• Federal Food, Drug, & Cosmetic Act, 21 U.S.C. § 301 et seq.
• 21 C.F.R. § 25.30 (categorical‑exclusion claim for environmental assessment)","The fish‑consumption advice jointly issued by FDA & EPA on 18 Jan 2017, titled “Eating Fish: What Pregnant Women and Parents Should Know.”	","1. Withdraw the 18 Jan 2017 advice immediately.
2. Issue new advice that: • explicitly pursues the core purpose of maximising fetal neuro‑developmental benefits while minimising methyl‑mercury risk; • includes a clearly tested optimum weekly intake amount; • is consumer‑tested through experimental studies before release.","The petitioners argue that the current advice is scientifically and communicatively flawed because it:
• Ignores the large gap between what pregnant women eat and the optimum intake needed for neuro‑developmental gains.
• Fails to mention or explain optimum consumption, uses risk‑only categories (“Best/Good/Choices to Avoid”) not grounded in actual risk‑benefit science, and over‑emphasises mercury “warnings,” likely discouraging fish intake.
• Was never consumer‑tested, contrary to FDA’s own risk‑communication guidance, so its effectiveness is unknown.",FDA-2017-P-3196-0071_Response_Letter_from_CFSAN_to_Philip_Spiller__et__.pdf,10/13/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Denied,"- 21 CFR § 10.30(e)(3) – Governing denial of citizen petitions
- 21 CFR § 10.30(b)(3) – Requirements for the content of citizen petitions
- 21 CFR § 20 – Freedom of Information Act (FOIA) regulations","- The 2017 seafood advisory was developed through a rigorous process with stakeholder input, peer review, and is consistent with the latest scientific evidence and public health policy.
- FDA concluded that the advisory appropriately balanced benefits of fish consumption with methylmercury risks.
- Petitioners failed to demonstrate that withdrawal of the 2017 advisory or issuance of new advice would improve public health outcomes.
- FDA found no obligation to conduct the requested experimental studies and defended the scientific basis for the categorization of fish as “Best Choices” or “Good Choices.”
- The FDA stated that the petition did not meet the regulatory standard to warrant administrative action under 21 CFR § 10.30."
fda-2017-p-3196,FDA-2017-P-3196-0001_Citizen_Petition_from_Philip_Spiller_et__al_.pdf,5/18/2017,False,original petition,"Individual citizen petition submitted jointly by: Philip Spiller (former Director, FDA Office of Seafood) Michael J. Bolger, Ph.D. Clark Carrington, Ph.D. George Hoskin, Ph.D. Timothy Hansen, Ph.D. Michael A. Landa, J.D. Terry C. Troxell, Ph.D. Tom Brenna, Ph.D. Michael A. Crawford, Ph.D. Jean Golding, Ph.D. Caroline M. Taylor, Ph.D. Mary C. Harris, Ph.D. Joyce A. Nettleton, D.Sc. W. Steven Otwell, Ph.D. Richard A. Williams, Ph.D.",individual,"• 21 C.F.R. § 10.20 & § 10.30 (FDA citizen‑petition provisions)
• Federal Food, Drug, & Cosmetic Act, 21 U.S.C. § 301 et seq.
• 21 C.F.R. § 25.30 (categorical‑exclusion claim for environmental assessment)","The fish‑consumption advice jointly issued by FDA & EPA on 18 Jan 2017, titled “Eating Fish: What Pregnant Women and Parents Should Know.”	","1. Withdraw the 18 Jan 2017 advice immediately.
2. Issue new advice that: • explicitly pursues the core purpose of maximising fetal neuro‑developmental benefits while minimising methyl‑mercury risk; • includes a clearly tested optimum weekly intake amount; • is consumer‑tested through experimental studies before release.","The petitioners argue that the current advice is scientifically and communicatively flawed because it:
• Ignores the large gap between what pregnant women eat and the optimum intake needed for neuro‑developmental gains.
• Fails to mention or explain optimum consumption, uses risk‑only categories (“Best/Good/Choices to Avoid”) not grounded in actual risk‑benefit science, and over‑emphasises mercury “warnings,” likely discouraging fish intake.
• Was never consumer‑tested, contrary to FDA’s own risk‑communication guidance, so its effectiveness is unknown.",FDA-2017-P-3196-0074_Reconsideration_Denial_CP_Response_to_Philip_Spill.pdf,10/10/2018,,"Not explicitly named, but signed by Leslie Kux, Associate Commissioner for Policy.",Denied,"- 21 CFR § 10.33(d) – Standard for granting a petition for reconsideration
","- The petitioner failed to show that relevant information or views in the administrative record were not previously or adequately considered.
- FDA affirmed that it had evaluated data on fish consumption, neurodevelopmental outcomes, public comments, and scientific literature including dietary guidelines.
- The agency concluded that while the petitioner disagreed with the FDA’s conclusions and methodology (e.g., consumption categories, use of certain studies), disagreement does not demonstrate a failure to consider information.
- FDA emphasized that it considered the ALSPAC data (used in Daniels and Hibbeln studies) and clarified earlier citation issues.
- The request to conduct experimental studies was also rejected, as no failure to consider relevant administrative data was shown
"
fda-2017-p-3196,FDA-2017-P-3196-0072_Citizen_Petition_for_Reconsideration_from__Philip_.pdf,11/13/2017,False,reconsideration,"Philip Spiller, along with:  George A. Gellert, MD, MPH, MPA  Catherine M. Guttman-McCabe, JD  Neil M. Eisenberg, JD",individual,"- 21 C.F.R. § 10.33 (Request for reconsideration of FDA decisions)
- 21 C.F.R. § 25.30 (Environmental impact categorical exclusion)","FDA’s denial (on October 13, 2017) of a May 18, 2017 citizen petition that requested the withdrawal and revision of the joint FDA-EPA fish consumption advice issued on January 18, 2017","- Reconsider and reverse the denial of the original petition
- Withdraw the 2017 joint fish consumption advice
- Issue new, evidence-based advice:
• Maximizing neurodevelopmental benefits
• Minimizing methylmercury risk
• Based on experimental testing and addressing prior scientific questions","- FDA's 2017 advice misrepresents scientific evidence on fetal neurodevelopmental benefits
- Categorization of fish by methylmercury content is scientifically flawed
- Advice was not experimentally tested with consumers
- Inconsistent with prior FDA positions and international guidance
- Fails to promote consumption of omega-3-rich fish
- Ineffective behavioral motivation for target audiences (e.g., pregnant women)",FDA-2017-P-3196-0074_Reconsideration_Denial_CP_Response_to_Philip_Spill.pdf,10/10/2018,,"Not explicitly named, but signed by Leslie Kux, Associate Commissioner for Policy.",Denied,"- 21 CFR § 10.33(d) – Standard for granting a petition for reconsideration
","- The petitioner failed to show that relevant information or views in the administrative record were not previously or adequately considered.
- FDA affirmed that it had evaluated data on fish consumption, neurodevelopmental outcomes, public comments, and scientific literature including dietary guidelines.
- The agency concluded that while the petitioner disagreed with the FDA’s conclusions and methodology (e.g., consumption categories, use of certain studies), disagreement does not demonstrate a failure to consider information.
- FDA emphasized that it considered the ALSPAC data (used in Daniels and Hibbeln studies) and clarified earlier citation issues.
- The request to conduct experimental studies was also rejected, as no failure to consider relevant administrative data was shown
"
fda-2017-p-3832,FDA-2017-P-3832-0001_Citizen_Petition_for_Reconsideration_from_Porzio__.pdf,6/16/2017,False,reconsideration,"Porzio, Bromberg & Newman, P.C.",law/consulting,"- 21 C.F.R. §§ 10.25, 10.30, 10.33, 10.35
- Administrative Procedures Act (5 U.S.C. § 553(b)(B))
- Executive Orders 13563 and 12866
- Regulatory Flexibility Act (5 U.S.C. §§ 601–12)
- Unfunded Mandates Reform Act of 1995 (Pub. L. 104-4)","The Final Rule: Food Labeling: Revision of the Nutrition and Supplement Facts Labels, specifically changes to the Nutrition Facts label including the declaration of added sugars and new definition and requirements for dietary fiber ","- Stay the effective date of the Final Rule (July 26, 2016) pending reconsideration
- Reconsider the Final Rule and direct FDA staff to initiate a new rulemaking under the Administrative Procedures Act","- Implementation of the rule is inconsistent with current regulatory reform policies and Executive Orders.
- Concerns over First Amendment protections for commercial speech regarding the added sugars disclosure.
- Lack of statutory direction and questionable scientific justification for changes.
- FDA’s consumer studies (including eye-tracking) do not support the added sugars declaration.
- Rule imposes unjustified burdens on industry, especially regarding dietary fiber definitions and associated clinical trial requirements.
- No proper economic impact analysis was submitted to OMB despite large industry implications",FDA-2017-P-3832-0003_Interim_Response_from_FDA_to_Porzio__Bromberg___Ne.pdf,12/13/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR 10.30(e)(2) – Allows for interim responses when a final decision cannot be issued within the 180-day timeframe
","- The FDA indicates that due to other agency priorities and limited availability of resources, it could not complete the review within the first 180 days.
- An interim response is issued in compliance with 21 CFR 10.30(e)(2) while full review is pending
"
fda-2017-p-3832,FDA-2017-P-3832-0001_Citizen_Petition_for_Reconsideration_from_Porzio__.pdf,6/16/2017,False,reconsideration,"Porzio, Bromberg & Newman, P.C.",law/consulting,"- 21 C.F.R. §§ 10.25, 10.30, 10.33, 10.35
- Administrative Procedures Act (5 U.S.C. § 553(b)(B))
- Executive Orders 13563 and 12866
- Regulatory Flexibility Act (5 U.S.C. §§ 601–12)
- Unfunded Mandates Reform Act of 1995 (Pub. L. 104-4)","The Final Rule: Food Labeling: Revision of the Nutrition and Supplement Facts Labels, specifically changes to the Nutrition Facts label including the declaration of added sugars and new definition and requirements for dietary fiber ","- Stay the effective date of the Final Rule (July 26, 2016) pending reconsideration
- Reconsider the Final Rule and direct FDA staff to initiate a new rulemaking under the Administrative Procedures Act","- Implementation of the rule is inconsistent with current regulatory reform policies and Executive Orders.
- Concerns over First Amendment protections for commercial speech regarding the added sugars disclosure.
- Lack of statutory direction and questionable scientific justification for changes.
- FDA’s consumer studies (including eye-tracking) do not support the added sugars declaration.
- Rule imposes unjustified burdens on industry, especially regarding dietary fiber definitions and associated clinical trial requirements.
- No proper economic impact analysis was submitted to OMB despite large industry implications",FDA-2017-P-3832-0004_FDA_2017_P_3832___NPA_Response_Letter.pdf,6/13/2018,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Partially Approved / Partially Denied,"- 21 CFR § 101.9(c)(6)(i) – Definition of dietary fiber
- 21 CFR § 10.30 – Citizen petition process
- Section 403(q) of the FD&C Act – Labeling authority
- Section 403(r)(3) of the FD&C Act – Scientific standard for health claims
- Executive Orders 12866 and 13563
- Regulatory Flexibility Act (5 U.S.C. §§ 601–612)
- Unfunded Mandates Reform Act of 1995 (Pub. L. 104–4)","- FDA reaffirmed that defining ""dietary fiber"" based on beneficial physiological effects rather than chemical structure is scientifically supported.
- FDA emphasized that isolated or synthetic fibers must demonstrate physiological benefits to be included on labels; no new evidence was provided to reverse this.
- The agency disagreed with the claim that the rule effectively requires pre-approval health claims or randomized trials.
- FDA defended its economic analysis, stating the cost of fiber studies was estimated ($3.9M for 84 studies) and relatively small compared to overall costs. Petitioners offered no alternate data or estimates.
- FDA explained that economic analyses for guidance documents are not typically required by the cited Executive Orders or statutes."
fda-2017-p-6689,"FDA-2017-P-6689-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf
",11/29/2017,False,original petition,Novitium Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.122
- 21 C.F.R. § 314.94(a)(3) (definition of RLD)
- 21 C.F.R. § 25.31(a) (environmental assessment exemption)
- 21 C.F.R. § 10.30(b) (economic impact info provision)","FDA’s designation of Reference Standards for generic drug development, specifically for NAPROSYN (naproxen) Oral Suspension, NDA #018965, where the currently listed RLD/RS was no longer available on the market
","The petitioner requests that the FDA designate an alternate Reference Standard (RS):
- Specifically, to designate Naproxen Oral Suspension 25 mg/mL of West-Ward Pharmaceuticals International Limited (ANDA #A074190) as the RS instead of the discontinued NAPROSYN (NDA #018965)","- The current RLD/RS, NAPROSYN Oral Suspension, is no longer available on the market, as confirmed by multiple global comparator drug suppliers.
- This unavailability hinders in vivo bioequivalence and comparative in vitro dissolution studies necessary for generic development.
- Citing the Hatch-Waxman Act and FDA guidance on referencing drug products, the petitioner argues that prompt designation of an alternate RS is essential to:
- Encourage generic development
- Lower drug prices
- Reduce public healthcare costs",FDA-2017-P-6689-0004_Interim_response_from_FDA_CDER_to_Muthusamy_Shanmu.pdf,5/23/2018,,Center for Drug Evaluation and Research (CDER),Interim Response,21 CFR 10.30(e)(2),"FDA has not yet reached a decision due to other agency priorities. The interim response was issued in accordance with citizen petition regulations, and the agency will respond once resources allow
"
fda-2017-p-6689,"FDA-2017-P-6689-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf
",11/29/2017,False,original petition,Novitium Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.122
- 21 C.F.R. § 314.94(a)(3) (definition of RLD)
- 21 C.F.R. § 25.31(a) (environmental assessment exemption)
- 21 C.F.R. § 10.30(b) (economic impact info provision)","FDA’s designation of Reference Standards for generic drug development, specifically for NAPROSYN (naproxen) Oral Suspension, NDA #018965, where the currently listed RLD/RS was no longer available on the market
","The petitioner requests that the FDA designate an alternate Reference Standard (RS):
- Specifically, to designate Naproxen Oral Suspension 25 mg/mL of West-Ward Pharmaceuticals International Limited (ANDA #A074190) as the RS instead of the discontinued NAPROSYN (NDA #018965)","- The current RLD/RS, NAPROSYN Oral Suspension, is no longer available on the market, as confirmed by multiple global comparator drug suppliers.
- This unavailability hinders in vivo bioequivalence and comparative in vitro dissolution studies necessary for generic development.
- Citing the Hatch-Waxman Act and FDA guidance on referencing drug products, the petitioner argues that prompt designation of an alternate RS is essential to:
- Encourage generic development
- Lower drug prices
- Reduce public healthcare costs",FDA-2017-P-6689-0006_Letter_from_FDA_CDER_to_Novitium_Pharma__LLC.pdf,5/8/2019,,Center for Drug Evaluation and Research (CDER),Approved,"- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 CFR 314.94(a)(3)
- 21 CFR 314.3(b)
- Final Rule: “Abbreviated New Drug Applications and 505(b)(2) Applications,” 81 FR 69580, 69619 (Oct. 6, 2016)","- The originally designated reference standard (RS) drug Naprosyn (NDA 018965) is no longer available in the market in sufficient quantities to support new ANDA bioequivalence testing.
- FDA agrees there are sufficient grounds to select a new RS.
- The agency identified West-Ward’s ANDA 074190 (naproxen oral suspension, 25 mg/mL) as the appropriate new RS because it is the only approved generic version listed in the Orange Book and therapeutically equivalent to the RLD.
- FDA will identify ANDA 074190 as the new RS in the Orange Book."
fda-2017-p-6689,"FDA-2017-P-6689-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf
",11/29/2017,False,original petition,Novitium Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.122
- 21 C.F.R. § 314.94(a)(3) (definition of RLD)
- 21 C.F.R. § 25.31(a) (environmental assessment exemption)
- 21 C.F.R. § 10.30(b) (economic impact info provision)","FDA’s designation of Reference Standards for generic drug development, specifically for NAPROSYN (naproxen) Oral Suspension, NDA #018965, where the currently listed RLD/RS was no longer available on the market
","The petitioner requests that the FDA designate an alternate Reference Standard (RS):
- Specifically, to designate Naproxen Oral Suspension 25 mg/mL of West-Ward Pharmaceuticals International Limited (ANDA #A074190) as the RS instead of the discontinued NAPROSYN (NDA #018965)","- The current RLD/RS, NAPROSYN Oral Suspension, is no longer available on the market, as confirmed by multiple global comparator drug suppliers.
- This unavailability hinders in vivo bioequivalence and comparative in vitro dissolution studies necessary for generic development.
- Citing the Hatch-Waxman Act and FDA guidance on referencing drug products, the petitioner argues that prompt designation of an alternate RS is essential to:
- Encourage generic development
- Lower drug prices
- Reduce public healthcare costs",FDA-2017-P-6689-0010_Letter_from_FDA_CDER_to_Arnall_Golden_Gregory__LLP.pdf,7/12/2019,,Center for Drug Evaluation and Research (CDER),Denied,"- 21 CFR 10.35(e) (criteria for administrative stay of action)
- 21 CFR 314.81(b)(2) (reporting obligations)
- 21 CFR 314.94(a)(3)
- 21 CFR 314.3(b)
- 81 FR 69580, 69619 (Oct. 6, 2016) – “Abbreviated New Drug Applications and 505(b)(2) Applications” final rule","- The petition failed to meet 3 of the 4 criteria required for a mandatory administrative stay under 21 CFR 10.35(e): no irreparable injury demonstrated, no sound public policy grounds shown, and public health concerns outweighed the requested delay.
- FDA concluded that the original reference standard (NDA 018965 for Naprosyn) was either unavailable or in limited supply, justifying the selection of ANDA 074190 (West-Ward) as the new reference standard for naproxen oral suspension.
- FDA emphasized the public interest in ensuring a reference standard is available for ANDA applicants to conduct bioequivalence studies.
- The agency reaffirmed that selecting a new RS does not imply inferiority of the original product and noted that ANDAs can proceed using the designated RS.
- The interest of justice and public interest did not support granting a discretionary stay either
"
fda-2017-p-6689,"FDA-2017-P-6689-0001_Citizen_Petition_from_Novitium_Pharma_LLC.pdf
",11/29/2017,False,original petition,Novitium Pharma LLC,industry/corporation,"- 21 C.F.R. § 10.25(a)
- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.122
- 21 C.F.R. § 314.94(a)(3) (definition of RLD)
- 21 C.F.R. § 25.31(a) (environmental assessment exemption)
- 21 C.F.R. § 10.30(b) (economic impact info provision)","FDA’s designation of Reference Standards for generic drug development, specifically for NAPROSYN (naproxen) Oral Suspension, NDA #018965, where the currently listed RLD/RS was no longer available on the market
","The petitioner requests that the FDA designate an alternate Reference Standard (RS):
- Specifically, to designate Naproxen Oral Suspension 25 mg/mL of West-Ward Pharmaceuticals International Limited (ANDA #A074190) as the RS instead of the discontinued NAPROSYN (NDA #018965)","- The current RLD/RS, NAPROSYN Oral Suspension, is no longer available on the market, as confirmed by multiple global comparator drug suppliers.
- This unavailability hinders in vivo bioequivalence and comparative in vitro dissolution studies necessary for generic development.
- Citing the Hatch-Waxman Act and FDA guidance on referencing drug products, the petitioner argues that prompt designation of an alternate RS is essential to:
- Encourage generic development
- Lower drug prices
- Reduce public healthcare costs",FDA-2017-P-6689-0013_Petition_Response_Letter_from_FDA_CDER_to_Arnall_G.pdf,5/26/2020,,Center for Drug Evaluation and Research (CDER),Denied,"- 21 CFR 10.33 (Petition for Reconsideration)
- 21 CFR 10.25
- 21 CFR 314.81(b)(2) (Annual reports)
- 21 CFR 314.94(a)(3)
- 21 CFR 314.3(b)
- 21 U.S.C. § 355(j) (Section 505(j) of the FD&C Act)
- 21 U.S.C. § 356i(c) (Section 506I(c) of the FD&C Act)","- The petitioner failed to meet the regulatory criteria for mandatory reconsideration (21 CFR 10.33(d)), specifically the requirement to demonstrate that FDA had not previously or adequately considered relevant information or views in the record.
- FDA thoroughly evaluated multiple sources: citizen petitions, docket comments, marketing status notifications, communications with applicants, annual reports (which were missing), and third-party commercial data.
- FDA found conflicting and incomplete information from Atnahs and no persuasive evidence that Naprosyn was available in sufficient quantities for use as a reference standard.
- The agency emphasized that ensuring availability of a reference standard is in the public interest and rejected the petition based on both regulatory grounds and public policy considerations.
- Reconsideration was also denied on discretionary grounds, as it was not found to be in the public interest or interest of justice"
fda-2017-p-6689,FDA-2017-P-6689-0007_Petition_for_Reconsideration_and_Stay_from_Arnall_.pdf,6/7/2019,False,reconsideration,Arnall Golden Gregory LLP,law/consulting,"- 21 C.F.R. § 10.25
- 21 C.F.R. § 10.33
- 21 C.F.R. § 10.35
- 21 C.F.R. § 10.31
- Section 506I(c) of the FD&C Act","FDA’s decision to designate ANDA 074190 (West-Ward Pharmaceuticals) as the new reference standard (RS) for Naprosyn (naproxen oral suspension, NDA 018965), replacing the branded product previously listed as RS and RLD","1. Reconsider the FDA’s decision to designate a new RS and retain Naprosyn (NDA 018965) as the RS.
2. Indefinitely stay the designation of ANDA 074190 (West-Ward) as the RS for Naprosyn","- Naprosyn (RLD and former RS) is currently available and has been actively distributed since 2017.
- FDA did not consult with Atnahs or Athena regarding the availability or distribution before designating a new RS.
- The designation of a new RS could unfairly harm Atnahs/Athena's business and mislead healthcare providers and generic developers about product availability.
- Concerns about the fairness of introducing a new RS while the previous RS is still available, including potential impacts on ANDA applicants who have used Naprosyn for bioequivalence.
- FDA failed to clearly define “limited distribution” criteria.
- The companies are willing to provide product samples for bioequivalence testing.
- The action may result in unnecessary market confusion and inconsistency in regulatory practices",FDA-2017-P-6689-0010_Letter_from_FDA_CDER_to_Arnall_Golden_Gregory__LLP.pdf,7/12/2019,,Center for Drug Evaluation and Research (CDER),Denied,"- 21 CFR 10.35(e) (criteria for administrative stay of action)
- 21 CFR 314.81(b)(2) (reporting obligations)
- 21 CFR 314.94(a)(3)
- 21 CFR 314.3(b)
- 81 FR 69580, 69619 (Oct. 6, 2016) – “Abbreviated New Drug Applications and 505(b)(2) Applications” final rule","- The petition failed to meet 3 of the 4 criteria required for a mandatory administrative stay under 21 CFR 10.35(e): no irreparable injury demonstrated, no sound public policy grounds shown, and public health concerns outweighed the requested delay.
- FDA concluded that the original reference standard (NDA 018965 for Naprosyn) was either unavailable or in limited supply, justifying the selection of ANDA 074190 (West-Ward) as the new reference standard for naproxen oral suspension.
- FDA emphasized the public interest in ensuring a reference standard is available for ANDA applicants to conduct bioequivalence studies.
- The agency reaffirmed that selecting a new RS does not imply inferiority of the original product and noted that ANDAs can proceed using the designated RS.
- The interest of justice and public interest did not support granting a discretionary stay either
"
