File ID,Date of Petition,Was_Withdrawn,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Final Decision,Number of Interim Responses,Interim Response Date,Last Response Date,Responding FDA Center,Responses Cited Statutes or Regulations,Justification for Interim Response,Justification for Final Response
FDA-2017-P-0052,1/1/2017,False,Donor Sibling Registry,advocacy/academic,"- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.30 (categorical environmental exemption claimed)","Lack of regulation and oversight in the sperm donation/cryobank industry. Specifically, minimal FDA-mandated medical testing for sperm and egg donors and the broader absence of national regulatory oversight.","The petitioner asks the FDA Commissioner to investigate the current state of the sperm donation industry and develop appropriate regulations and oversight mechanisms. Key regulatory proposals include:
• Standardized and expanded pre-conception testing
• Mandated full genome sequencing
• Required medical, genetic, and social updates
• Electronic health record-keeping
• Ban on anonymous donation
• Centralized databank tracking donors, recipients, and births","The petition outlines that the U.S. cryobank industry is a multibillion-dollar, largely unregulated sector, leading to:
• Inconsistent medical/genetic screening standards
• Insufficient communication of critical health data
• Donor fraud and identity falsification
• Psychological and health risks to donor-conceived children
• Inadequate recordkeeping, enabling excessive offspring numbers per donor and risk of consanguinity.
They reference case studies, lawsuits (e.g., Collins v. Xytex), surveys, and failures in current practices as rationale for regulatory reform",Denied,1.0,,,Center for Biologics Evaluation and Research (CBER),"- Section 361 of the Public Health Service Act (42 U.S.C. 264(a))
- 21 CFR Part 1271 (multiple subsections, including 1271.3, 1271.10, 1271.45, 1271.50, 1271.55, 1271.60, 1271.65, 1271.80, 1271.85, 1271.90)
- 21 CFR 1240.3(b) and 1250.3(b) (definitions of communicable disease) ","The FDA cites ""existence of other FDA priorities"" and the ""complexity of the request"" as reasons for the delay in reaching a decision 
","The FDA denied the petition based on the following justifications:
- Many of the requested regulations focus on genetic diseases, which do not qualify as ""communicable diseases"" under Section 361 of the Public Health Service Act, and therefore fall outside the FDA’s statutory authority.
- Existing regulations already address communicable disease testing for HCT/Ps (human cells, tissues, or cellular or tissue-based products).
- Requests for broader tracking, electronic recordkeeping, and banning anonymous donation were declined due to lack of direct relevance to communicable disease prevention, privacy concerns, and impracticality/burden on tissue establishments.
- The FDA also emphasized that existing regulations already require extensive record retention and labeling for communicable disease risks, and further expansion was not warranted at this time."
FDA-2017-P-0115,12/22/2016,False,Jubilant Generics Limited,industry/corporation,"- Section 505(j)(2)(C) of the FD&C Act [21 U.S.C. § 355(j)(2)(C)]
- 21 C.F.R. §§ 10.20, 10.30, and 314.93 (citizen petition and ANDA suitability provisions)
- 21 C.F.R. § 25.31 (environmental impact categorical exclusion)","FDA’s requirement to approve an ANDA petition when a proposed drug differs in strength (fill volume) from the reference listed drug (RLD). The petition seeks determination that proposed changes in Levetiracetam injection volume are suitable for ANDA submission
","FDA is requested to determine that Levetiracetam Injection at 1000 mg/10 mL and 1500 mg/15 mL (100 mg/mL) is suitable for ANDA submission, based on the RLD Keppra® Injection 500 mg/5 mL (NDA #021872)
","- The proposed product matches the RLD in concentration (100 mg/mL) but provides larger fill volumes to reduce the need for combining multiple vials for higher doses.
- Current practice involves multiple vial withdrawals (e.g., 2 or 3 vials for 1000 or 1500 mg), which is cumbersome, time-consuming, and poses risks of dosing error and sterility breach in emergency settings
.
- No change in route of administration, indications, or labeling content aside from strength specification.
- Proposed dosage strengths are consistent with labeled dosing ranges and usage patterns for the RLD
.
- The petitioner claims a categorical exclusion from environmental assessment under 21 C.F.R. § 25.31",Withdrawn,0.0,,6/12/2023,Center for Drug Evaluation and Research (CDER) ,Not applicable. ,,"- FDA contacted the petitioner (Jubilant Generics Limited) via certified mail on March 17, 2023 requesting a confirmation of continued interest.
- The petitioner did not respond within 30 days, leading the FDA to consider the petition voluntarily withdrawn without prejudice.
- This action was in accordance with FDA's GDUFA III commitments to clean up unresolved suitability petitions submitted prior to FY 2023."
FDA-2017-P-0137,1/9/2017,True,Macleods Pharmaceuticals Limited,industry/corporation,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, 314.93 (citizen petition and ANDA suitability petition provisions)
- 21 C.F.R. § 25.31(a) and 25.15(d) (categorical exclusion from environmental assessment)","The petition comments on the absence of a currently available Reference Listed Drug (RLD) for Pyrazinamide Tablets 500 mg, and requests designation of an alternative RLD to support ANDA filing","Macleods requests FDA to designate the approved generic product ANDA #A081319 (Pyrazinamide Tablets 500 mg by Akorn Inc.) as the RLD, due to the unavailability of the existing RLD (ANDA #A080157 by Dava Pharmaceuticals)
","- The current RLD (Pyrazinamide 500 mg by Dava) is not available in the U.S. market, even though not marked as discontinued in the Orange Book.
- Akorn’s product (ANDA #A081319) is the only approved and marketed generic for this dosage form and strength, and is the market leader.
- According to FDA’s policy outlined in the 1992 ANDA regulations, the market leader may be designated as RLD when the original is unavailable.
- Petition includes IMS market data and Orange Book listings as supporting evidence",,1.0,7/7/2017,7/7/2017,Center for Drug Evaluation and Research (CDER) ,,"The FDA stated that the petition ""raises complex issues requiring extensive review and analysis by Agency officials,"" which has delayed a final decision 
",
FDA-2017-P-0176,1/9/2017,False,"Kleinfeld, Kaplan and Becker, LLP",law/consulting,"- 21 C.F.R. § 10.30 (Citizen Petition procedures)
- 21 C.F.R. § 101.4(h) (Labeling of dietary supplements)
- 68 Fed. Reg. 51738 (August 28, 2003) – Proposed amendment to 21 C.F.R. § 101.4(h)
- 21 C.F.R. § 25.30 (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact statement provisions)","The FDA’s proposed amendment to 21 C.F.R. § 101.4(h), specifically the 2003 proposal to replace the incorporated references (1992 edition of Herbs of Commerce and 1994 edition of International Code of Botanical Nomenclature) with their 2000 editions.","AHPA requests that FDA:
1. Withdraw the proposed rule published at 68 Fed. Reg. 51738.
2. Issue an Advance Notice of Proposed Rulemaking (ANPRM) to revise 21 C.F.R. § 101.4(h), suggesting that botanical names on supplement labels be consistent with the Herbs of Commerce, 2nd edition (2000), or other appropriate authoritative references","- The current reference (Herbs of Commerce, 1st ed., 1992) is outdated.
- The 2nd edition (2000) includes standardized common names for ~1,500 more botanicals and updates ~140 names from the 1st edition.
- Plant taxonomy evolves, and new references reflect more accurate nomenclature.
- There is a need for clarity and consistency in naming botanical dietary ingredients to reflect modern commerce and ensure regulatory compliance",,1.0,2/2/2018,2/2/2018,Center for Food Safety and Applied Nutrition (CFSAN),,"The FDA stated the petition is under active evaluation, but decision-making has been delayed due to competing agency priorities ",
FDA-2017-P-0290,1/17/2017,False,Malaysian Rubber Export Promotion Council (MREPC),advocacy/academic,"- FDA Docket No. FDA-2015-N-5017 (Final Rule)
- 21 C.F.R. Parts 878, 880 & 895 (relating to medical devices and banned devices regulations)","The FDA’s Final Rule banning powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating gloves, effective January 18, 2017.
","MREPC requests a two-month extension of the Final Rule's effective date (from January 18, 2017, to March 18, 2017) to allow:
(i) re-routing or removal of affected glove shipments already en route to U.S. ports, or
(ii) re-labeling and re-packing for non-medical markets","- The short notice between the Final Rule announcement and effective date caused hardship to Malaysian glove manufacturers/exporters with shipments already en route.
- FDA-cited studies were primarily based on older powdered gloves; recent studies are limited and based on non-U.S. gloves.
- FDA-regulated powdered glove limits (≤10 mg/dm²) are believed to pose minimal health risks.
- Malaysia respects the ban but seeks pragmatic enforcement to prevent economic losses from rejected shipments and disrupted hospital contracts",Denied,0.0,,6/26/2017,"Center for Devices and Radiological Health (CDRH)
","- 21 CFR 1.94, 21 CFR 1.95, 21 CFR 1.96
- 21 CFR Part 1, Subpart E
- 21 USC 381(a), 381(b)
- 81 Fed. Reg. 91722 (Dec. 19, 2016 – Final Rule)
- 81 Fed. Reg. 15173 (Mar. 22, 2016 – Proposed Rule) 
",,"- The FDA determined that powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating gloves pose an unreasonable and substantial risk to health care workers and patients.
- The risk cannot be corrected by labeling or relabeling.
- The final rule was published with a 30-day effective date (January 18, 2017) to minimize continued exposure.
- While the petition sought additional time for logistics of redirected or relabeled shipments, the FDA maintained that public health concerns outweighed those logistical issues.
- Existing regulations allow for relabeling, exportation, or destruction of non-compliant shipments as per 21 USC 381 and relevant CFR provisions 
"
FDA-2017-P-0398,1/18/2017,True,Florek & Endres PLLC,industry/corporation,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, and 314.93 (petition procedures and ANDA suitability petitions)
- 21 C.F.R. § 25.31 (categorical exclusion from environmental assessment)
- 21 C.F.R. § 10.30(b) (economic impact information on request)","The petition addresses the FDA’s determination on whether a new strength (24 mg) of Hydromorphone HCl extended-release tablets is suitable for submission under an ANDA, referencing the approved reference listed drug (RLD) EXALGO®","The petitioner requests that the FDA declare the 24 mg strength of Hydromorphone HCl extended-release tablets suitable for ANDA submission, citing the EXALGO® product line as reference","- The 24 mg strength would fill a dosing gap between existing 16 mg and 32 mg EXALGO® strengths, reducing the need to combine tablets and mitigating risks of dosage errors.
- The dosage is consistent with EXALGO®'s labeled titration recommendations and would aid safer opioid conversion and titration.
- The proposed strength exhibits similar dissolution and pharmacokinetic properties to the RLD.
- The dosage is expected to be used and prescribed safely, with potentially lower abuse liability than the 32 mg strength.
- It does not raise questions of safety or effectiveness since the formulation and route of administration remain consistent with the RLD",,,,,,,,
FDA-2017-P-0428,1/20/2017,False,Mucodel Pharma LLC,industry/corporation,"- Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.30 (Citizen petition procedures)
- Section 505(q) of the FD&C Act (mentioned in context of delaying approval pending petition resolution)
- 21 C.F.R. §§ 25.30, 25.31, 25.32, 25.33, 25.34 (Environmental impact exclusions)
- 21 C.F.R. § 25.40 (Environmental assessment provision)","The FDA’s approval process for intranasal (IN) naloxone drug applications (NDA or ANDA) for emergency treatment of opioid overdose, particularly questioning whether such products are reliable in real-world field use compared to intramuscular (IM) naloxone","The petitioner requests the FDA to refrain from approving any intranasal naloxone applications (NDA or ANDA) until it considers the reliability of intranasal delivery in actual field use, especially in comparison with IM delivery
","- The pivotal clinical studies for the IN reference listed drug (Narcan®) excluded patients with nasal issues, casting doubt on real-world effectiveness.
- Field studies and literature indicate efficacy disparity between IN and IM naloxone, especially in patients with nasal trauma, congestion, or a history of drug insufflation (e.g., cocaine, heroin).
- Concerns exist about absorption reliability due to nasal pathologies, vasoconstrictors like oxymetazoline, and anatomical damage from substance use.
- The IN RLD labeling lacks adequate guidance on patient suitability or reliability issues.
- The drug is often administered by non-medically trained individuals, making predictable and reliable delivery critical to avoid fatal consequences during opioid overdose emergencies",Withdrawn,0.0,,2/9/2017,Office of Regulatory Policy (ORP),Not applicable. ,,"The original petition was voluntarily withdrawn by the petitioner, who resubmitted a substantially identical petition under a new docket number to correct the certification required by Section 505(q). As a result, the FDA considered the original petition withdrawn and requested closure of the docket "
FDA-2017-P-0494,1/24/2017,False,Navinta LLC,industry/corporation,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 314.93 (ANDA Suitability Petitions)
- 21 C.F.R. § 10.20 and § 10.30 (Citizen Petition requirements)
- 21 C.F.R. § 25.31(a) (Environmental Impact Exclusion)
- Pediatric Research Equity Act (FD&C Act Section 505(B)(b))","FDA’s policy and precedent regarding ANDA Suitability Petitions, especially related to changes in total drug content and vial size for injectable drug products.
","FDA should determine that the proposed Sodium Phenylacetate and Sodium Benzoate Injection, 10%/10%, 20 mL vial is suitable for submission under Navinta’s existing ANDA (#205880), despite differing in total fill volume (from the approved 50 mL vial).
","- The new 20 mL vial maintains the same drug concentration (10% Sodium Phenylacetate and 10% Sodium Benzoate) and formulation as the approved 50 mL version.
- Intended for pediatric use, where the full 50 mL vial leads to significant waste and higher costs.
- Request was also based on feedback from hospital pharmacies and aligns with prior FDA-approved suitability petitions for changes in package sizes.
- The change raises no safety or efficacy concerns, and supports cost reduction, waste minimization, and single-use compliance in clinical practice",Withdrawn,0.0,,7/11/2023,Center for Drug Evaluation and Research (CDER),Not applicable. ,,"- The FDA sent a certified letter on March 17, 2023 requesting confirmation of continued interest in the petition.
- No response was received from Navinta LLC within the required 30 days.
- In alignment with GDUFA III goals, unresolved petitions without responses are considered voluntarily withdrawn to streamline review processes"
FDA-2017-P-0495,1/25/2017,False,"Lachman Consultant Services, Inc.",industry/corporation,"- 21 C.F.R. § 10.30
- 21 C.F.R. § 314.161
- 21 C.F.R. § 314.162
- 21 C.F.R. § 25.31
- 21 C.F.R. § 10.30(b)","Determination of whether CORDARONE® (amiodarone hydrochloride) Tablets, 200 mg has been voluntarily withdrawn from sale for safety or efficacy reasons, which affects its eligibility to be referenced in an ANDA","The petitioner requests that the FDA determine whether CORDARONE® Tablets, 200 mg has been voluntarily withdrawn for safety or efficacy reasons, in order to allow an ANDA referencing it as the Reference Listed Drug to proceed
","- CORDARONE® (200 mg) is still listed as an actively marketed product in the Orange Book, but the petitioner’s client believes it is no longer marketed.
- FDA regulations require such a determination before approving an ANDA that references a withdrawn listed drug.
- If the product is being marketed again before FDA response, the petition will be withdrawn
",Approved (Determination Issued),1.0,7/21/2017,8/16/2017,Center for Drug Evaluation and Research (CDER),"- 21 CFR 314.161 – Concerning the determination of whether a listed drug was withdrawn from sale for safety or effectiveness.
- 21 CFR 314.162 – Concerning removal of approved drugs from the Orange Book.
- 21 CFR 10.30 – Governs citizen petitions","The FDA stated that it was unable to reach a decision because of the need to address other Agency priorities and the numerous demands on its resources. The petition remains under review 
","- FDA conducted a review of its own records, the citizen petition, and relevant literature and postmarketing data.
- No evidence was found to suggest that Cordarone (amiodarone hydrochloride) 200 mg was withdrawn from sale due to safety or efficacy concerns.
- The product was discontinued voluntarily by Pfizer (not for safety or efficacy), and will remain listed in the “Discontinued Drug Product List” of the Orange Book.
- This allows for the continued approval and submission of ANDAs referencing this product, as long as they meet all applicable requirements"
FDA-2017-P-0508,1/25/2017,False,"Union of Concerned Scientists, Center for Science and Democracy",advocacy/academic,"- 5 U.S.C. § 553(e)
- 21 C.F.R. § 10.25
- 21 C.F.R. § 10.30
- 21 C.F.R. § 101.13
- 21 C.F.R. § 101.14
- 21 C.F.R. § 25.30(h)
- 21 C.F.R. § 10.30(b)(3)
- 21 C.F.R. § 101.65
- 21 U.S.C. § 343
- Sections 201(n), 403A, and 701(a) of the FD&C Act
- Nutrition Labeling and Education Act of 1990","- Current FDA regulations allowing health and nutrient content claims on foods with high added sugar content
- Draft guidance on redefining the “healthy” nutrient content claim","- Amend 21 C.F.R. §§ 101.13 and 101.14 to include a disqualifying nutrient level for added sugars
- Prevent foods with added sugars above the threshold from making health or nutrient content claims","- Scientific evidence links excessive added sugar to chronic diseases (e.g., type 2 diabetes, CVD, obesity)
- Added sugar now has a defined DRV (25g for ages 1–3, 50g for 4+)
- Precedent exists for disqualifying levels for fat, sodium, etc.
- Prevent misleading claims that make sugar-rich foods appear healthy, especially for children
- Supported by over 30,000 individuals nationwide",,1.0,7/17/2017,7/17/2017,Center for Food Safety and Applied Nutrition (CFSAN),,The FDA stated that it has not completed review of the petition due to other agency priorities and limited availability of resources. The Agency committed to notify the petitioner once a decision is reached ,
