Submitter,Submitter Type
Jubilant Generics Limited,industry/corporation
Macleods Pharmaceuticals Limited,industry/corporation
Macleods Pharmaceuticals Limited,industry/corporation
Florek & Endres PLLC,industry/corporation
Florek & Endres PLLC,industry/corporation
Mucodel Pharma LLC,industry/corporation
Navinta LLC,industry/corporation
"Lachman Consultant Services, Inc.",industry/corporation
"Impax Laboratories, Inc.",industry/corporation
Mucodel Pharma LLC,industry/corporation
The Weinberg Group Inc.,industry/corporation
"Fresenius Kabi USA, LLC",industry/corporation
"Fresenius Kabi USA, LLC",industry/corporation
RiceBran Technologies,industry/corporation
"INRange Systems, Inc.",industry/corporation
Recordati Rare Diseases Inc. (RRD),industry/corporation
"Gator Pharmaceuticals, Inc.",industry/corporation
Orbicular Pharmaceutical Technologies Pvt. Ltd.,industry/corporation
Aurora Pharmaceutical LLC,industry/corporation
Aurora Pharmaceutical LLC,industry/corporation
"INRange Systems, Inc.",industry/corporation
Xiromed LLC,industry/corporation
"Gilead Sciences, Inc.",industry/corporation
"Pharmaceutical Manufacturing Research Services, Inc. (PMRS)",industry/corporation
Tate & Lyle Ingredients Americas LLC,industry/corporation
Sandoz Inc.,industry/corporation
Sandoz Inc.,industry/corporation
"Hospira, Inc.",industry/corporation
"AIDP, Inc.",industry/corporation
Yiling Pharmaceutical Ltd.,industry/corporation
"Nirsum Pharmaceuticals, LLC",industry/corporation
"Menn Law Firm, Ltd.",industry/corporation
"Menn Law Firm, Ltd.",industry/corporation
"Qilu Pharma, Inc.",industry/corporation
"Qilu Pharma, Inc.",industry/corporation
"Fresenius Kabi USA, LLC",industry/corporation
"Fresenius Kabi USA, LLC",industry/corporation
AuroMedics Pharma LLC,industry/corporation
AuroMedics Pharma LLC,industry/corporation
"Abhai, LLC and KVK-Tech, Inc.",industry/corporation
"Lachman Consultant Services, Inc.",industry/corporation
Jubilant Generics Ltd.,industry/corporation
Jubilant Generics Ltd.,industry/corporation
"Esophageal Cancer Action Network, Inc. (ECAN)",industry/corporation
Apotex Inc. and Apobiologix (a Division of Apotex Inc.),industry/corporation
VKT Pharma Private Limited,industry/corporation
"Lachman Consultant Services, Inc.",industry/corporation
"Lachman Consultant Services, Inc.",industry/corporation
"Lachman Consultant Services, Inc.",industry/corporation
"Pharmaceutical Manufacturing Research Services, Inc. (PMRS)",industry/corporation
"NJOY, along with:  Vapor Technology Association  SFATA  National Association of Tobacco Outlets, Inc.  CITMA  Turning Point Brands, Inc.  Mistic Electronic Cigarettes  Johnson Creek Vapor Company  Nicopure Labs LLC  Five Pawns Inc.  Gaiatrend USA  Glas, LLC  Shift Ventures, Inc.  E-Alternative Solutions, Inc.  Saffire Vapor",industry/corporation
AstraZeneca Pharmaceuticals LP,industry/corporation
"Belcher Pharmaceuticals, LLC",industry/corporation
"Teligent Pharma, Inc.",industry/corporation
