File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,Status of Review,Review Comments
FDA-2017-P-0052-0150_Interim_Response_from_CBER_to_Donor_Sibling_Regist.pdf,,"No date recognized by ChatGPT, but found in signature line.",Center for Biologics Evaluation and Research (CBER),Interim Response,"21 CFR 10.30(e)(2) (FDA regulations on citizen petitions)
","The FDA cites ""existence of other FDA priorities"" and the ""complexity of the request"" as reasons for the delay in reaching a decision 
",FALSE,
FDA-2017-P-0052-0203_Response_letter_from_FDA_CBER_to_Donor_Sibling_Reg.pdf,,"No date recognized by ChatGPT, but found in signature line.",Center for Biologics Evaluation and Research (CBER),Denied,"- Section 361 of the Public Health Service Act (42 U.S.C. 264(a))
- 21 CFR Part 1271 (multiple subsections, including 1271.3, 1271.10, 1271.45, 1271.50, 1271.55, 1271.60, 1271.65, 1271.80, 1271.85, 1271.90)
- 21 CFR 1240.3(b) and 1250.3(b) (definitions of communicable disease) ","The FDA denied the petition based on the following justifications:
- Many of the requested regulations focus on genetic diseases, which do not qualify as ""communicable diseases"" under Section 361 of the Public Health Service Act, and therefore fall outside the FDA’s statutory authority.
- Existing regulations already address communicable disease testing for HCT/Ps (human cells, tissues, or cellular or tissue-based products).
- Requests for broader tracking, electronic recordkeeping, and banning anonymous donation were declined due to lack of direct relevance to communicable disease prevention, privacy concerns, and impracticality/burden on tissue establishments.
- The FDA also emphasized that existing regulations already require extensive record retention and labeling for communicable disease risks, and further expansion was not warranted at this time.",FALSE,
FDA-2017-P-0115-0007_Memorandum_of_suitability_voluntarily_withdrawn_wi.pdf,6/12/2023,,Center for Drug Evaluation and Research (CDER) ,Withdrawn,Not applicable. ,"- FDA contacted the petitioner (Jubilant Generics Limited) via certified mail on March 17, 2023 requesting a confirmation of continued interest.
- The petitioner did not respond within 30 days, leading the FDA to consider the petition voluntarily withdrawn without prejudice.
- This action was in accordance with FDA's GDUFA III commitments to clean up unresolved suitability petitions submitted prior to FY 2023.",FALSE,
FDA-2017-P-0137-0005_Interim_Response_Letter_to_Macleods_Pharmaceutical.pdf,7/7/2017,,Center for Drug Evaluation and Research (CDER) ,Interim Response,"21 CFR 10.30(e)(2) – FDA regulation on citizen petitions 
","The FDA stated that the petition ""raises complex issues requiring extensive review and analysis by Agency officials,"" which has delayed a final decision 
",FALSE,
FDA-2017-P-0176-0003_Interim_Response_from_FDA_to_American_Herbal_Produ.pdf,2/2/2018,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"21 CFR 10.30(e)(2) – Pertains to procedures for citizen petitions 
","The FDA stated the petition is under active evaluation, but decision-making has been delayed due to competing agency priorities ",FALSE,
FDA-2017-P-0290-0003_Letter_from_CDRH_to_Malaysian_Rubber_Export_Promot.pdf,6/26/2017,,"Center for Devices and Radiological Health (CDRH)
",Denied,"- 21 CFR 1.94, 21 CFR 1.95, 21 CFR 1.96
- 21 CFR Part 1, Subpart E
- 21 USC 381(a), 381(b)
- 81 Fed. Reg. 91722 (Dec. 19, 2016 – Final Rule)
- 81 Fed. Reg. 15173 (Mar. 22, 2016 – Proposed Rule) 
","- The FDA determined that powdered surgeon’s gloves, powdered patient examination gloves, and absorbable powder for lubricating gloves pose an unreasonable and substantial risk to health care workers and patients.
- The risk cannot be corrected by labeling or relabeling.
- The final rule was published with a 30-day effective date (January 18, 2017) to minimize continued exposure.
- While the petition sought additional time for logistics of redirected or relabeled shipments, the FDA maintained that public health concerns outweighed those logistical issues.
- Existing regulations allow for relabeling, exportation, or destruction of non-compliant shipments as per 21 USC 381 and relevant CFR provisions 
",FALSE,
FDA-2017-P-0428-0003_MEMORANDUM_requesting_closure_of_FDA_P_2017_0428.pdf,2/9/2017,,Office of Regulatory Policy (ORP),Withdrawn,Not applicable. ,"The original petition was voluntarily withdrawn by the petitioner, who resubmitted a substantially identical petition under a new docket number to correct the certification required by Section 505(q). As a result, the FDA considered the original petition withdrawn and requested closure of the docket ",FALSE,
FDA-2017-P-0494-0006_Memorandum_from_FDA_CDER_to_Navinta_LLC.pdf,7/11/2023,,Center for Drug Evaluation and Research (CDER),Withdrawn,Not applicable. ,"- The FDA sent a certified letter on March 17, 2023 requesting confirmation of continued interest in the petition.
- No response was received from Navinta LLC within the required 30 days.
- In alignment with GDUFA III goals, unresolved petitions without responses are considered voluntarily withdrawn to streamline review processes",FALSE,
FDA-2017-P-0495-0003_Interim_Response_Letter_from_FDA_CDER_to_Lachman_C.pdf,7/21/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"21 CFR 10.30(e)(2) – Regulation governing interim responses to citizen petitions 
","The FDA stated that it was unable to reach a decision because of the need to address other Agency priorities and the numerous demands on its resources. The petition remains under review 
",FALSE,
FDA-2017-P-0495-0005_Letter_from_FDA_to_Lachman_Consultant_Services__In.pdf,8/16/2017,,Center for Drug Evaluation and Research (CDER),Approved (Determination Issued),"- 21 CFR 314.161 – Concerning the determination of whether a listed drug was withdrawn from sale for safety or effectiveness.
- 21 CFR 314.162 – Concerning removal of approved drugs from the Orange Book.
- 21 CFR 10.30 – Governs citizen petitions","- FDA conducted a review of its own records, the citizen petition, and relevant literature and postmarketing data.
- No evidence was found to suggest that Cordarone (amiodarone hydrochloride) 200 mg was withdrawn from sale due to safety or efficacy concerns.
- The product was discontinued voluntarily by Pfizer (not for safety or efficacy), and will remain listed in the “Discontinued Drug Product List” of the Orange Book.
- This allows for the continued approval and submission of ANDAs referencing this product, as long as they meet all applicable requirements",FALSE,
FDA-2017-P-0508-0040_Interim_Response_Letter_from_CFSAN_to_Union_of_Con.pdf,7/17/2017,,Center for Food Safety and Applied Nutrition (CFSAN),Interim Response,"- 21 CFR 10.30(e)(2) – Regulation governing interim responses to citizen petitions
- 21 CFR 101.13 and 21 CFR 101.14 – Pertaining to nutrient content and health claims",The FDA stated that it has not completed review of the petition due to other agency priorities and limited availability of resources. The Agency committed to notify the petitioner once a decision is reached ,FALSE,
FDA-2017-P-0662-0004_Letter_from_FDA_CDER_to_Impax_Laboratories__Inc_.pdf,6/30/2017,,Center for Drug Evaluation and Research (CDER),Partially Approved / Partially Denied,"- Section 505(j) of the FD&C Act (21 U.S.C. 355(j))
- 21 CFR 314.94(a)(7)
- 21 CFR 320.24(b)
- 21 CFR 314.101(b)(1), (d)-(e)
- 21 CFR 314.3(b)
- 21 CFR 320.1(e) ","- FDA cannot refuse to receive an ANDA that is facially complete; review of substantive scientific adequacy occurs during later stages, not at receipt.
- FDA acknowledges the pharmacokinetic concerns raised and commits to consider them in finalizing the product-specific guidance for carbidopa-levodopa extended-release capsules.
- FDA cites statutory and regulatory frameworks that give it discretion in determining the scientific criteria for bioequivalence.",FALSE,
FDA-2017-P-0663-0003_Petition_Denial_Letter_from_FDA_CDER_to_Mucodel_Ph.pdf,6/30/2017,,"Center for Drug Evaluation and Research (CDER)
",Denied,"- Section 505(j) of the FD&C Act (21 U.S.C. 355(j))
- Section 505(b)(1), 505(b)(2), 505(c), and 505(d)
- 21 CFR §§ 314.3, 314.94, 314.127, 314.54","- The FDA does not intend to pause approvals of new intranasal (IN) naloxone products while reevaluating reliability in field use.
- The petition fails to demonstrate that the current FDA approval standards for IN naloxone are inappropriate.
- The petition cited studies (e.g., Synchrony Report, Barton 2005, Kelly, Kerr) using unapproved naloxone kits, which differ significantly in formulation and delivery method from FDA-approved Narcan Nasal Spray.
- The FDA-approved labeling for Narcan already accounts for situations requiring multiple doses, and field use studies were not required in the original Narcan approval.
- No convincing evidence was provided to suggest that nasal conditions or vomiting significantly impair the efficacy of Narcan Nasal Spray to the extent that approvals should be paused.
- The FDA emphasized maintaining a scientific and statutory standard that applies equally across NDAs and ANDAs under current laws.",FALSE,
FDA-2017-P-0840-0003_Interim_Response_Letter_from_CDER_to_The_Weinberg_.pdf,8/1/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,"21 CFR 10.30(e)(2) – Governs interim responses to citizen petitions 
","The FDA stated that it was unable to reach a decision due to the need to address other Agency priorities. It assured the petitioner that a final response will be issued when resources allow 
",FALSE,
FDA-2017-P-0840-0005_Final_Response_Letter_from_CDER_to_The_Weinberg_Gr.pdf,10/25/2017,,Center for Drug Evaluation and Research (CDER),Approved (Determination Issued),"- 21 CFR § 314.161 – Determination whether a drug was withdrawn for safety or effectiveness
- 21 CFR § 314.162 – Removal of a listed drug
- 21 U.S.C. § 355(j)(7) – Listing of approved drugs in the Orange Book 
","- FDA conducted a review of its records and independently evaluated relevant literature and postmarketing data.
- The agency found no evidence indicating that Ovrette (norgestrel) 0.075 mg was withdrawn for reasons of safety or effectiveness.
- As such, Ovrette remains listed in the “Discontinued Drug Product List” of the Orange Book, allowing approval of ANDAs referencing it, assuming all other requirements are met 
",FALSE,
FDA-2017-P-0864-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,8/7/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,21 CFR 10.30(e)(2) – Pertaining to interim responses to citizen petitions ,The FDA stated it was unable to reach a decision due to the need to address other agency priorities. The agency affirmed it would respond as soon as resources allow ,FALSE,
FDA-2017-P-0864-0004_Letter_from_FDA_CDER_to_Hyman__Phelps___McNamara_P.pdf,9/16/2020,,Center for Drug Evaluation and Research (CDER),Dismissed (moot),"Not explicitly cited – The letter references the Orange Book, but does not cite specific statutes or regulations 
","The petitioner requested that ibuprofen 200 mg (NDA 018989) be designated as a Reference Listed Drug (RLD) and Reference Standard (RS) in the Orange Book. Since FDA already made that update, the petition was considered resolved and dismissed as moot ",FALSE,
FDA-2017-P-0866-0003_Interim_Response_Letter_from_CDER_to_Hyman__Phelps.pdf,8/7/2017,,Center for Drug Evaluation and Research (CDER),Interim Response,21 CFR 10.30(e)(2) – Governs interim responses to citizen petitions ,"The FDA stated that the petition raises complex issues requiring extensive review and analysis. Due to this, a final decision could not yet be made. The Agency committed to respond once its resources allow ",FALSE,
FDA-2017-P-0866-0004_Response_Letter_from_CDER_to_Hyman__Phelps___McNam.pdf,5/4/2018,,Center for Drug Evaluation and Research (CDER),Approved,"- 21 CFR 314.94(a)(9)(ii) – Inactive ingredient requirements for ANDAs
- 21 CFR 314.94(a)(9)(iii) – Requirements for parenteral drug products
- 21 CFR 314.127(a)(8)(ii)(B) – Refusal criteria
- 21 CFR 314.99(b) – Waivers for ANDA content and format
- 21 CFR 314.122(a) – Determination of withdrawal for safety/effectiveness
- 21 CFR 314.161(a)(1) – Evaluation of withdrawal reasons","- The FDA reviewed historical records, scientific literature, and adverse event data and found no evidence that either the original or reformulated version of Thioplex was withdrawn for safety or effectiveness concerns.
- The agency confirmed that ANDAs duplicating the original formulation may be accepted and approved, provided they meet all statutory and regulatory requirements.
- FDA stated that under 21 CFR 314.99(b), it may waive specific regulatory requirements related to inactive ingredients for parenteral drugs if safety requirements are met 
",FALSE,
FDA-2017-P-0867-0103_Interim_Response_from_CBER_to_Public_Citizen_2.pdf,7/25/2017,,Center for Biologics Evaluation and Research (CBER),Interim Response,"21 CFR 10.30(e)(2) – Governs the issuance of interim responses to citizen petitions 
","The FDA indicated that the issues raised by the petition—specifically the request to remove hydroxyethyl starch (HES) IV solutions from the market due to safety concerns—are complex, and thus the Agency requires more time to reach a decision. The interim response ensures compliance with procedural requirements under 21 CFR 10.30(e)(2) 
",FALSE,
FDA-2017-P-0867-0107_Final_Response_Letter_from_FDA_CBER_to_Public_Citi.pdf,7/7/2021,,Center for Biologics Evaluation and Research (CBER),Denied,"- FD&C Act Section 505(a), 505(b)(1), 505(d), 505(e), and 505(o)(4)
- 21 U.S.C. § 301 et seq., § 355(e), § 355(o)(4), § 355-1(b)(3)
- 21 CFR Part 314, including 21 CFR 314.150 ","- FDA identified new safety information (as defined under 505-1(b)(3)) regarding HES products, including increased risk of:
- Mortality
- Acute Kidney Injury (AKI)
- Renal Replacement Therapy (RRT)
- Coagulopathy
- These risks apply not only to critically ill patients, but also to:
- Surgical patients (including cardiac and noncardiac surgery)
- Blunt trauma patients
- Evidence drawn from:
- 10 post-2012 informative studies
- FAERS database (adverse event reports)
- Meta-analyses and observational studies
- FDA concluded that safety labeling changes would sufficiently mitigate risk, preserving the availability of HES products for limited, specific indications, such as in austere or emergency conditions 
",FALSE,
FDA-2017-P-0868-0004_Petition_Decision_Letter_From_FDA_CDER_to_David_Wo.pdf,7/26/2017,,Center for Drug Evaluation and Research (CDER),Dismissed (moot),"- Federal Food, Drug, and Cosmetic Act (FD&C Act):
- Sections 505(b)(1), 505(c)(2), 505(j)(2)(A)(vii), 505(j)(2)(B), 505(j)(5)(B)(iii), 505(j)(5)(B)(iv), 505(j)(5)(D),
- 505(j)(5)(D)(i)(IV), 505(j)(5)(B)(iv)(II)(bb), (cc), and (dd)(AA)
- 21 CFR 314.94(a)(12)
- 21 CFR 10.30(e)(2)(iii) ","- ANDA 090482 received tentative approval on December 9, 2010, which was within the 30-month window required by statute.
- Final approval was granted on May 9, 2017, after the 180-day exclusivity (triggered on Nov 1, 2016) expired on April 30, 2017.
- Because the exclusivity period ended before the petition could take effect, the petition’s claims were no longer relevant, and thus dismissed as moot ",FALSE,
FDA-2017-P-0970-0006_Interim_response_letter_from_FDA_CFSAN_to_RiceBran.pdf,7/28/2017,,"Center for Food Safety and Applied Nutrition (CFSAN)
",Interim Response,"- 21 CFR 109.9(c)(6)(i) — The regulation petitioner seeks to amend.
- 21 CFR 10.30(e)(2) — Governs timing of petition responses 
","FDA cites other agency priorities and limited availability of resources as reasons for not completing the petition review within the 180-day timeframe 
",FALSE,
