File ID,Petition File Name,Date of Petition,Was_Withdrawn,Document Type,Submitter,Submitter Type,Petition Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,Interim Response Date,Final Decision,Last Response Date,Count of Interim,Responding FDA Center (of Final Decision),Responses Cited Statutes or Regulations,Justification for Interim Response,Justification for Final Response,Cleaned Final Decision,Year,Response Time (Days),Cleaned FDA Responding Center
fda-2017-p-0052,FDA-2017-P-0052-0001_Citizen_Petition_from_Donor_Sibling_Registry.pdf,2017-01-01,False,original petition,Donor Sibling Registry,advocacy/academic,"- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.30 (categorical environmental exemption claimed)","Lack of regulation and oversight in the sperm donation/cryobank industry. Specifically, minimal FDA-mandated medical testing for sperm and egg donors and the broader absence of national regulatory oversight.","The petitioner asks the FDA Commissioner to investigate the current state of the sperm donation industry and develop appropriate regulations and oversight mechanisms. Key regulatory proposals include:
• Standardized and expanded pre-conception testing
• Mandated full genome sequencing
• Required medical, genetic, and social updates
• Electronic health record-keeping
• Ban on anonymous donation
• Centralized databank tracking donors, recipients, and births","The petition outlines that the U.S. cryobank industry is a multibillion-dollar, largely unregulated sector, leading to:
• Inconsistent medical/genetic screening standards
• Insufficient communication of critical health data
• Donor fraud and identity falsification
• Psychological and health risks to donor-conceived children
• Inadequate recordkeeping, enabling excessive offspring numbers per donor and risk of consanguinity.
They reference case studies, lawsuits (e.g., Collins v. Xytex), surveys, and failures in current practices as rationale for regulatory reform",,,2025-10-15,0.0,,,,,no decision,2017,3209.0,
fda-2017-p-0137,FDA-2017-P-0137-0001_Citizen_Petition_from_Macleods_Pharmaceuticals_Lim.pdf,2017-01-09,True,original petition,Macleods Pharmaceuticals Limited,industry/corporation,"- Section 505(j) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, 314.93 (citizen petition and ANDA suitability petition provisions)
- 21 C.F.R. § 25.31(a) and 25.15(d) (categorical exclusion from environmental assessment)","The petition comments on the absence of a currently available Reference Listed Drug (RLD) for Pyrazinamide Tablets 500 mg, and requests designation of an alternative RLD to support ANDA filing","Macleods requests FDA to designate the approved generic product ANDA #A081319 (Pyrazinamide Tablets 500 mg by Akorn Inc.) as the RLD, due to the unavailability of the existing RLD (ANDA #A080157 by Dava Pharmaceuticals)
","- The current RLD (Pyrazinamide 500 mg by Dava) is not available in the U.S. market, even though not marked as discontinued in the Orange Book.
- Akorn’s product (ANDA #A081319) is the only approved and marketed generic for this dosage form and strength, and is the market leader.
- According to FDA’s policy outlined in the 1992 ANDA regulations, the market leader may be designated as RLD when the original is unavailable.
- Petition includes IMS market data and Orange Book listings as supporting evidence",7/7/2017,,2025-10-15,1.0,,,"The FDA stated that the petition ""raises complex issues requiring extensive review and analysis by Agency officials,"" which has delayed a final decision 
",,no decision,2017,3201.0,
fda-2017-p-0176,FDA-2017-P-0176-0001_Citizen_Petition_from_American_Herbal_Products_Ass.pdf,2017-01-09,False,original petition,"Kleinfeld, Kaplan and Becker, LLP",law/consulting,"- 21 C.F.R. § 10.30 (Citizen Petition procedures)
- 21 C.F.R. § 101.4(h) (Labeling of dietary supplements)
- 68 Fed. Reg. 51738 (August 28, 2003) – Proposed amendment to 21 C.F.R. § 101.4(h)
- 21 C.F.R. § 25.30 (Environmental impact exclusion)
- 21 C.F.R. § 10.30(b) (Economic impact statement provisions)","The FDA’s proposed amendment to 21 C.F.R. § 101.4(h), specifically the 2003 proposal to replace the incorporated references (1992 edition of Herbs of Commerce and 1994 edition of International Code of Botanical Nomenclature) with their 2000 editions.","AHPA requests that FDA:
1. Withdraw the proposed rule published at 68 Fed. Reg. 51738.
2. Issue an Advance Notice of Proposed Rulemaking (ANPRM) to revise 21 C.F.R. § 101.4(h), suggesting that botanical names on supplement labels be consistent with the Herbs of Commerce, 2nd edition (2000), or other appropriate authoritative references","- The current reference (Herbs of Commerce, 1st ed., 1992) is outdated.
- The 2nd edition (2000) includes standardized common names for ~1,500 more botanicals and updates ~140 names from the 1st edition.
- Plant taxonomy evolves, and new references reflect more accurate nomenclature.
- There is a need for clarity and consistency in naming botanical dietary ingredients to reflect modern commerce and ensure regulatory compliance",2/2/2018,,2025-10-15,1.0,,,"The FDA stated the petition is under active evaluation, but decision-making has been delayed due to competing agency priorities ",,no decision,2017,3201.0,
fda-2017-p-0398,FDA-2017-P-0398-0001_Citizen_Petition_from_Florek___Endres_PLLC.pdf,2017-01-18,True,original petition,Florek & Endres PLLC,industry/corporation,"- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. §§ 10.20, 10.30, and 314.93 (petition procedures and ANDA suitability petitions)
- 21 C.F.R. § 25.31 (categorical exclusion from environmental assessment)
- 21 C.F.R. § 10.30(b) (economic impact information on request)","The petition addresses the FDA’s determination on whether a new strength (24 mg) of Hydromorphone HCl extended-release tablets is suitable for submission under an ANDA, referencing the approved reference listed drug (RLD) EXALGO®","The petitioner requests that the FDA declare the 24 mg strength of Hydromorphone HCl extended-release tablets suitable for ANDA submission, citing the EXALGO® product line as reference","- The 24 mg strength would fill a dosing gap between existing 16 mg and 32 mg EXALGO® strengths, reducing the need to combine tablets and mitigating risks of dosage errors.
- The dosage is consistent with EXALGO®'s labeled titration recommendations and would aid safer opioid conversion and titration.
- The proposed strength exhibits similar dissolution and pharmacokinetic properties to the RLD.
- The dosage is expected to be used and prescribed safely, with potentially lower abuse liability than the 32 mg strength.
- It does not raise questions of safety or effectiveness since the formulation and route of administration remain consistent with the RLD",,,2025-10-15,0.0,,,,,no decision,2017,3192.0,
fda-2017-p-0508,FDA-2017-P-0508-0001_Citizen_Petition_from_the_Union_of_Concerned_Scien.pdf,2017-01-25,False,original petition,"Union of Concerned Scientists, Center for Science and Democracy",advocacy/academic,"- 5 U.S.C. § 553(e)
- 21 C.F.R. § 10.25
- 21 C.F.R. § 10.30
- 21 C.F.R. § 101.13
- 21 C.F.R. § 101.14
- 21 C.F.R. § 25.30(h)
- 21 C.F.R. § 10.30(b)(3)
- 21 C.F.R. § 101.65
- 21 U.S.C. § 343
- Sections 201(n), 403A, and 701(a) of the FD&C Act
- Nutrition Labeling and Education Act of 1990","- Current FDA regulations allowing health and nutrient content claims on foods with high added sugar content
- Draft guidance on redefining the “healthy” nutrient content claim","- Amend 21 C.F.R. §§ 101.13 and 101.14 to include a disqualifying nutrient level for added sugars
- Prevent foods with added sugars above the threshold from making health or nutrient content claims","- Scientific evidence links excessive added sugar to chronic diseases (e.g., type 2 diabetes, CVD, obesity)
- Added sugar now has a defined DRV (25g for ages 1–3, 50g for 4+)
- Precedent exists for disqualifying levels for fat, sodium, etc.
- Prevent misleading claims that make sugar-rich foods appear healthy, especially for children
- Supported by over 30,000 individuals nationwide",7/17/2017,,2025-10-15,1.0,,,The FDA stated that it has not completed review of the petition due to other agency priorities and limited availability of resources. The Agency committed to notify the petitioner once a decision is reached ,,no decision,2017,3185.0,
fda-2017-p-0757,FDA-2017-P-0757-0001_Citizen_Petition_from_Beck___Thomas.pdf,2017-02-10,True,original petition,"Beck & Thomas, P.C.",law/consulting,"- Sections 505 and 505-1 of the FDCA (21 U.S.C. §§ 355 and 355-1)
- 21 C.F.R. Parts 10 and 314
- 21 C.F.R. § 25.31(a) (Environmental impact exclusion)
- ICH Q3D Elemental Impurities Guidance (Sept. 2015)
- USP Chapters <232> and <233>
- FDA’s Draft Guidance on Elemental Impurities (June 2016)
- 505(o) Letters under FDCA
- APA (Administrative Procedure Act)","The petition comments on the review and approval process of NDAs and ANDAs for potassium chloride oral drug products. It specifically challenges FDA's handling of applications that do not include completed risk assessments for elemental impurities, urging refusal to receive or approve such filings
","- Refuse to file or receive any NDA/ANDA for potassium chloride oral drug products without completed risk assessments and controls for elemental impurities (lead, arsenic, cadmium, mercury, chromium, copper, selenium, manganese, zinc, and other process metals).
- Do not approve any pending NDAs or ANDAs until such documentation is provided","- FDA has already made a safety determination about potential elemental impurities in potassium chloride products.
- FDA has issued 505(o) letters to NDA holders requiring risk assessments for specific metals.
- The petition cites guidance documents and USP standards enforcing control of such impurities by January 1, 2018.
- These products are widely used and may pose toxicity risks if uncontrolled",,,2025-10-15,0.0,,,,,no decision,2017,3169.0,
fda-2017-p-0863,FDA-2017-P-0863-0001_Citizen_Petition_from_Fresenius_Kabi_USA__LLC_2.pdf,2017-02-08,True,original petition,"Fresenius Kabi USA, LLC",industry/corporation,"- 21 C.F.R. §§ 10.20, 10.30, and 314.93
- Section 505(j)(2)(C) of the Federal Food, Drug, and Cosmetic Act
- 21 C.F.R. § 10.31(a) (Environmental Impact)","The suitability for submission of an Abbreviated New Drug Application (ANDA) for Sodium Chloride 23.4% Injection, USP, in 100 mL and 200 mL pharmacy bulk package (PBP) vials. The reference listed drug (RLD) is a 30 mL vial of the same formulation that was discontinued but not withdrawn for safety or efficacy reasons.
","The petitioner requests that the FDA declare the 100 mL and 200 mL PBP vials of Sodium Chloride 23.4% Injection, USP to be suitable for ANDA submission, as an increase in total drug content from the previously approved 30 mL single-dose vial
","- The proposed product is identical in concentration (23.4%), indications, route of administration, and composition to the approved RLD, differing only in volume.
- Larger vials (100 mL, 200 mL) would reduce waste, improve convenience for hospitals and infusion centers, and potentially reduce costs.
- The packaging aligns with USP <797> and <1> requirements for pharmacy bulk packaging.
- Labeling changes will address aseptic handling and single-use time limits (e.g., 24 hours).
- There are no new safety or effectiveness issues raised by this petition
",,,2025-10-15,0.0,,,,,no decision,2017,3171.0,
fda-2017-p-1298,FDA-2017-P-1298-0001_Citizen_Petition_from_The_Good_Food_Institute.pdf,2017-03-02,False,original petition,The Good Food Institute (GFI),advocacy/academic,"- 21 C.F.R. § 10.30 (Citizen petition)
- 5 U.S.C. § 553(e) (APA right to petition for rulemaking)
- 21 U.S.C. § 343(a)(1) (FDCA: misbranding due to false or misleading labeling)
- 21 C.F.R. § 101.3(b) (standard of identity for common food names)
- 21 U.S.C. § 321(g) (definition of ""drug"" under FDCA)","GFI comments on recent suggestions that plant-based products should be restricted from using terms like “milk,” “meat,” and “eggs” on their labels. These suggestions imply that plant-based products using such terms are misleading or violate standards of identity.","GFI requests that FDA:
1. Issue a regulation or guidance recognizing that compound terms like “soy milk,” “almond milk,” “vegan cheese,” and “plant-based meat” are not misleading when the plant source is clear.
2. Reaffirm existing labeling rules allowing these terms under current FDA law.","- Terms like “soy milk” and “vegan cheese” have been used for decades and are well understood by consumers.
- Plant-based labeling provides accurate information and facilitates consumer choice.
- Restricting these terms would violate the First Amendment and contradict consumer understanding.
- There is no evidence of consumer confusion over these terms.
- The FDA’s past enforcement policy has tolerated these labels, and no formal standard excludes plant-based variants from common usage names.",8/29/2017,,2025-10-15,1.0,,,"- The petition requested FDA to issue regulations clarifying how foods may be named by reference to the names of other foods.
- FDA indicated that it had not yet reached a decision due to competing priorities within the agency.
- They committed to completing review and considering amendments as warranted within the context of other program priorities
",,no decision,2017,3149.0,
fda-2017-p-1359,FDA-2017-P-1359-0001_Citizen_Petition_from_Pharmaceutical__Manufacturin.pdf,2017-03-06,False,original petition,"Pharmaceutical Manufacturing Research Services, Inc. (PMRS)",industry/corporation,"- 21 C.F.R. § 10.20
- 21 C.F.R. § 10.30
- 21 C.F.R. § 25.31
- Section 505(b) of the Federal Food, Drug, and Cosmetic Act (FD&C Act)","The FDA’s approval and labeling of:
- OxyContin’s indication for chronic pain
- All extended-release opioids indicated for chronic pain
- All immediate-release opioids used for chronic pain","PMRS requests that the FDA:
(i) Revoke OxyContin's approval for chronic pain
(ii) Revoke approval of all ER opioids for chronic pain
(iii) Revoke IR opioid labeling supporting chronic pain use","- FDA approved chronic pain indication for OxyContin without substantial evidence
- Misuse, addiction, and overdose risks have increased
- Chronic pain indication contradicts scientific data and public health findings
- OxyContin was originally approved only for acute use; later changes led to widespread abuse
- The change contributed to the opioid epidemic; over 200,000 deaths cited",8/31/2017,,2025-10-15,1.0,,,"- The petition requested the FDA to revoke certain labeling approvals related to both extended-release and immediate-release opioid products, specifically seeking revocation of:
1. OxyContin’s chronic use labeling
2. ER opioids for chronic pain
3. IR opioids for chronic pain
4. Replace IR labeling with indications for acute pain only.
- FDA explained that the petition raised significant and complex issues requiring extensive internal review and analysis by agency officials. Hence, an interim response was issued pending further evaluation
",,no decision,2017,3145.0,
fda-2017-p-1391,FDA-2017-P-1391-0001_Citizen_Petition_from_Epstein_Becker___Green_P_C_.pdf,2017-03-03,False,original petition,"Epstein Becker & Green, P.C.",law/consulting,"- 21 C.F.R. § 10.30 (Citizen Petition)
- 21 C.F.R. § 10.75 (Internal agency review procedures)
- 21 C.F.R. § 3.8 (Letter of designation rules)
- 21 C.F.R. § 25.30 (Environmental impact exclusion)
- 5 U.S.C. §§ 555(b), 706(1), 706(2)(A) (Administrative Procedure Act)
- 21 U.S.C. § 353(g) (FDCA designation provisions)
- 21st Century Cures Act, Sec. 3038","The petition comments on the lack of a regulatory timeline for appeals of FDA’s letter of designation decisions made by the Office of Combination Products under 21 C.F.R. § 3.8.
","- Amend 21 C.F.R. § 3.8 to include a new subsection (d): FDA must complete review of appeals under 21 C.F.R. § 10.75 within 60 calendar days.
- Require all pending appeals submitted prior to October 1, 2015, to be resolved by March 9, 2017","- Significant delays (some over 17 months) in decision-making due to lack of timelines.
- Delays violate the Administrative Procedure Act by allowing “arbitrary” and untimely decisions.
- Delays hinder correction of errors in designation decisions and delay compliance with the 21st Century Cures Act.
- Innovators lose patent time and are forced to accept erroneous designations.
- Most importantly, delays harm public health by slowing patient access to new therapies",,,2025-10-15,0.0,,,,,no decision,2017,3148.0,
